genes	weight
EFHA2	0.077540323138237
CBS	0.07713356614112854
PRKD1	0.07586733251810074
PHYHIPL	0.07524365186691284
DLGAP1	0.07472125440835953
BEX2	0.07403066009283066
SNURF	0.07383187115192412
ADHFE1	0.07304006814956665
RPS4Y1	0.07223660498857498
WDR17	0.07176677882671356
TMOD1	0.07080342620611191
