	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2946.53422145	2938.51743995	0.002	200	100	0.1	2559	2	300
1	2774.62022187	2842.77368117	0.002	200	100	0.1	2559	2	300
2	2743.45503774	2792.06485085	0.002	200	100	0.1	2559	2	300
3	2725.97036611	2749.74642238	0.002	200	100	0.1	2559	2	300
4	2713.1514263	2737.92802473	0.002	200	100	0.1	2559	2	300
5	2705.28280627	2734.73565032	0.002	200	100	0.1	2559	2	300
6	2698.81614823	2721.8683984	0.002	200	100	0.1	2559	2	300
7	2694.71585852	2708.991189	0.002	200	100	0.1	2559	2	300
8	2690.14583754	2701.28446117	0.002	200	100	0.1	2559	2	300
9	2687.68441088	2701.32035171	0.002	200	100	0.1	2559	2	300
10	2685.7737822	2698.54870769	0.002	200	100	0.1	2559	2	300
11	2683.3861689	2694.02210336	0.002	200	100	0.1	2559	2	300
12	2681.17736818	2693.49983708	0.002	200	100	0.1	2559	2	300
13	2679.2822434	2690.00797448	0.002	200	100	0.1	2559	2	300
14	2677.50755132	2686.50510315	0.002	200	100	0.1	2559	2	300
15	2675.35492774	2688.02829977	0.002	200	100	0.1	2559	2	300
16	2674.72304828	2683.76269765	0.002	200	100	0.1	2559	2	300
17	2673.65580182	2684.77588357	0.002	200	100	0.1	2559	2	300
18	2671.82264183	2683.36191864	0.002	200	100	0.1	2559	2	300
19	2671.61228386	2680.68406383	0.002	200	100	0.1	2559	2	300
20	2670.84877692	2682.43085359	0.002	200	100	0.1	2559	2	300
21	2670.23870176	2683.38559374	0.002	200	100	0.1	2559	2	300
22	2669.48056671	2684.1412874	0.002	200	100	0.1	2559	2	300
23	2668.52113045	2680.45548425	0.002	200	100	0.1	2559	2	300
24	2668.99454407	2678.45242059	0.002	200	100	0.1	2559	2	300
25	2667.57991553	2677.79687967	0.002	200	100	0.1	2559	2	300
26	2666.66484617	2677.67151369	0.002	200	100	0.1	2559	2	300
27	2665.77206608	2674.61738403	0.002	200	100	0.1	2559	2	300
28	2664.97556008	2675.43505859	0.002	200	100	0.1	2559	2	300
29	2664.87477858	2673.34680713	0.002	200	100	0.1	2559	2	300
30	2663.90697856	2674.64784699	0.002	200	100	0.1	2559	2	300
31	2664.00214495	2676.0239832	0.002	200	100	0.1	2559	2	300
32	2663.7031009	2672.90680924	0.002	200	100	0.1	2559	2	300
33	2663.39150575	2675.0981646	0.002	200	100	0.1	2559	2	300
34	2662.48301925	2672.0951691	0.002	200	100	0.1	2559	2	300
35	2662.441004	2671.84237805	0.002	200	100	0.1	2559	2	300
36	2661.78283016	2671.42945176	0.002	200	100	0.1	2559	2	300
37	2661.09693716	2671.68918424	0.002	200	100	0.1	2559	2	300
38	2661.02396837	2672.93341683	0.002	200	100	0.1	2559	2	300
39	2660.85534986	2670.30886637	0.002	200	100	0.1	2559	2	300
40	2660.66640185	2671.77743618	0.002	200	100	0.1	2559	2	300
41	2660.61641667	2670.48141404	0.002	200	100	0.1	2559	2	300
42	2661.14057492	2672.97858611	0.002	200	100	0.1	2559	2	300
43	2660.3581358	2671.91838047	0.002	200	100	0.1	2559	2	300
44	2659.87396368	2669.56531999	0.002	200	100	0.1	2559	2	300
45	2659.23932903	2670.51112824	0.002	200	100	0.1	2559	2	300
46	2659.70502278	2672.17126161	0.002	200	100	0.1	2559	2	300
47	2659.38845388	2668.45512667	0.002	200	100	0.1	2559	2	300
48	2658.62760107	2668.77074682	0.002	200	100	0.1	2559	2	300
49	2658.81236505	2672.39676399	0.002	200	100	0.1	2559	2	300
50	2658.54451213	2669.99268465	0.002	200	100	0.1	2559	2	300
51	2659.15864226	2670.19828653	0.002	200	100	0.1	2559	2	300
52	2659.63036176	2671.05910864	0.002	200	100	0.1	2559	2	300
53	2658.55830591	2670.13949906	0.002	200	100	0.1	2559	2	300
54	2657.85380419	2669.33945817	0.002	200	100	0.1	2559	2	300
55	2657.22940919	2668.69700188	0.002	200	100	0.1	2559	2	300
56	2656.99719989	2667.9095494	0.002	200	100	0.1	2559	2	300
57	2656.9129311	2668.78299913	0.002	200	100	0.1	2559	2	300
58	2656.88524646	2668.03771529	0.002	200	100	0.1	2559	2	300
59	2657.42768699	2668.25224255	0.002	200	100	0.1	2559	2	300
60	2656.19055317	2667.7526468	0.002	200	100	0.1	2559	2	300
61	2657.60638115	2668.56700423	0.002	200	100	0.1	2559	2	300
62	2656.96730007	2667.6327154	0.002	200	100	0.1	2559	2	300
63	2656.86531654	2671.57433405	0.002	200	100	0.1	2559	2	300
64	2657.21323646	2666.27162442	0.002	200	100	0.1	2559	2	300
65	2656.24693692	2666.54051847	0.002	200	100	0.1	2559	2	300
66	2656.68660037	2667.86973394	0.002	200	100	0.1	2559	2	300
67	2656.91724203	2671.66035978	0.002	200	100	0.1	2559	2	300
68	2657.00059517	2667.33873415	0.002	200	100	0.1	2559	2	300
69	2655.51182623	2665.95945772	0.002	200	100	0.1	2559	2	300
70	2655.62725643	2665.83541934	0.002	200	100	0.1	2559	2	300
71	2654.85689492	2670.8367152	0.002	200	100	0.1	2559	2	300
72	2655.50268531	2667.73890864	0.002	200	100	0.1	2559	2	300
73	2655.8697499	2666.67713919	0.002	200	100	0.1	2559	2	300
74	2655.53884474	2666.55466556	0.002	200	100	0.1	2559	2	300
75	2655.22831475	2667.27934916	0.002	200	100	0.1	2559	2	300
76	2655.13642499	2666.40291699	0.002	200	100	0.1	2559	2	300
77	2655.83294969	2669.64300152	0.002	200	100	0.1	2559	2	300
78	2655.40562018	2666.82193092	0.002	200	100	0.1	2559	2	300
79	2654.66481749	2665.71485309	0.002	200	100	0.1	2559	2	300
80	2654.3915804	2666.54367503	0.002	200	100	0.1	2559	2	300
81	2656.75635878	2666.52972307	0.002	200	100	0.1	2559	2	300
82	2654.8924846	2669.18472949	0.002	200	100	0.1	2559	2	300
83	2655.62289128	2667.78066789	0.002	200	100	0.1	2559	2	300
84	2655.25087806	2668.62897767	0.002	200	100	0.1	2559	2	300
85	2655.96848135	2671.52545131	0.002	200	100	0.1	2559	2	300
86	2655.97833503	2665.48935444	0.002	200	100	0.1	2559	2	300
87	2654.27170009	2666.06107203	0.002	200	100	0.1	2559	2	300
88	2654.1771812	2667.3249339	0.002	200	100	0.1	2559	2	300
89	2654.58372104	2667.97889561	0.002	200	100	0.1	2559	2	300
