	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2822.91525724	2763.33160272	0.002	50	10	0.01	588	2	300
1	2728.63349938	2719.72372384	0.002	50	10	0.01	588	2	300
2	2708.29805122	2703.72679404	0.002	50	10	0.01	588	2	300
3	2697.93367576	2692.50262019	0.002	50	10	0.01	588	2	300
4	2692.30330978	2688.44872393	0.002	50	10	0.01	588	2	300
5	2688.10107277	2686.19714285	0.002	50	10	0.01	588	2	300
6	2684.43622903	2682.79058383	0.002	50	10	0.01	588	2	300
7	2682.213977	2677.1375492	0.002	50	10	0.01	588	2	300
8	2679.61825277	2677.41147778	0.002	50	10	0.01	588	2	300
9	2677.58983893	2674.37529642	0.002	50	10	0.01	588	2	300
