	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	3101.51126149	3022.65941216	0.0005	200	50	1.0	2175	2	300
1	2875.9895767	2923.32753916	0.0005	200	50	1.0	2175	2	300
2	2808.71511001	2863.0000126	0.0005	200	50	1.0	2175	2	300
3	2777.00293552	2811.9242926	0.0005	200	50	1.0	2175	2	300
4	2760.39009079	2783.04983736	0.0005	200	50	1.0	2175	2	300
5	2748.74803546	2765.21681461	0.0005	200	50	1.0	2175	2	300
6	2740.42376253	2753.76665104	0.0005	200	50	1.0	2175	2	300
7	2732.85906184	2738.29115613	0.0005	200	50	1.0	2175	2	300
8	2726.5922754	2733.39754776	0.0005	200	50	1.0	2175	2	300
9	2721.78509826	2728.18894711	0.0005	200	50	1.0	2175	2	300
10	2717.8126655	2723.10393855	0.0005	200	50	1.0	2175	2	300
11	2713.65381031	2718.50041499	0.0005	200	50	1.0	2175	2	300
12	2710.16138782	2713.95981156	0.0005	200	50	1.0	2175	2	300
13	2707.2160636	2713.67717374	0.0005	200	50	1.0	2175	2	300
14	2704.22464073	2711.58191315	0.0005	200	50	1.0	2175	2	300
15	2702.14597304	2707.22539034	0.0005	200	50	1.0	2175	2	300
16	2699.72924234	2704.00587105	0.0005	200	50	1.0	2175	2	300
17	2697.66389275	2701.64966754	0.0005	200	50	1.0	2175	2	300
18	2695.90877529	2699.74211888	0.0005	200	50	1.0	2175	2	300
19	2694.0107841	2696.38283724	0.0005	200	50	1.0	2175	2	300
20	2692.61558517	2695.74008966	0.0005	200	50	1.0	2175	2	300
21	2691.2730741	2694.66242634	0.0005	200	50	1.0	2175	2	300
22	2689.93058319	2693.05400969	0.0005	200	50	1.0	2175	2	300
23	2688.97972318	2692.00552141	0.0005	200	50	1.0	2175	2	300
24	2687.81938099	2692.74937308	0.0005	200	50	1.0	2175	2	300
25	2686.74727257	2690.47231688	0.0005	200	50	1.0	2175	2	300
26	2685.56435594	2689.21890265	0.0005	200	50	1.0	2175	2	300
27	2684.97608545	2689.14854487	0.0005	200	50	1.0	2175	2	300
28	2683.59485155	2688.05778804	0.0005	200	50	1.0	2175	2	300
29	2683.11125976	2687.56673628	0.0005	200	50	1.0	2175	2	300
30	2682.1645721	2687.45039184	0.0005	200	50	1.0	2175	2	300
31	2681.48630758	2685.02120709	0.0005	200	50	1.0	2175	2	300
32	2680.4245945	2684.55134609	0.0005	200	50	1.0	2175	2	300
33	2679.42890064	2682.68315262	0.0005	200	50	1.0	2175	2	300
34	2679.04722073	2683.41771201	0.0005	200	50	1.0	2175	2	300
35	2678.5841546	2681.93112947	0.0005	200	50	1.0	2175	2	300
36	2677.38056608	2682.43536482	0.0005	200	50	1.0	2175	2	300
37	2677.0643	2681.79222979	0.0005	200	50	1.0	2175	2	300
38	2676.63002147	2680.31026959	0.0005	200	50	1.0	2175	2	300
39	2675.92902381	2679.6665856	0.0005	200	50	1.0	2175	2	300
40	2675.06262128	2679.09028255	0.0005	200	50	1.0	2175	2	300
41	2674.68083317	2678.5816438	0.0005	200	50	1.0	2175	2	300
42	2674.05189074	2677.66542511	0.0005	200	50	1.0	2175	2	300
43	2673.43696693	2679.76509564	0.0005	200	50	1.0	2175	2	300
44	2672.88459341	2678.27092327	0.0005	200	50	1.0	2175	2	300
45	2672.68888903	2676.45380887	0.0005	200	50	1.0	2175	2	300
46	2672.51015506	2676.03098159	0.0005	200	50	1.0	2175	2	300
47	2671.97729648	2676.65374791	0.0005	200	50	1.0	2175	2	300
48	2671.32892457	2675.70479337	0.0005	200	50	1.0	2175	2	300
49	2670.80440757	2676.28239041	0.0005	200	50	1.0	2175	2	300
