	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	3034.49987353	2968.2919217	0.0005	128	100	0.01	6576	2	300
1	2821.05439706	2853.01094758	0.0005	128	100	0.01	6576	2	300
2	2774.05387213	2801.86882646	0.0005	128	100	0.01	6576	2	300
3	2753.42082597	2767.18911142	0.0005	128	100	0.01	6576	2	300
4	2739.99734897	2748.98523253	0.0005	128	100	0.01	6576	2	300
5	2729.69899795	2738.64651238	0.0005	128	100	0.01	6576	2	300
6	2722.19311526	2728.96152241	0.0005	128	100	0.01	6576	2	300
7	2716.18216268	2721.47318841	0.0005	128	100	0.01	6576	2	300
8	2710.44084169	2717.37024603	0.0005	128	100	0.01	6576	2	300
9	2705.92529154	2712.58176517	0.0005	128	100	0.01	6576	2	300
10	2702.29328165	2710.14616788	0.0005	128	100	0.01	6576	2	300
11	2698.85071956	2705.22590197	0.0005	128	100	0.01	6576	2	300
12	2695.90297792	2702.15824841	0.0005	128	100	0.01	6576	2	300
13	2693.48304513	2701.58310024	0.0005	128	100	0.01	6576	2	300
14	2691.35364137	2697.86223467	0.0005	128	100	0.01	6576	2	300
15	2689.22799931	2696.36426622	0.0005	128	100	0.01	6576	2	300
16	2687.47721872	2694.99029926	0.0005	128	100	0.01	6576	2	300
17	2685.94558769	2692.55066688	0.0005	128	100	0.01	6576	2	300
18	2684.57728896	2691.93812599	0.0005	128	100	0.01	6576	2	300
19	2682.94617536	2689.31514587	0.0005	128	100	0.01	6576	2	300
20	2681.62720733	2690.9001955	0.0005	128	100	0.01	6576	2	300
21	2680.44777362	2687.87397349	0.0005	128	100	0.01	6576	2	300
22	2679.45571598	2687.55316617	0.0005	128	100	0.01	6576	2	300
23	2678.14619801	2685.46669791	0.0005	128	100	0.01	6576	2	300
24	2677.29859029	2684.04949893	0.0005	128	100	0.01	6576	2	300
25	2676.11522356	2684.26382125	0.0005	128	100	0.01	6576	2	300
26	2675.34746077	2683.19658829	0.0005	128	100	0.01	6576	2	300
27	2674.40307226	2683.84430223	0.0005	128	100	0.01	6576	2	300
28	2673.95609562	2681.93925426	0.0005	128	100	0.01	6576	2	300
29	2672.78236807	2680.72949312	0.0005	128	100	0.01	6576	2	300
30	2672.21512773	2679.84029795	0.0005	128	100	0.01	6576	2	300
31	2671.32669273	2679.41723073	0.0005	128	100	0.01	6576	2	300
