	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2955.07491074	2923.0179273	0.001	128	100	0.1	6344	2	300
1	2780.73674705	2821.38251701	0.001	128	100	0.1	6344	2	300
2	2746.07244054	2769.19892046	0.001	128	100	0.1	6344	2	300
3	2729.41788778	2746.85172868	0.001	128	100	0.1	6344	2	300
4	2716.81871185	2719.74764729	0.001	128	100	0.1	6344	2	300
5	2709.15301807	2712.37874567	0.001	128	100	0.1	6344	2	300
6	2702.62534828	2702.17668732	0.001	128	100	0.1	6344	2	300
7	2698.19433718	2695.71456973	0.001	128	100	0.1	6344	2	300
8	2694.20980431	2693.50901827	0.001	128	100	0.1	6344	2	300
9	2691.27287971	2694.02624395	0.001	128	100	0.1	6344	2	300
10	2688.28867501	2688.67208413	0.001	128	100	0.1	6344	2	300
11	2685.78921773	2682.78381184	0.001	128	100	0.1	6344	2	300
12	2683.66816952	2682.93748273	0.001	128	100	0.1	6344	2	300
13	2681.85817536	2678.67213875	0.001	128	100	0.1	6344	2	300
14	2679.82324193	2680.74871348	0.001	128	100	0.1	6344	2	300
15	2678.66149408	2676.85573156	0.001	128	100	0.1	6344	2	300
16	2677.01101066	2674.45083904	0.001	128	100	0.1	6344	2	300
17	2675.55846715	2673.85389001	0.001	128	100	0.1	6344	2	300
18	2674.89316613	2672.80529015	0.001	128	100	0.1	6344	2	300
19	2673.53533451	2673.19248644	0.001	128	100	0.1	6344	2	300
20	2672.55746131	2672.5811065	0.001	128	100	0.1	6344	2	300
21	2671.45269383	2671.06012255	0.001	128	100	0.1	6344	2	300
22	2670.51626094	2669.256153	0.001	128	100	0.1	6344	2	300
23	2670.2118569	2669.59585017	0.001	128	100	0.1	6344	2	300
24	2668.93218931	2667.30209251	0.001	128	100	0.1	6344	2	300
25	2668.23056772	2666.76603486	0.001	128	100	0.1	6344	2	300
26	2667.41346235	2666.3001744	0.001	128	100	0.1	6344	2	300
27	2667.13133285	2665.02527346	0.001	128	100	0.1	6344	2	300
28	2666.18812372	2665.45474903	0.001	128	100	0.1	6344	2	300
29	2665.94860252	2667.47341528	0.001	128	100	0.1	6344	2	300
30	2665.02428944	2663.52759629	0.001	128	100	0.1	6344	2	300
