	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2890.60869943	2892.6341177	0.0015	100	100	0.05	2840	2	300
1	2752.36144886	2779.7996105	0.0015	100	100	0.05	2840	2	300
2	2725.99887155	2741.1263066	0.0015	100	100	0.05	2840	2	300
3	2711.30830899	2721.41315222	0.0015	100	100	0.05	2840	2	300
4	2702.81020944	2710.93191604	0.0015	100	100	0.05	2840	2	300
5	2696.17628177	2703.72891428	0.0015	100	100	0.05	2840	2	300
6	2692.09570079	2698.43756629	0.0015	100	100	0.05	2840	2	300
7	2687.40608323	2695.42126955	0.0015	100	100	0.05	2840	2	300
8	2684.60346603	2689.42482476	0.0015	100	100	0.05	2840	2	300
9	2681.66696731	2687.64456813	0.0015	100	100	0.05	2840	2	300
10	2679.07636515	2684.54772973	0.0015	100	100	0.05	2840	2	300
11	2677.23504976	2681.49509805	0.0015	100	100	0.05	2840	2	300
12	2675.61487741	2683.31153697	0.0015	100	100	0.05	2840	2	300
13	2673.94353465	2682.06174004	0.0015	100	100	0.05	2840	2	300
14	2672.50874871	2679.31048292	0.0015	100	100	0.05	2840	2	300
15	2671.34685891	2676.56750698	0.0015	100	100	0.05	2840	2	300
16	2670.45713271	2677.86711468	0.0015	100	100	0.05	2840	2	300
17	2668.82759888	2674.22916122	0.0015	100	100	0.05	2840	2	300
18	2668.66762867	2675.62405051	0.0015	100	100	0.05	2840	2	300
19	2667.35633926	2674.74557793	0.0015	100	100	0.05	2840	2	300
20	2666.50306648	2672.93659346	0.0015	100	100	0.05	2840	2	300
21	2666.18691772	2675.2232631	0.0015	100	100	0.05	2840	2	300
22	2665.17095861	2672.15826334	0.0015	100	100	0.05	2840	2	300
23	2664.67454304	2670.5615211	0.0015	100	100	0.05	2840	2	300
24	2663.98482858	2670.02374653	0.0015	100	100	0.05	2840	2	300
25	2663.11260796	2670.55559638	0.0015	100	100	0.05	2840	2	300
26	2663.03330723	2672.01775131	0.0015	100	100	0.05	2840	2	300
27	2662.60769742	2668.3990929	0.0015	100	100	0.05	2840	2	300
28	2662.25359576	2671.41849951	0.0015	100	100	0.05	2840	2	300
29	2661.75626858	2671.20093754	0.0015	100	100	0.05	2840	2	300
30	2661.71486434	2668.48847964	0.0015	100	100	0.05	2840	2	300
31	2660.85592355	2668.5923295	0.0015	100	100	0.05	2840	2	300
32	2660.67379609	2669.64875773	0.0015	100	100	0.05	2840	2	300
33	2660.3758087	2669.87850339	0.0015	100	100	0.05	2840	2	300
34	2660.28386762	2668.05519585	0.0015	100	100	0.05	2840	2	300
35	2659.49445075	2667.64409899	0.0015	100	100	0.05	2840	2	300
36	2659.69639919	2666.65121361	0.0015	100	100	0.05	2840	2	300
37	2659.03818935	2667.45623908	0.0015	100	100	0.05	2840	2	300
38	2658.80219827	2665.71308388	0.0015	100	100	0.05	2840	2	300
39	2658.84399009	2666.07651731	0.0015	100	100	0.05	2840	2	300
40	2658.10675803	2667.63521189	0.0015	100	100	0.05	2840	2	300
41	2658.10588394	2663.68496383	0.0015	100	100	0.05	2840	2	300
42	2658.03941602	2666.32931489	0.0015	100	100	0.05	2840	2	300
43	2657.81872617	2663.58401939	0.0015	100	100	0.05	2840	2	300
44	2657.77322697	2665.51204318	0.0015	100	100	0.05	2840	2	300
45	2657.40335976	2666.36976475	0.0015	100	100	0.05	2840	2	300
46	2658.03052347	2666.65006993	0.0015	100	100	0.05	2840	2	300
47	2657.09332511	2664.01822979	0.0015	100	100	0.05	2840	2	300
48	2657.0473748	2664.89646897	0.0015	100	100	0.05	2840	2	300
49	2656.57329232	2662.66897099	0.0015	100	100	0.05	2840	2	300
50	2656.30528835	2662.24299368	0.0015	100	100	0.05	2840	2	300
51	2656.28847794	2665.15669207	0.0015	100	100	0.05	2840	2	300
52	2656.44229211	2665.1849839	0.0015	100	100	0.05	2840	2	300
53	2655.83215447	2665.28822318	0.0015	100	100	0.05	2840	2	300
54	2656.23925576	2664.00687235	0.0015	100	100	0.05	2840	2	300
55	2656.66712153	2663.47291206	0.0015	100	100	0.05	2840	2	300
56	2655.71399679	2664.03967962	0.0015	100	100	0.05	2840	2	300
57	2655.78355747	2663.75412098	0.0015	100	100	0.05	2840	2	300
58	2655.70543499	2663.50898932	0.0015	100	100	0.05	2840	2	300
59	2655.30623933	2663.49864952	0.0015	100	100	0.05	2840	2	300
60	2655.84317081	2664.11706426	0.0015	100	100	0.05	2840	2	300
61	2655.21396886	2664.83540674	0.0015	100	100	0.05	2840	2	300
62	2655.41278191	2662.85497533	0.0015	100	100	0.05	2840	2	300
63	2655.01224638	2662.84497537	0.0015	100	100	0.05	2840	2	300
64	2655.19710503	2661.78829647	0.0015	100	100	0.05	2840	2	300
65	2654.80223696	2662.85802639	0.0015	100	100	0.05	2840	2	300
66	2655.08571968	2661.99706238	0.0015	100	100	0.05	2840	2	300
67	2654.53190544	2661.02378574	0.0015	100	100	0.05	2840	2	300
68	2654.6420188	2662.48112135	0.0015	100	100	0.05	2840	2	300
69	2655.19545492	2662.470958	0.0015	100	100	0.05	2840	2	300
70	2654.37973733	2661.33216896	0.0015	100	100	0.05	2840	2	300
71	2654.2997385	2660.90091952	0.0015	100	100	0.05	2840	2	300
72	2653.88523116	2661.77827503	0.0015	100	100	0.05	2840	2	300
73	2654.15620588	2660.84764598	0.0015	100	100	0.05	2840	2	300
74	2653.73521132	2662.9810658	0.0015	100	100	0.05	2840	2	300
75	2653.88471673	2661.07400262	0.0015	100	100	0.05	2840	2	300
76	2654.2066872	2663.71163725	0.0015	100	100	0.05	2840	2	300
77	2653.77264906	2662.15055634	0.0015	100	100	0.05	2840	2	300
78	2653.96033798	2663.30179516	0.0015	100	100	0.05	2840	2	300
79	2653.71028968	2660.20217925	0.0015	100	100	0.05	2840	2	300
80	2653.53264432	2660.21239861	0.0015	100	100	0.05	2840	2	300
81	2653.7772303	2660.52472962	0.0015	100	100	0.05	2840	2	300
82	2653.7057533	2663.83229406	0.0015	100	100	0.05	2840	2	300
83	2654.15202172	2661.35878309	0.0015	100	100	0.05	2840	2	300
84	2653.56112721	2662.98725754	0.0015	100	100	0.05	2840	2	300
85	2653.82737468	2661.55775816	0.0015	100	100	0.05	2840	2	300
86	2653.55974308	2660.60145187	0.0015	100	100	0.05	2840	2	300
87	2653.25387951	2660.79829316	0.0015	100	100	0.05	2840	2	300
88	2653.19843002	2661.84954542	0.0015	100	100	0.05	2840	2	300
89	2653.55769754	2659.25664081	0.0015	100	100	0.05	2840	2	300
90	2653.07162818	2659.8453843	0.0015	100	100	0.05	2840	2	300
91	2653.10566864	2660.35922609	0.0015	100	100	0.05	2840	2	300
92	2653.02186725	2660.84313848	0.0015	100	100	0.05	2840	2	300
93	2653.59316708	2659.79874317	0.0015	100	100	0.05	2840	2	300
94	2653.18532584	2660.51489818	0.0015	100	100	0.05	2840	2	300
95	2652.9241584	2658.77762383	0.0015	100	100	0.05	2840	2	300
96	2652.67386703	2660.30658274	0.0015	100	100	0.05	2840	2	300
97	2652.74511908	2660.26963395	0.0015	100	100	0.05	2840	2	300
98	2652.55674499	2661.65980568	0.0015	100	100	0.05	2840	2	300
99	2652.81643986	2658.95088946	0.0015	100	100	0.05	2840	2	300
