	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2896.32456477	2931.53719573	0.002	128	100	0.01	1146	2	300
1	2752.51823497	2809.43942465	0.002	128	100	0.01	1146	2	300
2	2724.95644615	2763.85933112	0.002	128	100	0.01	1146	2	300
3	2709.48501395	2727.27129532	0.002	128	100	0.01	1146	2	300
4	2700.29601051	2713.60739667	0.002	128	100	0.01	1146	2	300
5	2694.26552079	2699.47019757	0.002	128	100	0.01	1146	2	300
6	2689.76426992	2695.48566106	0.002	128	100	0.01	1146	2	300
7	2686.63973374	2687.85805067	0.002	128	100	0.01	1146	2	300
8	2683.18317757	2687.65087751	0.002	128	100	0.01	1146	2	300
9	2680.24798968	2681.59234024	0.002	128	100	0.01	1146	2	300
10	2677.7554848	2680.78374229	0.002	128	100	0.01	1146	2	300
11	2676.47376421	2675.98959952	0.002	128	100	0.01	1146	2	300
12	2674.37357551	2678.27555494	0.002	128	100	0.01	1146	2	300
13	2672.90514381	2672.32416413	0.002	128	100	0.01	1146	2	300
14	2671.84639392	2673.85624318	0.002	128	100	0.01	1146	2	300
15	2670.35216962	2674.72054441	0.002	128	100	0.01	1146	2	300
16	2669.27010523	2671.81833977	0.002	128	100	0.01	1146	2	300
17	2668.5470086	2669.07965706	0.002	128	100	0.01	1146	2	300
18	2667.62315021	2667.9514613	0.002	128	100	0.01	1146	2	300
19	2667.00171928	2666.97303343	0.002	128	100	0.01	1146	2	300
20	2665.93040791	2666.09908515	0.002	128	100	0.01	1146	2	300
21	2665.2922682	2667.24184626	0.002	128	100	0.01	1146	2	300
22	2665.09344247	2666.825713	0.002	128	100	0.01	1146	2	300
23	2664.35426867	2667.22135152	0.002	128	100	0.01	1146	2	300
24	2664.00898927	2663.33229033	0.002	128	100	0.01	1146	2	300
25	2663.76332324	2664.56139973	0.002	128	100	0.01	1146	2	300
26	2662.52686859	2665.65673688	0.002	128	100	0.01	1146	2	300
27	2662.73491028	2663.49644386	0.002	128	100	0.01	1146	2	300
28	2661.4733063	2662.42600672	0.002	128	100	0.01	1146	2	300
29	2661.53777104	2662.12609933	0.002	128	100	0.01	1146	2	300
30	2661.18924304	2662.98257172	0.002	128	100	0.01	1146	2	300
31	2661.06485553	2661.91765646	0.002	128	100	0.01	1146	2	300
32	2661.00384268	2661.41589799	0.002	128	100	0.01	1146	2	300
33	2660.90894247	2661.65607588	0.002	128	100	0.01	1146	2	300
34	2660.28279162	2662.17035554	0.002	128	100	0.01	1146	2	300
35	2659.66884128	2661.5608349	0.002	128	100	0.01	1146	2	300
36	2659.48654428	2661.18890229	0.002	128	100	0.01	1146	2	300
