	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2994.83696562	2927.49858044	0.0005	100	100	0.1	3824	2	300
1	2801.63512482	2820.27924366	0.0005	100	100	0.1	3824	2	300
2	2764.53224371	2768.36712775	0.0005	100	100	0.1	3824	2	300
3	2746.59327157	2745.23290455	0.0005	100	100	0.1	3824	2	300
4	2734.35325128	2728.19213447	0.0005	100	100	0.1	3824	2	300
5	2724.89589777	2721.2629782	0.0005	100	100	0.1	3824	2	300
6	2717.51342794	2712.13165295	0.0005	100	100	0.1	3824	2	300
7	2711.92712647	2705.26721028	0.0005	100	100	0.1	3824	2	300
8	2707.36636982	2700.63947945	0.0005	100	100	0.1	3824	2	300
9	2703.07551773	2695.51814156	0.0005	100	100	0.1	3824	2	300
10	2699.65765291	2693.10253019	0.0005	100	100	0.1	3824	2	300
11	2696.83198962	2689.93905354	0.0005	100	100	0.1	3824	2	300
12	2694.36570294	2687.47554579	0.0005	100	100	0.1	3824	2	300
13	2691.97172879	2684.75768506	0.0005	100	100	0.1	3824	2	300
14	2690.11767438	2684.84543704	0.0005	100	100	0.1	3824	2	300
15	2688.18027208	2682.4434504	0.0005	100	100	0.1	3824	2	300
16	2686.34042102	2682.13528518	0.0005	100	100	0.1	3824	2	300
17	2684.97823805	2678.56236323	0.0005	100	100	0.1	3824	2	300
18	2683.08125917	2678.60083615	0.0005	100	100	0.1	3824	2	300
19	2681.64753091	2677.45730713	0.0005	100	100	0.1	3824	2	300
20	2680.76638253	2675.96166572	0.0005	100	100	0.1	3824	2	300
21	2679.39817282	2674.84204662	0.0005	100	100	0.1	3824	2	300
22	2678.39023774	2673.70300223	0.0005	100	100	0.1	3824	2	300
23	2677.57928652	2673.78693152	0.0005	100	100	0.1	3824	2	300
24	2676.47677028	2672.77657585	0.0005	100	100	0.1	3824	2	300
25	2675.42156591	2671.78698194	0.0005	100	100	0.1	3824	2	300
26	2674.62700199	2670.84246254	0.0005	100	100	0.1	3824	2	300
27	2674.00523353	2670.36626275	0.0005	100	100	0.1	3824	2	300
28	2673.23213048	2670.11398146	0.0005	100	100	0.1	3824	2	300
29	2672.63537532	2669.96433726	0.0005	100	100	0.1	3824	2	300
30	2671.80199402	2668.52249128	0.0005	100	100	0.1	3824	2	300
31	2671.2585465	2668.05976544	0.0005	100	100	0.1	3824	2	300
32	2670.59758352	2666.67364747	0.0005	100	100	0.1	3824	2	300
33	2669.9241818	2666.41399668	0.0005	100	100	0.1	3824	2	300
34	2669.28321233	2665.42244964	0.0005	100	100	0.1	3824	2	300
35	2668.74963627	2666.27625935	0.0005	100	100	0.1	3824	2	300
36	2668.40151119	2665.48817202	0.0005	100	100	0.1	3824	2	300
37	2668.30275536	2665.11072267	0.0005	100	100	0.1	3824	2	300
38	2667.38999513	2663.84257038	0.0005	100	100	0.1	3824	2	300
39	2667.0124533	2664.08977093	0.0005	100	100	0.1	3824	2	300
40	2666.43303264	2662.65765229	0.0005	100	100	0.1	3824	2	300
41	2665.78285083	2663.89746514	0.0005	100	100	0.1	3824	2	300
42	2665.60529321	2662.025737	0.0005	100	100	0.1	3824	2	300
43	2665.37336273	2661.10977505	0.0005	100	100	0.1	3824	2	300
44	2664.69929236	2662.02173458	0.0005	100	100	0.1	3824	2	300
45	2664.33054208	2660.78667058	0.0005	100	100	0.1	3824	2	300
46	2664.37368115	2661.58703963	0.0005	100	100	0.1	3824	2	300
47	2663.70617044	2661.4089855	0.0005	100	100	0.1	3824	2	300
48	2663.42759764	2660.12955091	0.0005	100	100	0.1	3824	2	300
49	2663.34986864	2660.17226385	0.0005	100	100	0.1	3824	2	300
50	2662.60205913	2659.80499793	0.0005	100	100	0.1	3824	2	300
51	2662.36171079	2659.22284624	0.0005	100	100	0.1	3824	2	300
52	2662.25824434	2658.66129059	0.0005	100	100	0.1	3824	2	300
53	2661.71453394	2658.81508425	0.0005	100	100	0.1	3824	2	300
54	2661.83151667	2659.04529252	0.0005	100	100	0.1	3824	2	300
55	2661.45832935	2658.91858867	0.0005	100	100	0.1	3824	2	300
56	2660.96063176	2658.94098519	0.0005	100	100	0.1	3824	2	300
57	2660.91447857	2657.96884756	0.0005	100	100	0.1	3824	2	300
58	2660.32587879	2657.63709686	0.0005	100	100	0.1	3824	2	300
59	2659.88863258	2658.26209406	0.0005	100	100	0.1	3824	2	300
60	2660.21904988	2657.66588585	0.0005	100	100	0.1	3824	2	300
61	2659.79739487	2656.82536897	0.0005	100	100	0.1	3824	2	300
62	2659.66974784	2657.69961927	0.0005	100	100	0.1	3824	2	300
63	2659.29505822	2655.87738446	0.0005	100	100	0.1	3824	2	300
64	2659.03652497	2656.48250823	0.0005	100	100	0.1	3824	2	300
