	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2887.04596883	2872.38617118	0.0015	100	100	0.1	5626	2	300
1	2749.92906959	2776.75971614	0.0015	100	100	0.1	5626	2	300
2	2723.13331308	2734.50444868	0.0015	100	100	0.1	5626	2	300
3	2709.83545482	2712.86262679	0.0015	100	100	0.1	5626	2	300
4	2700.73017001	2707.50330313	0.0015	100	100	0.1	5626	2	300
5	2694.03218001	2698.98176974	0.0015	100	100	0.1	5626	2	300
6	2690.09717744	2691.43602349	0.0015	100	100	0.1	5626	2	300
7	2686.87667848	2688.68361476	0.0015	100	100	0.1	5626	2	300
8	2683.31267865	2685.11635938	0.0015	100	100	0.1	5626	2	300
9	2680.65287843	2686.06144315	0.0015	100	100	0.1	5626	2	300
10	2678.63331256	2680.25855613	0.0015	100	100	0.1	5626	2	300
11	2676.57368064	2678.10589868	0.0015	100	100	0.1	5626	2	300
12	2674.77458408	2678.49799366	0.0015	100	100	0.1	5626	2	300
13	2673.05793761	2678.10989736	0.0015	100	100	0.1	5626	2	300
14	2672.19158371	2676.79680685	0.0015	100	100	0.1	5626	2	300
15	2671.22257886	2673.78349441	0.0015	100	100	0.1	5626	2	300
16	2669.60165987	2674.08751018	0.0015	100	100	0.1	5626	2	300
17	2669.30087677	2673.34108919	0.0015	100	100	0.1	5626	2	300
18	2668.34610753	2673.95054262	0.0015	100	100	0.1	5626	2	300
19	2667.48256237	2672.3897432	0.0015	100	100	0.1	5626	2	300
20	2666.39359847	2670.33359086	0.0015	100	100	0.1	5626	2	300
21	2665.89306446	2669.75931002	0.0015	100	100	0.1	5626	2	300
22	2665.58352828	2670.00688822	0.0015	100	100	0.1	5626	2	300
23	2665.04400715	2668.21296391	0.0015	100	100	0.1	5626	2	300
24	2664.01220143	2667.06959782	0.0015	100	100	0.1	5626	2	300
25	2663.50811414	2668.02193064	0.0015	100	100	0.1	5626	2	300
26	2663.47358584	2667.1226935	0.0015	100	100	0.1	5626	2	300
27	2663.24564598	2667.10274819	0.0015	100	100	0.1	5626	2	300
28	2662.46382315	2667.60615776	0.0015	100	100	0.1	5626	2	300
29	2662.40206255	2666.07809559	0.0015	100	100	0.1	5626	2	300
30	2661.77239418	2666.54185168	0.0015	100	100	0.1	5626	2	300
31	2661.30649102	2665.1057493	0.0015	100	100	0.1	5626	2	300
32	2660.88611863	2664.75054897	0.0015	100	100	0.1	5626	2	300
33	2660.03368365	2662.7103834	0.0015	100	100	0.1	5626	2	300
34	2660.75264472	2664.88771072	0.0015	100	100	0.1	5626	2	300
35	2659.81514739	2663.22052247	0.0015	100	100	0.1	5626	2	300
36	2659.66536052	2663.11405195	0.0015	100	100	0.1	5626	2	300
37	2659.19643872	2664.31032467	0.0015	100	100	0.1	5626	2	300
38	2659.24681048	2662.32798963	0.0015	100	100	0.1	5626	2	300
39	2658.8953911	2663.79589657	0.0015	100	100	0.1	5626	2	300
40	2658.85765852	2662.34968546	0.0015	100	100	0.1	5626	2	300
41	2658.81692363	2663.18230676	0.0015	100	100	0.1	5626	2	300
42	2658.55417468	2661.28229238	0.0015	100	100	0.1	5626	2	300
43	2657.72857891	2660.72373691	0.0015	100	100	0.1	5626	2	300
44	2657.95152326	2662.12287742	0.0015	100	100	0.1	5626	2	300
45	2657.50807565	2663.37095884	0.0015	100	100	0.1	5626	2	300
46	2657.57587415	2660.17023977	0.0015	100	100	0.1	5626	2	300
47	2657.18011665	2666.64685269	0.0015	100	100	0.1	5626	2	300
48	2657.3041676	2662.64477679	0.0015	100	100	0.1	5626	2	300
49	2657.26091267	2661.99669593	0.0015	100	100	0.1	5626	2	300
50	2657.010087	2659.30526588	0.0015	100	100	0.1	5626	2	300
51	2656.45786257	2659.42978366	0.0015	100	100	0.1	5626	2	300
52	2656.31014639	2660.81858624	0.0015	100	100	0.1	5626	2	300
53	2656.46095911	2665.60615216	0.0015	100	100	0.1	5626	2	300
54	2657.21100123	2661.05255045	0.0015	100	100	0.1	5626	2	300
55	2656.1360014	2659.10687011	0.0015	100	100	0.1	5626	2	300
56	2656.06097636	2661.76988136	0.0015	100	100	0.1	5626	2	300
57	2656.67438838	2664.80688803	0.0015	100	100	0.1	5626	2	300
58	2655.51361476	2659.28338798	0.0015	100	100	0.1	5626	2	300
59	2655.61542265	2657.87546307	0.0015	100	100	0.1	5626	2	300
60	2655.32261852	2659.35404405	0.0015	100	100	0.1	5626	2	300
61	2654.94275923	2659.20505245	0.0015	100	100	0.1	5626	2	300
62	2655.05585135	2657.73633886	0.0015	100	100	0.1	5626	2	300
63	2654.76020831	2658.7198554	0.0015	100	100	0.1	5626	2	300
64	2654.72523481	2658.48772575	0.0015	100	100	0.1	5626	2	300
65	2654.97582554	2659.59139495	0.0015	100	100	0.1	5626	2	300
66	2654.39193148	2658.51403972	0.0015	100	100	0.1	5626	2	300
67	2654.53567952	2658.72867294	0.0015	100	100	0.1	5626	2	300
68	2654.93031833	2662.86732194	0.0015	100	100	0.1	5626	2	300
69	2654.61463755	2658.4470649	0.0015	100	100	0.1	5626	2	300
70	2654.58100134	2659.33693414	0.0015	100	100	0.1	5626	2	300
71	2654.88462658	2660.56144781	0.0015	100	100	0.1	5626	2	300
72	2654.80825255	2658.49117966	0.0015	100	100	0.1	5626	2	300
73	2654.56336314	2659.61286206	0.0015	100	100	0.1	5626	2	300
74	2653.80275868	2657.08497541	0.0015	100	100	0.1	5626	2	300
75	2653.611857	2658.53520386	0.0015	100	100	0.1	5626	2	300
76	2653.77706729	2658.42143293	0.0015	100	100	0.1	5626	2	300
77	2654.00387245	2659.78839777	0.0015	100	100	0.1	5626	2	300
78	2654.10735021	2659.1388628	0.0015	100	100	0.1	5626	2	300
79	2653.72585039	2657.85235467	0.0015	100	100	0.1	5626	2	300
80	2653.71690612	2660.49157411	0.0015	100	100	0.1	5626	2	300
81	2654.12580715	2659.48910843	0.0015	100	100	0.1	5626	2	300
82	2654.32612358	2658.11001406	0.0015	100	100	0.1	5626	2	300
83	2653.62652307	2659.38669354	0.0015	100	100	0.1	5626	2	300
84	2653.70374304	2656.86168757	0.0015	100	100	0.1	5626	2	300
85	2653.1992048	2657.2229424	0.0015	100	100	0.1	5626	2	300
86	2653.31456792	2656.9213335	0.0015	100	100	0.1	5626	2	300
87	2653.15422462	2657.74552191	0.0015	100	100	0.1	5626	2	300
88	2652.96659841	2658.55974957	0.0015	100	100	0.1	5626	2	300
89	2653.56723938	2657.24563721	0.0015	100	100	0.1	5626	2	300
90	2653.39256627	2657.68415672	0.0015	100	100	0.1	5626	2	300
91	2652.88141535	2657.15545222	0.0015	100	100	0.1	5626	2	300
92	2652.9140195	2657.15134945	0.0015	100	100	0.1	5626	2	300
93	2652.64852807	2657.15025805	0.0015	100	100	0.1	5626	2	300
94	2652.56999587	2657.54469267	0.0015	100	100	0.1	5626	2	300
95	2652.79751369	2656.18939011	0.0015	100	100	0.1	5626	2	300
96	2652.48945433	2659.18078263	0.0015	100	100	0.1	5626	2	300
97	2652.45831949	2655.95228381	0.0015	100	100	0.1	5626	2	300
98	2652.58562102	2659.47944504	0.0015	100	100	0.1	5626	2	300
99	2652.83924742	2657.09489135	0.0015	100	100	0.1	5626	2	300
