	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2884.67499151	2932.58585954	0.0025	128	100	1.0	4347	2	300
1	2747.89072846	2795.31110144	0.0025	128	100	1.0	4347	2	300
2	2720.5596192	2752.51168141	0.0025	128	100	1.0	4347	2	300
3	2706.39373484	2726.45000532	0.0025	128	100	1.0	4347	2	300
4	2697.55229823	2708.22277575	0.0025	128	100	1.0	4347	2	300
5	2691.39570177	2695.80210979	0.0025	128	100	1.0	4347	2	300
6	2687.32398766	2695.46783599	0.0025	128	100	1.0	4347	2	300
7	2683.75492615	2687.75706747	0.0025	128	100	1.0	4347	2	300
8	2681.32180696	2688.85649713	0.0025	128	100	1.0	4347	2	300
9	2678.81159406	2679.63273921	0.0025	128	100	1.0	4347	2	300
10	2675.85210862	2679.27125284	0.0025	128	100	1.0	4347	2	300
11	2675.01144087	2678.28928143	0.0025	128	100	1.0	4347	2	300
12	2672.99552711	2677.47186081	0.0025	128	100	1.0	4347	2	300
13	2671.67892357	2675.32470003	0.0025	128	100	1.0	4347	2	300
14	2670.78849273	2673.86105784	0.0025	128	100	1.0	4347	2	300
15	2670.41831459	2672.78017961	0.0025	128	100	1.0	4347	2	300
16	2669.29671204	2671.49274207	0.0025	128	100	1.0	4347	2	300
17	2667.66261516	2672.80547314	0.0025	128	100	1.0	4347	2	300
18	2667.60632738	2669.5560221	0.0025	128	100	1.0	4347	2	300
19	2666.21645558	2668.81769231	0.0025	128	100	1.0	4347	2	300
20	2665.79917731	2668.53982293	0.0025	128	100	1.0	4347	2	300
21	2665.12432446	2667.02649743	0.0025	128	100	1.0	4347	2	300
22	2664.842346	2668.46648505	0.0025	128	100	1.0	4347	2	300
23	2664.88947446	2667.79682785	0.0025	128	100	1.0	4347	2	300
24	2663.98910668	2665.89862562	0.0025	128	100	1.0	4347	2	300
25	2663.65528433	2664.52078696	0.0025	128	100	1.0	4347	2	300
26	2663.3229108	2666.3240633	0.0025	128	100	1.0	4347	2	300
27	2662.62664238	2663.85275239	0.0025	128	100	1.0	4347	2	300
28	2662.18288031	2668.26106335	0.0025	128	100	1.0	4347	2	300
29	2662.4681269	2665.25356781	0.0025	128	100	1.0	4347	2	300
30	2661.58584091	2665.9325383	0.0025	128	100	1.0	4347	2	300
31	2661.24868932	2663.83526016	0.0025	128	100	1.0	4347	2	300
32	2661.10909502	2664.69297192	0.0025	128	100	1.0	4347	2	300
33	2660.83674755	2665.25804964	0.0025	128	100	1.0	4347	2	300
34	2660.37421137	2661.98680754	0.0025	128	100	1.0	4347	2	300
35	2660.54053318	2664.09271742	0.0025	128	100	1.0	4347	2	300
36	2660.83471934	2663.98861128	0.0025	128	100	1.0	4347	2	300
37	2660.13101144	2664.13389129	0.0025	128	100	1.0	4347	2	300
38	2659.91741817	2661.19933639	0.0025	128	100	1.0	4347	2	300
39	2660.11335338	2661.29453209	0.0025	128	100	1.0	4347	2	300
40	2659.87784705	2661.87985154	0.0025	128	100	1.0	4347	2	300
41	2659.59211844	2661.77816346	0.0025	128	100	1.0	4347	2	300
42	2659.54807788	2661.25560683	0.0025	128	100	1.0	4347	2	300
43	2659.45741467	2660.62926056	0.0025	128	100	1.0	4347	2	300
44	2658.82957239	2660.57806758	0.0025	128	100	1.0	4347	2	300
45	2658.92545964	2660.50762578	0.0025	128	100	1.0	4347	2	300
46	2658.60020057	2663.05372588	0.0025	128	100	1.0	4347	2	300
47	2658.78902855	2660.42157671	0.0025	128	100	1.0	4347	2	300
48	2658.43365361	2659.9707386	0.0025	128	100	1.0	4347	2	300
49	2658.17944173	2661.11434651	0.0025	128	100	1.0	4347	2	300
50	2658.51991433	2661.62750349	0.0025	128	100	1.0	4347	2	300
51	2657.81913566	2658.87413827	0.0025	128	100	1.0	4347	2	300
52	2658.41659401	2660.26778912	0.0025	128	100	1.0	4347	2	300
53	2658.1162147	2659.95359601	0.0025	128	100	1.0	4347	2	300
54	2657.63635981	2661.13394918	0.0025	128	100	1.0	4347	2	300
55	2658.76129326	2660.94687211	0.0025	128	100	1.0	4347	2	300
56	2657.58324402	2660.01581079	0.0025	128	100	1.0	4347	2	300
57	2657.34130854	2660.40017636	0.0025	128	100	1.0	4347	2	300
58	2657.53527966	2660.04765037	0.0025	128	100	1.0	4347	2	300
59	2657.12027231	2658.98910983	0.0025	128	100	1.0	4347	2	300
60	2657.38942453	2659.55959552	0.0025	128	100	1.0	4347	2	300
61	2657.817172	2659.0033036	0.0025	128	100	1.0	4347	2	300
62	2657.18531477	2661.30831693	0.0025	128	100	1.0	4347	2	300
63	2656.78984371	2657.97850395	0.0025	128	100	1.0	4347	2	300
64	2656.978389	2659.26972638	0.0025	128	100	1.0	4347	2	300
65	2657.03862342	2658.74917375	0.0025	128	100	1.0	4347	2	300
66	2657.0138942	2660.11818273	0.0025	128	100	1.0	4347	2	300
67	2656.97926594	2657.67003157	0.0025	128	100	1.0	4347	2	300
68	2657.05909969	2660.85591922	0.0025	128	100	1.0	4347	2	300
69	2656.75408682	2659.23409305	0.0025	128	100	1.0	4347	2	300
70	2656.59747311	2657.75586918	0.0025	128	100	1.0	4347	2	300
71	2656.42234162	2658.11024886	0.0025	128	100	1.0	4347	2	300
72	2656.40286635	2658.23100465	0.0025	128	100	1.0	4347	2	300
73	2656.62537852	2661.95435831	0.0025	128	100	1.0	4347	2	300
74	2656.69060816	2658.45084931	0.0025	128	100	1.0	4347	2	300
75	2656.53674445	2658.68719191	0.0025	128	100	1.0	4347	2	300
76	2655.74838968	2657.86641447	0.0025	128	100	1.0	4347	2	300
77	2656.05756464	2657.04000312	0.0025	128	100	1.0	4347	2	300
78	2656.27971928	2657.50938798	0.0025	128	100	1.0	4347	2	300
79	2656.0663565	2659.63316587	0.0025	128	100	1.0	4347	2	300
