userid	genesymbol	genename	entrezgene
HOTAIR	HOTAIR	HOX transcript antisense RNA	100124700
DHRS2	DHRS2	dehydrogenase/reductase 2	10202
EDARADD	EDARADD	EDAR associated death domain	128178
C10orf82	C10orf82	chromosome 10 open reading frame 82	143379
SAMD11	SAMD11	sterile alpha motif domain containing 11	148398
CTNND2	CTNND2	catenin delta 2	1501
CTSG	CTSG	cathepsin G	1511
ADRA2C	ADRA2C	adrenoceptor alpha 2C	152
ARX	ARX	aristaless related homeobox	170302
MS4A15	MS4A15	membrane spanning 4-domains A15	219995
MS4A2	MS4A2	membrane spanning 4-domains A2	2206
BEND7	BEND7	BEN domain containing 7	222389
HSPA4L	HSPA4L	heat shock protein family A (Hsp70) member 4 like	22824
HS6ST3	HS6ST3	heparan sulfate 6-O-sulfotransferase 3	266722
HOXC10	HOXC10	homeobox C10	3226
HOXC11	HOXC11	homeobox C11	3227
KCNK1	KCNK1	potassium two pore domain channel subfamily K member 1	3775
TMEM150C	TMEM150C	transmembrane protein 150C	441027
MSI1	MSI1	musashi RNA binding protein 1	4440
MT1E	MT1E	metallothionein 1E	4493
MT1X	MT1X	metallothionein 1X	4501
PAX7	PAX7	paired box 7	5081
PIK3C2G	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma	5288
PNMT	PNMT	phenylethanolamine N-methyltransferase	5409
FAM3B	FAM3B	family with sequence similarity 3 member B	54097
TMEM132A	TMEM132A	transmembrane protein 132A	54972
ETNK2	ETNK2	ethanolamine kinase 2	55224
TRIM36	TRIM36	tripartite motif containing 36	55521
SMAGP	SMAGP	small cell adhesion glycoprotein	57228
SLC4A10	SLC4A10	solute carrier family 4 member 10	57282
CACNG6	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6	59285
SIX1	SIX1	SIX homeobox 1	6495
CAPN5	CAPN5	calpain 5	726
SHISA9	SHISA9	shisa family member 9	729993
XK	XK	X-linked Kx blood group	7504
CACNG1	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1	786
GDPD3	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	79153
NETO2	NETO2	neuropilin and tolloid like 2	81831
CAMP	CAMP	cathelicidin antimicrobial peptide	820
CAPS	CAPS	calcyphosine	828
IGDCC3	IGDCC3	immunoglobulin superfamily DCC subclass member 3	9543
