	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	2906.57253586	2958.37644944	0.0025	128	50	1.0	8341	2
1	2770.01432392	2795.90538034	0.0025	128	50	1.0	8341	2
2	2740.55710017	2755.24709552	0.0025	128	50	1.0	8341	2
3	2723.62433924	2733.16486728	0.0025	128	50	1.0	8341	2
4	2713.06497141	2724.40473147	0.0025	128	50	1.0	8341	2
5	2705.61456415	2710.86416865	0.0025	128	50	1.0	8341	2
6	2700.35487384	2708.56164061	0.0025	128	50	1.0	8341	2
7	2695.83791322	2705.87280554	0.0025	128	50	1.0	8341	2
8	2692.28407732	2696.63891088	0.0025	128	50	1.0	8341	2
9	2689.11253236	2695.13241105	0.0025	128	50	1.0	8341	2
10	2686.58581106	2693.15538874	0.0025	128	50	1.0	8341	2
11	2684.39324039	2691.3339587	0.0025	128	50	1.0	8341	2
12	2682.12157122	2686.71184404	0.0025	128	50	1.0	8341	2
13	2680.60154777	2685.96272958	0.0025	128	50	1.0	8341	2
14	2678.5785897	2683.31524903	0.0025	128	50	1.0	8341	2
15	2676.96100644	2680.02632658	0.0025	128	50	1.0	8341	2
16	2676.12027561	2682.92153376	0.0025	128	50	1.0	8341	2
17	2674.85046772	2678.64036872	0.0025	128	50	1.0	8341	2
18	2673.40177442	2678.64290396	0.0025	128	50	1.0	8341	2
19	2672.39209679	2679.32800316	0.0025	128	50	1.0	8341	2
20	2672.11250847	2677.6594565	0.0025	128	50	1.0	8341	2
21	2670.96265242	2676.75572213	0.0025	128	50	1.0	8341	2
22	2669.83633057	2672.86767812	0.0025	128	50	1.0	8341	2
23	2669.55847838	2673.41710095	0.0025	128	50	1.0	8341	2
24	2668.76202213	2673.0716345	0.0025	128	50	1.0	8341	2
25	2667.97778587	2672.18833652	0.0025	128	50	1.0	8341	2
26	2667.03844451	2674.91212338	0.0025	128	50	1.0	8341	2
27	2666.99455315	2672.7657235	0.0025	128	50	1.0	8341	2
28	2666.86373893	2671.60372289	0.0025	128	50	1.0	8341	2
29	2666.06884903	2671.84491282	0.0025	128	50	1.0	8341	2
30	2665.47408297	2671.24426059	0.0025	128	50	1.0	8341	2
31	2665.08349669	2670.82839575	0.0025	128	50	1.0	8341	2
32	2665.02921704	2669.62635935	0.0025	128	50	1.0	8341	2
33	2664.14927953	2669.71454779	0.0025	128	50	1.0	8341	2
34	2664.01012905	2670.19707703	0.0025	128	50	1.0	8341	2
35	2663.17872173	2668.67159678	0.0025	128	50	1.0	8341	2
36	2663.61505536	2670.72342415	0.0025	128	50	1.0	8341	2
37	2663.29397833	2668.14461107	0.0025	128	50	1.0	8341	2
38	2662.83101669	2667.54299162	0.0025	128	50	1.0	8341	2
39	2662.39641595	2670.40145308	0.0025	128	50	1.0	8341	2
40	2662.15504605	2666.06174424	0.0025	128	50	1.0	8341	2
41	2661.52158496	2667.56346349	0.0025	128	50	1.0	8341	2
42	2661.59770203	2665.96025503	0.0025	128	50	1.0	8341	2
43	2660.8388647	2665.72132911	0.0025	128	50	1.0	8341	2
44	2660.68006519	2666.20109438	0.0025	128	50	1.0	8341	2
45	2660.71339058	2666.47093886	0.0025	128	50	1.0	8341	2
46	2660.64515393	2665.24101581	0.0025	128	50	1.0	8341	2
47	2660.18639194	2665.34690469	0.0025	128	50	1.0	8341	2
48	2660.0319831	2664.24764215	0.0025	128	50	1.0	8341	2
49	2660.35356166	2666.78463016	0.0025	128	50	1.0	8341	2
