	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	2848.90988384	2783.75648256	0.002	50	100	0.05	1009	2
1	2746.79897122	2738.33718434	0.002	50	100	0.05	1009	2
2	2723.82817973	2707.80526121	0.002	50	100	0.05	1009	2
3	2711.32664587	2693.20463419	0.002	50	100	0.05	1009	2
4	2703.35234223	2689.72321595	0.002	50	100	0.05	1009	2
5	2697.81947371	2684.65178591	0.002	50	100	0.05	1009	2
6	2693.65307825	2679.8386772	0.002	50	100	0.05	1009	2
7	2689.95027291	2677.12988608	0.002	50	100	0.05	1009	2
8	2686.84249615	2674.64263227	0.002	50	100	0.05	1009	2
9	2684.34746946	2674.50543505	0.002	50	100	0.05	1009	2
10	2681.96868573	2668.83786495	0.002	50	100	0.05	1009	2
11	2680.15106108	2668.74532352	0.002	50	100	0.05	1009	2
12	2678.89506733	2668.57928408	0.002	50	100	0.05	1009	2
13	2677.46556673	2666.4367265	0.002	50	100	0.05	1009	2
14	2676.63545012	2663.83549637	0.002	50	100	0.05	1009	2
15	2674.84738991	2663.84043706	0.002	50	100	0.05	1009	2
16	2674.25316864	2663.9029618	0.002	50	100	0.05	1009	2
17	2673.36210837	2663.48608725	0.002	50	100	0.05	1009	2
18	2672.55374191	2660.4101021	0.002	50	100	0.05	1009	2
19	2671.75229123	2660.94651827	0.002	50	100	0.05	1009	2
20	2671.39750324	2659.88075294	0.002	50	100	0.05	1009	2
21	2670.49894947	2660.18729554	0.002	50	100	0.05	1009	2
22	2670.26374284	2659.79308545	0.002	50	100	0.05	1009	2
23	2669.37573522	2660.00918398	0.002	50	100	0.05	1009	2
24	2668.96731911	2657.82636513	0.002	50	100	0.05	1009	2
25	2668.66050966	2657.50245308	0.002	50	100	0.05	1009	2
26	2668.01586253	2656.74412802	0.002	50	100	0.05	1009	2
27	2667.56662788	2657.44909831	0.002	50	100	0.05	1009	2
28	2667.64842681	2657.40470953	0.002	50	100	0.05	1009	2
29	2666.84628579	2658.00779756	0.002	50	100	0.05	1009	2
30	2666.27318428	2661.00719958	0.002	50	100	0.05	1009	2
31	2666.5709523	2655.44152249	0.002	50	100	0.05	1009	2
32	2665.98826706	2655.19184365	0.002	50	100	0.05	1009	2
33	2666.10929193	2657.08013694	0.002	50	100	0.05	1009	2
34	2665.84546505	2654.76743948	0.002	50	100	0.05	1009	2
35	2665.25856585	2655.95452682	0.002	50	100	0.05	1009	2
36	2664.89140945	2654.94447458	0.002	50	100	0.05	1009	2
37	2664.70546476	2653.39002515	0.002	50	100	0.05	1009	2
38	2664.34676014	2657.09621475	0.002	50	100	0.05	1009	2
39	2664.18063603	2655.09649296	0.002	50	100	0.05	1009	2
40	2664.33261295	2654.26347675	0.002	50	100	0.05	1009	2
41	2663.93608114	2653.75157408	0.002	50	100	0.05	1009	2
42	2663.92695677	2654.41221861	0.002	50	100	0.05	1009	2
43	2663.38789624	2653.07021587	0.002	50	100	0.05	1009	2
44	2663.57363038	2652.35547715	0.002	50	100	0.05	1009	2
45	2663.12425316	2653.51637143	0.002	50	100	0.05	1009	2
46	2663.24481619	2652.22475829	0.002	50	100	0.05	1009	2
47	2662.84282899	2652.15276761	0.002	50	100	0.05	1009	2
48	2662.66439503	2652.86573899	0.002	50	100	0.05	1009	2
49	2662.64805356	2652.2042234	0.002	50	100	0.05	1009	2
50	2662.13183441	2652.8302247	0.002	50	100	0.05	1009	2
51	2662.54717301	2653.36802355	0.002	50	100	0.05	1009	2
52	2662.13983733	2652.70121575	0.002	50	100	0.05	1009	2
53	2661.96714531	2652.27219952	0.002	50	100	0.05	1009	2
54	2661.93909302	2652.85341293	0.002	50	100	0.05	1009	2
55	2662.01201054	2651.67115425	0.002	50	100	0.05	1009	2
56	2662.24084969	2653.88364482	0.002	50	100	0.05	1009	2
57	2661.86132569	2650.80187545	0.002	50	100	0.05	1009	2
58	2661.45251694	2652.74535946	0.002	50	100	0.05	1009	2
59	2661.56867427	2651.82507488	0.002	50	100	0.05	1009	2
60	2661.74938388	2651.31558327	0.002	50	100	0.05	1009	2
61	2661.45762561	2651.28276152	0.002	50	100	0.05	1009	2
62	2661.13776026	2653.33867253	0.002	50	100	0.05	1009	2
63	2661.46342619	2650.4331008	0.002	50	100	0.05	1009	2
64	2660.83189726	2651.15846267	0.002	50	100	0.05	1009	2
65	2660.58799865	2651.19793876	0.002	50	100	0.05	1009	2
66	2661.04340933	2651.9700818	0.002	50	100	0.05	1009	2
67	2661.04353074	2650.90272793	0.002	50	100	0.05	1009	2
68	2660.80645048	2650.96071203	0.002	50	100	0.05	1009	2
69	2660.76495615	2652.24146815	0.002	50	100	0.05	1009	2
70	2660.72328915	2649.3186754	0.002	50	100	0.05	1009	2
71	2660.89652862	2652.21520273	0.002	50	100	0.05	1009	2
72	2660.57637856	2650.45626568	0.002	50	100	0.05	1009	2
73	2660.79458226	2651.32153414	0.002	50	100	0.05	1009	2
74	2660.56722683	2649.7276651	0.002	50	100	0.05	1009	2
75	2660.67247338	2651.62894733	0.002	50	100	0.05	1009	2
76	2660.97004901	2649.88130004	0.002	50	100	0.05	1009	2
77	2659.96366055	2649.16892897	0.002	50	100	0.05	1009	2
78	2660.22351184	2651.05770028	0.002	50	100	0.05	1009	2
79	2660.51006213	2650.53484816	0.002	50	100	0.05	1009	2
80	2660.31868913	2648.87315798	0.002	50	100	0.05	1009	2
81	2659.88398283	2652.54930567	0.002	50	100	0.05	1009	2
82	2660.27462319	2650.66757243	0.002	50	100	0.05	1009	2
83	2660.30847351	2650.9914196	0.002	50	100	0.05	1009	2
84	2659.9473197	2649.65238203	0.002	50	100	0.05	1009	2
85	2659.71349596	2649.18422814	0.002	50	100	0.05	1009	2
86	2660.03839816	2649.00020866	0.002	50	100	0.05	1009	2
87	2659.98036918	2649.6639528	0.002	50	100	0.05	1009	2
88	2659.68962184	2647.59549306	0.002	50	100	0.05	1009	2
89	2659.92300467	2652.14258326	0.002	50	100	0.05	1009	2
90	2660.37463873	2650.44565	0.002	50	100	0.05	1009	2
91	2659.89123695	2649.63269767	0.002	50	100	0.05	1009	2
92	2659.78665938	2651.89065348	0.002	50	100	0.05	1009	2
93	2659.74537378	2650.35669552	0.002	50	100	0.05	1009	2
94	2659.30130652	2649.08360673	0.002	50	100	0.05	1009	2
95	2659.34359389	2649.45146643	0.002	50	100	0.05	1009	2
96	2659.47073415	2652.1295061	0.002	50	100	0.05	1009	2
97	2659.50053388	2648.73634073	0.002	50	100	0.05	1009	2
98	2659.44616436	2651.7046762	0.002	50	100	0.05	1009	2
99	2659.6904433	2651.9438668	0.002	50	100	0.05	1009	2
