	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	2863.66369791	2792.41390145	0.0015	50	100	0.01	8662	2
1	2756.74040971	2740.23701293	0.0015	50	100	0.01	8662	2
2	2730.98414284	2722.42459369	0.0015	50	100	0.01	8662	2
3	2717.23466092	2708.22968545	0.0015	50	100	0.01	8662	2
4	2708.22754505	2702.21136883	0.0015	50	100	0.01	8662	2
5	2702.39194016	2694.76910926	0.0015	50	100	0.01	8662	2
6	2697.37883446	2691.9165842	0.0015	50	100	0.01	8662	2
7	2693.70328845	2687.96065181	0.0015	50	100	0.01	8662	2
8	2690.99659215	2686.74792037	0.0015	50	100	0.01	8662	2
9	2687.67101378	2681.05704581	0.0015	50	100	0.01	8662	2
10	2685.06809184	2681.54136153	0.0015	50	100	0.01	8662	2
11	2683.04196215	2680.58459076	0.0015	50	100	0.01	8662	2
12	2681.18830663	2678.30982659	0.0015	50	100	0.01	8662	2
13	2679.46328727	2674.66108146	0.0015	50	100	0.01	8662	2
14	2678.3331597	2673.69291124	0.0015	50	100	0.01	8662	2
15	2677.18876563	2674.39209264	0.0015	50	100	0.01	8662	2
16	2675.70581011	2676.16812746	0.0015	50	100	0.01	8662	2
17	2674.68410032	2671.56196924	0.0015	50	100	0.01	8662	2
18	2673.18236052	2670.67796638	0.0015	50	100	0.01	8662	2
19	2672.19826403	2670.53484722	0.0015	50	100	0.01	8662	2
20	2671.81161554	2668.80298598	0.0015	50	100	0.01	8662	2
21	2671.01789979	2672.8889879	0.0015	50	100	0.01	8662	2
22	2670.31600242	2668.71870659	0.0015	50	100	0.01	8662	2
23	2669.82607098	2667.03949663	0.0015	50	100	0.01	8662	2
24	2669.06292938	2665.07523966	0.0015	50	100	0.01	8662	2
25	2668.21327459	2664.96874673	0.0015	50	100	0.01	8662	2
26	2668.03920118	2665.2707809	0.0015	50	100	0.01	8662	2
27	2667.25228107	2665.49025398	0.0015	50	100	0.01	8662	2
28	2666.82108961	2664.74356738	0.0015	50	100	0.01	8662	2
29	2666.0946578	2663.70735521	0.0015	50	100	0.01	8662	2
30	2666.21771972	2663.7874002	0.0015	50	100	0.01	8662	2
31	2665.13896576	2662.84431624	0.0015	50	100	0.01	8662	2
32	2664.83477552	2665.96624838	0.0015	50	100	0.01	8662	2
33	2664.83461575	2663.56416791	0.0015	50	100	0.01	8662	2
34	2664.02063345	2660.86666654	0.0015	50	100	0.01	8662	2
35	2663.7635894	2661.2121316	0.0015	50	100	0.01	8662	2
36	2663.64263096	2662.74697042	0.0015	50	100	0.01	8662	2
37	2663.13980968	2660.00669683	0.0015	50	100	0.01	8662	2
38	2662.87377616	2660.63630656	0.0015	50	100	0.01	8662	2
39	2662.8776967	2661.67353684	0.0015	50	100	0.01	8662	2
40	2662.52447343	2659.91656319	0.0015	50	100	0.01	8662	2
41	2662.28329491	2660.00842075	0.0015	50	100	0.01	8662	2
42	2661.61777724	2659.8348475	0.0015	50	100	0.01	8662	2
43	2661.51092488	2660.31948672	0.0015	50	100	0.01	8662	2
44	2661.42722737	2658.35744428	0.0015	50	100	0.01	8662	2
45	2661.72529916	2658.83498054	0.0015	50	100	0.01	8662	2
46	2661.04978837	2660.91079764	0.0015	50	100	0.01	8662	2
47	2661.31059398	2657.83713346	0.0015	50	100	0.01	8662	2
48	2660.66728849	2658.89126219	0.0015	50	100	0.01	8662	2
49	2660.5738379	2658.20714795	0.0015	50	100	0.01	8662	2
50	2660.63819122	2658.35992117	0.0015	50	100	0.01	8662	2
51	2660.13577982	2657.84336955	0.0015	50	100	0.01	8662	2
52	2659.91710011	2659.58342981	0.0015	50	100	0.01	8662	2
53	2660.03591124	2658.9831529	0.0015	50	100	0.01	8662	2
54	2659.77385495	2658.384479	0.0015	50	100	0.01	8662	2
55	2659.33851422	2657.01068337	0.0015	50	100	0.01	8662	2
56	2659.67541689	2657.61137247	0.0015	50	100	0.01	8662	2
57	2659.26131142	2657.4796579	0.0015	50	100	0.01	8662	2
58	2659.15937343	2658.59445721	0.0015	50	100	0.01	8662	2
59	2659.26615854	2659.17758173	0.0015	50	100	0.01	8662	2
60	2658.97898596	2656.48307027	0.0015	50	100	0.01	8662	2
61	2658.90144606	2656.91888743	0.0015	50	100	0.01	8662	2
62	2658.53257103	2657.00640274	0.0015	50	100	0.01	8662	2
63	2658.65082192	2656.31816098	0.0015	50	100	0.01	8662	2
64	2658.4514231	2659.30295891	0.0015	50	100	0.01	8662	2
65	2658.7772647	2657.19541847	0.0015	50	100	0.01	8662	2
66	2658.22876804	2656.93125738	0.0015	50	100	0.01	8662	2
67	2658.06617357	2656.77383615	0.0015	50	100	0.01	8662	2
68	2658.27281017	2657.15291746	0.0015	50	100	0.01	8662	2
69	2658.16748267	2655.7953252	0.0015	50	100	0.01	8662	2
70	2658.23459857	2655.39797769	0.0015	50	100	0.01	8662	2
71	2657.92639136	2658.34678192	0.0015	50	100	0.01	8662	2
72	2657.788269	2655.89909803	0.0015	50	100	0.01	8662	2
73	2657.87933682	2656.4982546	0.0015	50	100	0.01	8662	2
74	2657.87493384	2655.41460353	0.0015	50	100	0.01	8662	2
75	2657.91669441	2656.46580444	0.0015	50	100	0.01	8662	2
76	2657.57977669	2655.7371217	0.0015	50	100	0.01	8662	2
77	2657.49062277	2655.427374	0.0015	50	100	0.01	8662	2
78	2657.78559178	2656.26327322	0.0015	50	100	0.01	8662	2
79	2657.70629323	2654.6203758	0.0015	50	100	0.01	8662	2
80	2657.09248191	2655.43701452	0.0015	50	100	0.01	8662	2
81	2657.23126059	2655.47309085	0.0015	50	100	0.01	8662	2
82	2657.01623251	2655.26511571	0.0015	50	100	0.01	8662	2
83	2657.21352052	2654.72649761	0.0015	50	100	0.01	8662	2
84	2657.23998116	2654.87811268	0.0015	50	100	0.01	8662	2
85	2656.61693662	2656.03780492	0.0015	50	100	0.01	8662	2
86	2657.04615308	2654.67706544	0.0015	50	100	0.01	8662	2
87	2656.79476843	2654.3868742	0.0015	50	100	0.01	8662	2
88	2656.65516922	2655.70498756	0.0015	50	100	0.01	8662	2
89	2656.89184109	2656.04309852	0.0015	50	100	0.01	8662	2
90	2656.76111829	2654.35279161	0.0015	50	100	0.01	8662	2
91	2656.62422247	2655.88091819	0.0015	50	100	0.01	8662	2
92	2656.66854018	2655.50255391	0.0015	50	100	0.01	8662	2
93	2656.98499976	2655.97517655	0.0015	50	100	0.01	8662	2
94	2656.67580026	2654.70230062	0.0015	50	100	0.01	8662	2
95	2656.36858387	2655.42205752	0.0015	50	100	0.01	8662	2
96	2656.34582285	2655.00630424	0.0015	50	100	0.01	8662	2
97	2656.23084958	2654.59260772	0.0015	50	100	0.01	8662	2
98	2656.54614151	2654.79297108	0.0015	50	100	0.01	8662	2
99	2656.69646528	2654.65058902	0.0015	50	100	0.01	8662	2
