	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	2888.13362234	2818.35185752	0.001	50	10	0.05	5045	2
1	2768.93231518	2760.37755717	0.001	50	10	0.05	5045	2
2	2743.90352259	2738.51113104	0.001	50	10	0.05	5045	2
3	2728.49660185	2722.15107497	0.001	50	10	0.05	5045	2
4	2717.77185327	2713.15071552	0.001	50	10	0.05	5045	2
5	2710.93402705	2711.10383539	0.001	50	10	0.05	5045	2
6	2705.41780413	2706.40258976	0.001	50	10	0.05	5045	2
7	2701.00309947	2702.22272114	0.001	50	10	0.05	5045	2
8	2696.89539525	2697.04272554	0.001	50	10	0.05	5045	2
9	2694.00719622	2693.08125261	0.001	50	10	0.05	5045	2
