	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	2979.64661336	2987.47013689	0.001	128	10	1.0	4087	2
1	2808.83354317	2809.14606378	0.001	128	10	1.0	4087	2
2	2773.26026462	2787.08894514	0.001	128	10	1.0	4087	2
3	2754.72171768	2756.54229421	0.001	128	10	1.0	4087	2
4	2741.74778886	2739.74352957	0.001	128	10	1.0	4087	2
5	2732.1422466	2729.60522228	0.001	128	10	1.0	4087	2
6	2724.29992804	2723.10081047	0.001	128	10	1.0	4087	2
7	2718.08366608	2718.73787046	0.001	128	10	1.0	4087	2
8	2712.99644164	2711.33592069	0.001	128	10	1.0	4087	2
9	2708.39748778	2706.20541236	0.001	128	10	1.0	4087	2
