	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	2837.27413701	2784.09579742	0.0025	50	50	0.05	5564	2
1	2740.00054617	2734.20582268	0.0025	50	50	0.05	5564	2
2	2717.80518997	2719.37873633	0.0025	50	50	0.05	5564	2
3	2706.568612	2706.77272748	0.0025	50	50	0.05	5564	2
4	2699.02750798	2698.50992154	0.0025	50	50	0.05	5564	2
5	2694.67287657	2697.82655512	0.0025	50	50	0.05	5564	2
6	2690.37930889	2690.75094762	0.0025	50	50	0.05	5564	2
7	2686.82867218	2691.45560468	0.0025	50	50	0.05	5564	2
8	2685.01850523	2688.65080748	0.0025	50	50	0.05	5564	2
9	2682.48796397	2684.40957554	0.0025	50	50	0.05	5564	2
10	2680.42359903	2683.13284518	0.0025	50	50	0.05	5564	2
11	2678.15913445	2679.45681558	0.0025	50	50	0.05	5564	2
12	2677.08800293	2679.1745008	0.0025	50	50	0.05	5564	2
13	2675.76132649	2678.55737351	0.0025	50	50	0.05	5564	2
14	2674.90122023	2679.32103232	0.0025	50	50	0.05	5564	2
15	2674.46249885	2678.5328885	0.0025	50	50	0.05	5564	2
16	2673.07798759	2675.48789567	0.0025	50	50	0.05	5564	2
17	2672.22554299	2673.30757237	0.0025	50	50	0.05	5564	2
18	2671.33052117	2673.27786237	0.0025	50	50	0.05	5564	2
19	2671.19545497	2675.13047473	0.0025	50	50	0.05	5564	2
20	2670.40908966	2673.62502941	0.0025	50	50	0.05	5564	2
21	2669.88309103	2673.56026866	0.0025	50	50	0.05	5564	2
22	2668.84085709	2674.49291152	0.0025	50	50	0.05	5564	2
23	2668.67096489	2672.97186641	0.0025	50	50	0.05	5564	2
24	2668.88487298	2675.90620612	0.0025	50	50	0.05	5564	2
25	2667.85215154	2670.36441513	0.0025	50	50	0.05	5564	2
26	2667.44372884	2671.09610225	0.0025	50	50	0.05	5564	2
27	2667.04034387	2673.57500019	0.0025	50	50	0.05	5564	2
28	2667.16696851	2668.67319793	0.0025	50	50	0.05	5564	2
29	2666.73103554	2668.39956064	0.0025	50	50	0.05	5564	2
30	2666.32176409	2670.99434742	0.0025	50	50	0.05	5564	2
31	2665.56026808	2669.64907376	0.0025	50	50	0.05	5564	2
32	2666.01235121	2670.47089592	0.0025	50	50	0.05	5564	2
33	2666.02337881	2669.49654842	0.0025	50	50	0.05	5564	2
34	2665.34060888	2669.58543288	0.0025	50	50	0.05	5564	2
35	2665.23645962	2667.94892793	0.0025	50	50	0.05	5564	2
36	2664.99134635	2671.47993005	0.0025	50	50	0.05	5564	2
37	2664.59607311	2670.32221334	0.0025	50	50	0.05	5564	2
38	2664.8762372	2669.05610426	0.0025	50	50	0.05	5564	2
39	2664.27479655	2669.87168146	0.0025	50	50	0.05	5564	2
40	2664.45985989	2668.62751656	0.0025	50	50	0.05	5564	2
41	2663.7255704	2668.63842213	0.0025	50	50	0.05	5564	2
42	2664.14023611	2667.50396367	0.0025	50	50	0.05	5564	2
43	2663.89512242	2666.35856649	0.0025	50	50	0.05	5564	2
44	2663.78213055	2668.84926534	0.0025	50	50	0.05	5564	2
45	2663.84541201	2667.66588165	0.0025	50	50	0.05	5564	2
46	2662.99291129	2668.24261696	0.0025	50	50	0.05	5564	2
47	2663.58080362	2665.32904975	0.0025	50	50	0.05	5564	2
48	2663.23996954	2667.21493571	0.0025	50	50	0.05	5564	2
49	2663.24711373	2668.32742572	0.0025	50	50	0.05	5564	2
