	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	2959.06023452	3005.98824951	0.0025	200	100	0.1	8357	2
1	2794.3460099	2841.67984762	0.0025	200	100	0.1	8357	2
2	2760.806388	2776.23484134	0.0025	200	100	0.1	8357	2
3	2742.88304061	2755.76553631	0.0025	200	100	0.1	8357	2
4	2729.8499416	2739.23881294	0.0025	200	100	0.1	8357	2
5	2721.21473967	2724.41834313	0.0025	200	100	0.1	8357	2
6	2714.04297663	2724.30143945	0.0025	200	100	0.1	8357	2
7	2707.95105998	2706.97031007	0.0025	200	100	0.1	8357	2
8	2703.32421426	2703.27565577	0.0025	200	100	0.1	8357	2
9	2699.86274667	2697.45120829	0.0025	200	100	0.1	8357	2
10	2697.25581557	2693.33757506	0.0025	200	100	0.1	8357	2
11	2694.22288122	2691.59328553	0.0025	200	100	0.1	8357	2
12	2692.39878998	2687.99183459	0.0025	200	100	0.1	8357	2
13	2690.21299759	2689.30738892	0.0025	200	100	0.1	8357	2
14	2688.04017129	2683.98441748	0.0025	200	100	0.1	8357	2
15	2685.29736619	2684.2283331	0.0025	200	100	0.1	8357	2
16	2686.60913874	2683.8956922	0.0025	200	100	0.1	8357	2
17	2683.86623724	2678.32167511	0.0025	200	100	0.1	8357	2
18	2682.14744618	2678.14067261	0.0025	200	100	0.1	8357	2
19	2680.55467318	2678.15248193	0.0025	200	100	0.1	8357	2
20	2680.0427105	2678.39539018	0.0025	200	100	0.1	8357	2
21	2678.43015267	2674.38817612	0.0025	200	100	0.1	8357	2
22	2676.90954158	2670.10792043	0.0025	200	100	0.1	8357	2
23	2675.77452154	2673.26970304	0.0025	200	100	0.1	8357	2
24	2676.0007589	2675.58080168	0.0025	200	100	0.1	8357	2
25	2674.13780246	2669.91444108	0.0025	200	100	0.1	8357	2
26	2674.04109066	2668.89757997	0.0025	200	100	0.1	8357	2
27	2673.60685794	2668.56950305	0.0025	200	100	0.1	8357	2
28	2672.56705163	2668.23765199	0.0025	200	100	0.1	8357	2
29	2671.55856299	2669.34492729	0.0025	200	100	0.1	8357	2
30	2672.10938903	2666.68121256	0.0025	200	100	0.1	8357	2
31	2670.92888041	2667.45038437	0.0025	200	100	0.1	8357	2
32	2671.39365389	2665.03274192	0.0025	200	100	0.1	8357	2
33	2670.29689025	2664.65542142	0.0025	200	100	0.1	8357	2
34	2670.16269085	2667.63822047	0.0025	200	100	0.1	8357	2
35	2669.21605151	2664.24297267	0.0025	200	100	0.1	8357	2
36	2668.3424395	2664.8354819	0.0025	200	100	0.1	8357	2
37	2667.93463132	2665.95679084	0.0025	200	100	0.1	8357	2
38	2668.27074093	2663.32108787	0.0025	200	100	0.1	8357	2
39	2667.59740404	2662.73134542	0.0025	200	100	0.1	8357	2
40	2666.93369988	2662.8834609	0.0025	200	100	0.1	8357	2
41	2666.82907581	2664.57201262	0.0025	200	100	0.1	8357	2
42	2666.89669796	2662.13698436	0.0025	200	100	0.1	8357	2
43	2666.34777833	2661.6223448	0.0025	200	100	0.1	8357	2
44	2667.40603286	2666.73133188	0.0025	200	100	0.1	8357	2
45	2667.26754262	2662.79534854	0.0025	200	100	0.1	8357	2
46	2666.18063439	2661.63677663	0.0025	200	100	0.1	8357	2
47	2664.7386884	2660.28738899	0.0025	200	100	0.1	8357	2
48	2664.67567714	2661.2937852	0.0025	200	100	0.1	8357	2
49	2664.79783185	2663.0247511	0.0025	200	100	0.1	8357	2
50	2664.73358666	2661.19160978	0.0025	200	100	0.1	8357	2
