	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	3124.2318702	3014.70823048	0.0005	200	100	1.0	9296	2
1	2902.82019418	2932.63755574	0.0005	200	100	1.0	9296	2
2	2842.03316847	2870.82446009	0.0005	200	100	1.0	9296	2
3	2810.93197897	2843.21343352	0.0005	200	100	1.0	9296	2
4	2793.15801441	2815.29802008	0.0005	200	100	1.0	9296	2
5	2781.05134218	2798.00914524	0.0005	200	100	1.0	9296	2
6	2771.33024526	2785.68571399	0.0005	200	100	1.0	9296	2
7	2763.36450346	2774.27054516	0.0005	200	100	1.0	9296	2
8	2756.44847601	2768.34215398	0.0005	200	100	1.0	9296	2
9	2750.32104339	2762.10190607	0.0005	200	100	1.0	9296	2
10	2745.54889904	2761.77207909	0.0005	200	100	1.0	9296	2
11	2740.23951879	2752.9830558	0.0005	200	100	1.0	9296	2
12	2736.28247618	2749.87148167	0.0005	200	100	1.0	9296	2
13	2732.71804486	2745.19562246	0.0005	200	100	1.0	9296	2
14	2729.84486519	2741.50543318	0.0005	200	100	1.0	9296	2
15	2727.04084566	2739.20788691	0.0005	200	100	1.0	9296	2
16	2724.0150157	2733.40246605	0.0005	200	100	1.0	9296	2
17	2722.01280814	2735.10214181	0.0005	200	100	1.0	9296	2
18	2719.28922748	2731.41952369	0.0005	200	100	1.0	9296	2
19	2717.28752283	2729.93094135	0.0005	200	100	1.0	9296	2
20	2714.83805449	2728.20607243	0.0005	200	100	1.0	9296	2
21	2713.0694214	2726.35304041	0.0005	200	100	1.0	9296	2
22	2711.06504845	2723.87489497	0.0005	200	100	1.0	9296	2
23	2709.50925787	2721.89210665	0.0005	200	100	1.0	9296	2
24	2708.50832054	2722.41522905	0.0005	200	100	1.0	9296	2
25	2706.67979825	2717.38407475	0.0005	200	100	1.0	9296	2
26	2705.66316976	2718.2052065	0.0005	200	100	1.0	9296	2
27	2704.55627933	2715.48208764	0.0005	200	100	1.0	9296	2
28	2703.44360546	2717.15717801	0.0005	200	100	1.0	9296	2
29	2701.93398363	2715.04980282	0.0005	200	100	1.0	9296	2
30	2700.73663457	2712.2307311	0.0005	200	100	1.0	9296	2
31	2699.73075039	2711.40219437	0.0005	200	100	1.0	9296	2
32	2698.96338376	2710.8845719	0.0005	200	100	1.0	9296	2
33	2697.61761239	2709.90175417	0.0005	200	100	1.0	9296	2
34	2696.82793836	2709.5227751	0.0005	200	100	1.0	9296	2
35	2696.01075951	2707.79482431	0.0005	200	100	1.0	9296	2
36	2695.06743985	2708.30796869	0.0005	200	100	1.0	9296	2
37	2693.93410742	2707.14825358	0.0005	200	100	1.0	9296	2
38	2693.58719436	2707.17051519	0.0005	200	100	1.0	9296	2
