	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	2956.78534502	3059.2649542	0.0025	200	50	0.05	9227	2
1	2791.7127702	2828.60787841	0.0025	200	50	0.05	9227	2
2	2759.44525007	2794.45993106	0.0025	200	50	0.05	9227	2
3	2741.57712712	2756.55887477	0.0025	200	50	0.05	9227	2
4	2729.22210253	2740.7361316	0.0025	200	50	0.05	9227	2
5	2719.86991608	2735.5232209	0.0025	200	50	0.05	9227	2
6	2713.2266637	2722.59717964	0.0025	200	50	0.05	9227	2
7	2706.78541453	2712.44841024	0.0025	200	50	0.05	9227	2
8	2703.5565299	2711.18708641	0.0025	200	50	0.05	9227	2
9	2698.81322705	2703.4138529	0.0025	200	50	0.05	9227	2
10	2696.37391225	2702.66353407	0.0025	200	50	0.05	9227	2
11	2693.68364505	2698.36436331	0.0025	200	50	0.05	9227	2
12	2691.98395973	2691.07566539	0.0025	200	50	0.05	9227	2
13	2689.62074086	2694.32551087	0.0025	200	50	0.05	9227	2
14	2687.63116799	2688.032579	0.0025	200	50	0.05	9227	2
15	2685.79429675	2687.51057647	0.0025	200	50	0.05	9227	2
16	2683.78996854	2684.98193499	0.0025	200	50	0.05	9227	2
17	2683.24603589	2684.04966324	0.0025	200	50	0.05	9227	2
18	2682.27901954	2683.33981154	0.0025	200	50	0.05	9227	2
19	2680.45666339	2681.18251402	0.0025	200	50	0.05	9227	2
20	2679.72761819	2679.94363573	0.0025	200	50	0.05	9227	2
21	2678.29602501	2681.43043159	0.0025	200	50	0.05	9227	2
22	2678.14352507	2678.88873396	0.0025	200	50	0.05	9227	2
23	2677.10815422	2678.22487172	0.0025	200	50	0.05	9227	2
24	2676.53060709	2677.69949463	0.0025	200	50	0.05	9227	2
25	2675.22605624	2678.06729459	0.0025	200	50	0.05	9227	2
26	2674.72929984	2676.26778492	0.0025	200	50	0.05	9227	2
27	2673.72455955	2676.4646687	0.0025	200	50	0.05	9227	2
28	2673.2898982	2679.58432514	0.0025	200	50	0.05	9227	2
29	2672.10176206	2674.6890512	0.0025	200	50	0.05	9227	2
30	2672.3340071	2672.31399799	0.0025	200	50	0.05	9227	2
31	2670.92132105	2674.07404463	0.0025	200	50	0.05	9227	2
32	2671.69756786	2675.10512891	0.0025	200	50	0.05	9227	2
33	2670.7062025	2671.85750077	0.0025	200	50	0.05	9227	2
34	2669.87736684	2671.18125271	0.0025	200	50	0.05	9227	2
35	2668.79517865	2669.74109424	0.0025	200	50	0.05	9227	2
36	2668.58247292	2671.5069293	0.0025	200	50	0.05	9227	2
37	2668.17564277	2670.71967195	0.0025	200	50	0.05	9227	2
38	2668.16360856	2669.40522302	0.0025	200	50	0.05	9227	2
39	2667.22796255	2667.60155923	0.0025	200	50	0.05	9227	2
40	2667.07471128	2669.84499358	0.0025	200	50	0.05	9227	2
41	2666.70375396	2667.71069896	0.0025	200	50	0.05	9227	2
42	2666.53196798	2668.50943746	0.0025	200	50	0.05	9227	2
43	2667.02686221	2667.28694599	0.0025	200	50	0.05	9227	2
44	2665.09688093	2668.1076016	0.0025	200	50	0.05	9227	2
45	2665.54592098	2667.80444243	0.0025	200	50	0.05	9227	2
46	2665.24088665	2668.59099163	0.0025	200	50	0.05	9227	2
47	2665.56616144	2669.34435498	0.0025	200	50	0.05	9227	2
48	2665.01338961	2665.78715185	0.0025	200	50	0.05	9227	2
49	2664.81353489	2667.36645461	0.0025	200	50	0.05	9227	2
