	loss	val_loss	learning_rate	batch_size	epochs	kappa
0	3087.0825769	3490.47981989	0.001	200	100	0.1
1	2864.52823374	2939.55118971	0.001	200	100	0.1
2	2816.95950521	2829.11108865	0.001	200	100	0.1
3	2793.4527851	2810.61499257	0.001	200	100	0.1
4	2778.84625127	2792.42399711	0.001	200	100	0.1
5	2768.63135832	2775.77342163	0.001	200	100	0.1
6	2759.87972325	2763.66931316	0.001	200	100	0.1
7	2753.41500311	2759.39533136	0.001	200	100	0.1
8	2749.10425941	2757.24566615	0.001	200	100	0.1
9	2745.0156846	2745.53365313	0.001	200	100	0.1
10	2740.40657444	2748.15113472	0.001	200	100	0.1
11	2736.93662031	2745.49885865	0.001	200	100	0.1
12	2733.90429011	2736.08586514	0.001	200	100	0.1
13	2731.4040932	2734.18340423	0.001	200	100	0.1
14	2728.30112761	2729.81160513	0.001	200	100	0.1
15	2725.79560761	2728.14247869	0.001	200	100	0.1
16	2723.93393233	2727.68089933	0.001	200	100	0.1
17	2721.57577149	2723.08353904	0.001	200	100	0.1
18	2719.47437898	2719.73389605	0.001	200	100	0.1
19	2717.07725338	2719.01919421	0.001	200	100	0.1
20	2715.85380591	2718.02754354	0.001	200	100	0.1
21	2714.25010699	2716.83764508	0.001	200	100	0.1
22	2712.7355133	2713.3050306	0.001	200	100	0.1
23	2710.97425869	2712.08887466	0.001	200	100	0.1
24	2708.89704663	2711.20673669	0.001	200	100	0.1
25	2708.81422815	2711.073737	0.001	200	100	0.1
26	2706.59995586	2710.34826403	0.001	200	100	0.1
27	2705.301565	2706.65645493	0.001	200	100	0.1
28	2704.22030624	2710.72163301	0.001	200	100	0.1
29	2702.80846324	2706.01547796	0.001	200	100	0.1
30	2701.98523708	2706.53076639	0.001	200	100	0.1
31	2700.34432755	2702.68504926	0.001	200	100	0.1
32	2699.61966493	2703.44860303	0.001	200	100	0.1
33	2698.70507551	2700.88186535	0.001	200	100	0.1
34	2697.55262311	2704.15392063	0.001	200	100	0.1
35	2696.90206314	2701.30774463	0.001	200	100	0.1
36	2695.79718152	2697.07909409	0.001	200	100	0.1
37	2695.21965913	2696.77505266	0.001	200	100	0.1
38	2694.03130234	2697.61451596	0.001	200	100	0.1
39	2694.30599857	2695.21335323	0.001	200	100	0.1
40	2692.81548649	2697.52819474	0.001	200	100	0.1
41	2691.84871459	2696.49966343	0.001	200	100	0.1
42	2691.15150294	2694.29500637	0.001	200	100	0.1
43	2690.89337391	2695.80464315	0.001	200	100	0.1
44	2690.19264137	2690.31939709	0.001	200	100	0.1
45	2688.84739717	2691.64025062	0.001	200	100	0.1
46	2687.95700119	2694.38208288	0.001	200	100	0.1
47	2687.79029366	2691.81834117	0.001	200	100	0.1
48	2686.83344565	2690.21737618	0.001	200	100	0.1
49	2685.94513043	2688.59859127	0.001	200	100	0.1
50	2685.86195467	2689.48449404	0.001	200	100	0.1
51	2685.360336	2687.0425883	0.001	200	100	0.1
52	2684.69004917	2688.36559195	0.001	200	100	0.1
53	2684.55247812	2696.80962866	0.001	200	100	0.1
54	2684.69909993	2687.24276728	0.001	200	100	0.1
55	2683.68622774	2689.09643088	0.001	200	100	0.1
56	2682.83863804	2684.71395355	0.001	200	100	0.1
57	2682.30033063	2684.50243767	0.001	200	100	0.1
58	2681.59400841	2683.79378193	0.001	200	100	0.1
59	2680.82479485	2683.93010763	0.001	200	100	0.1
60	2680.28903094	2685.44921968	0.001	200	100	0.1
61	2680.75616532	2684.44820298	0.001	200	100	0.1
62	2679.60738004	2683.83377244	0.001	200	100	0.1
63	2679.32740031	2687.62729063	0.001	200	100	0.1
64	2679.0775026	2682.27827737	0.001	200	100	0.1
65	2678.1294311	2681.11018491	0.001	200	100	0.1
66	2678.0480638	2680.68302891	0.001	200	100	0.1
67	2677.23159702	2678.87038934	0.001	200	100	0.1
68	2677.43502244	2680.50367191	0.001	200	100	0.1
69	2676.79156553	2679.37814255	0.001	200	100	0.1
70	2676.08301762	2679.47677817	0.001	200	100	0.1
71	2675.87887074	2678.1726597	0.001	200	100	0.1
72	2675.64314564	2680.76411534	0.001	200	100	0.1
73	2676.58583041	2679.25488001	0.001	200	100	0.1
74	2675.3606996	2679.21756944	0.001	200	100	0.1
75	2674.50484025	2678.39857801	0.001	200	100	0.1
76	2674.24015631	2676.66866383	0.001	200	100	0.1
77	2673.39724172	2676.79079763	0.001	200	100	0.1
78	2673.56978954	2678.16236425	0.001	200	100	0.1
79	2673.25709465	2676.72956734	0.001	200	100	0.1
80	2672.66790648	2676.62760992	0.001	200	100	0.1
81	2672.87837357	2675.62755671	0.001	200	100	0.1
82	2671.81434266	2675.2817901	0.001	200	100	0.1
83	2671.9494568	2675.82744299	0.001	200	100	0.1
84	2671.92283237	2675.39098164	0.001	200	100	0.1
85	2671.17002645	2674.96220675	0.001	200	100	0.1
86	2671.35109375	2674.49367428	0.001	200	100	0.1
87	2670.83986893	2673.94495773	0.001	200	100	0.1
88	2671.26814149	2674.24179491	0.001	200	100	0.1
89	2670.31823094	2677.18805877	0.001	200	100	0.1
90	2670.78302875	2673.91197633	0.001	200	100	0.1
91	2670.18827332	2672.67100907	0.001	200	100	0.1
92	2670.01177275	2672.13145596	0.001	200	100	0.1
93	2669.6503968	2675.01218976	0.001	200	100	0.1
94	2669.02040448	2671.80337997	0.001	200	100	0.1
95	2669.24219009	2672.58833643	0.001	200	100	0.1
96	2669.25187513	2674.40506477	0.001	200	100	0.1
97	2668.49326003	2671.23515457	0.001	200	100	0.1
98	2668.86695189	2671.39142558	0.001	200	100	0.1
99	2668.50299546	2671.9116421	0.001	200	100	0.1
