	loss	val_loss	learning_rate	batch_size	epochs	kappa
0	2988.68304737	3975.76481089	0.002	200	100	1.0
1	2811.45598061	2917.55886637	0.002	200	100	1.0
2	2778.94026458	2798.07659574	0.002	200	100	1.0
3	2761.28354824	2775.60945482	0.002	200	100	1.0
4	2750.25621193	2760.79406995	0.002	200	100	1.0
5	2742.17523767	2749.02139942	0.002	200	100	1.0
6	2736.00272025	2746.11084545	0.002	200	100	1.0
7	2730.40924181	2736.83002584	0.002	200	100	1.0
8	2726.57766841	2730.01899675	0.002	200	100	1.0
9	2722.38744209	2725.34756009	0.002	200	100	1.0
10	2718.5320566	2731.77518196	0.002	200	100	1.0
11	2715.40004769	2722.52876938	0.002	200	100	1.0
12	2712.8343639	2718.27321297	0.002	200	100	1.0
13	2711.06618143	2715.06461371	0.002	200	100	1.0
14	2708.17394092	2714.55064401	0.002	200	100	1.0
15	2706.41123648	2709.86468027	0.002	200	100	1.0
16	2704.23278167	2708.0423591	0.002	200	100	1.0
17	2702.2438098	2704.37371068	0.002	200	100	1.0
18	2700.57307933	2702.68899752	0.002	200	100	1.0
19	2698.56446306	2701.42523648	0.002	200	100	1.0
20	2698.0267102	2703.05282307	0.002	200	100	1.0
21	2696.5243084	2698.8686122	0.002	200	100	1.0
22	2695.44673795	2701.54673636	0.002	200	100	1.0
23	2694.22260383	2697.54448448	0.002	200	100	1.0
24	2692.77542289	2696.74859351	0.002	200	100	1.0
25	2692.69368535	2694.86157787	0.002	200	100	1.0
26	2690.33711966	2694.08918555	0.002	200	100	1.0
27	2689.52032392	2691.36426108	0.002	200	100	1.0
28	2688.93109215	2695.18473043	0.002	200	100	1.0
29	2688.03994699	2695.15818772	0.002	200	100	1.0
30	2688.16804433	2693.79338188	0.002	200	100	1.0
31	2685.62352416	2691.48653912	0.002	200	100	1.0
32	2685.83720315	2687.6861822	0.002	200	100	1.0
33	2684.58973041	2688.08089737	0.002	200	100	1.0
34	2683.78084526	2688.75455231	0.002	200	100	1.0
35	2683.63729527	2688.39099938	0.002	200	100	1.0
36	2682.44786315	2686.57651171	0.002	200	100	1.0
37	2683.10321761	2684.00150779	0.002	200	100	1.0
38	2681.23632421	2690.61949867	0.002	200	100	1.0
39	2682.21438719	2684.52216311	0.002	200	100	1.0
40	2681.02896663	2690.36970126	0.002	200	100	1.0
41	2680.42952265	2685.33124234	0.002	200	100	1.0
42	2679.5819315	2680.61788491	0.002	200	100	1.0
43	2679.79564182	2685.23279579	0.002	200	100	1.0
44	2679.49269604	2680.90006993	0.002	200	100	1.0
45	2678.17548293	2682.70503798	0.002	200	100	1.0
46	2676.86788906	2683.34827991	0.002	200	100	1.0
47	2678.13813182	2682.77298423	0.002	200	100	1.0
48	2677.01834777	2682.54184608	0.002	200	100	1.0
49	2676.11964172	2681.30499279	0.002	200	100	1.0
50	2676.63009381	2684.53351775	0.002	200	100	1.0
51	2676.46119536	2678.54292674	0.002	200	100	1.0
52	2676.29058508	2678.84462106	0.002	200	100	1.0
53	2675.55629759	2690.42369835	0.002	200	100	1.0
54	2675.62167686	2681.66594234	0.002	200	100	1.0
55	2675.35500568	2681.34847596	0.002	200	100	1.0
56	2674.75556385	2681.35495713	0.002	200	100	1.0
57	2675.16097722	2681.08005198	0.002	200	100	1.0
58	2674.08120789	2675.27759116	0.002	200	100	1.0
59	2673.72700495	2677.54597966	0.002	200	100	1.0
60	2672.86343264	2676.84316416	0.002	200	100	1.0
61	2673.0574645	2676.04595632	0.002	200	100	1.0
62	2672.65329684	2675.94025183	0.002	200	100	1.0
63	2672.87221859	2682.82246869	0.002	200	100	1.0
64	2672.69860859	2675.70144169	0.002	200	100	1.0
65	2671.32919431	2676.12583325	0.002	200	100	1.0
66	2671.75991053	2676.13712721	0.002	200	100	1.0
67	2670.77650989	2673.2997426	0.002	200	100	1.0
68	2671.51027704	2676.2408515	0.002	200	100	1.0
69	2670.77647809	2673.97132351	0.002	200	100	1.0
70	2669.95234384	2674.02609084	0.002	200	100	1.0
71	2670.10872545	2675.00642888	0.002	200	100	1.0
72	2669.99071897	2677.72074934	0.002	200	100	1.0
73	2672.44678593	2677.36419059	0.002	200	100	1.0
74	2670.73186136	2677.36996174	0.002	200	100	1.0
75	2669.53999012	2673.31909553	0.002	200	100	1.0
76	2668.99976527	2675.14997937	0.002	200	100	1.0
77	2668.69397521	2674.3131596	0.002	200	100	1.0
78	2669.13087948	2673.89459567	0.002	200	100	1.0
79	2668.71875278	2673.88137987	0.002	200	100	1.0
80	2668.36025427	2677.34379808	0.002	200	100	1.0
81	2668.91240687	2673.48065314	0.002	200	100	1.0
82	2667.65144357	2671.28114077	0.002	200	100	1.0
83	2668.09461262	2671.08956367	0.002	200	100	1.0
84	2668.74446797	2673.48273884	0.002	200	100	1.0
85	2667.51140328	2671.80302473	0.002	200	100	1.0
86	2668.43508331	2671.43526959	0.002	200	100	1.0
87	2667.11139673	2671.84137815	0.002	200	100	1.0
88	2667.47175418	2675.73763239	0.002	200	100	1.0
89	2666.94789508	2675.34951835	0.002	200	100	1.0
90	2667.11833042	2670.72791671	0.002	200	100	1.0
91	2667.75415916	2670.97769824	0.002	200	100	1.0
92	2666.9588867	2670.15939582	0.002	200	100	1.0
93	2667.19087621	2670.49452948	0.002	200	100	1.0
94	2667.16756663	2670.50407103	0.002	200	100	1.0
95	2667.1904225	2673.40578226	0.002	200	100	1.0
96	2666.44797732	2670.63262391	0.002	200	100	1.0
97	2666.3665202	2673.41578269	0.002	200	100	1.0
98	2667.21469625	2670.77217432	0.002	200	100	1.0
99	2666.75361522	2670.18711348	0.002	200	100	1.0
