	loss	val_loss	learning_rate	batch_size	epochs	kappa
0	3000.91642298	2888.57007349	0.0005	50	50	0.05
1	2825.87463987	2814.27982063	0.0005	50	50	0.05
2	2790.29433963	2789.12479647	0.0005	50	50	0.05
3	2771.89504529	2763.43770259	0.0005	50	50	0.05
4	2759.89459586	2753.45636185	0.0005	50	50	0.05
5	2750.73470709	2742.44403951	0.0005	50	50	0.05
6	2743.53927036	2740.61700778	0.0005	50	50	0.05
7	2737.89616058	2732.78758599	0.0005	50	50	0.05
8	2733.4278944	2727.59291255	0.0005	50	50	0.05
9	2729.49326534	2725.06869594	0.0005	50	50	0.05
10	2725.66069651	2721.21721	0.0005	50	50	0.05
11	2722.16686533	2721.19028031	0.0005	50	50	0.05
12	2718.75870101	2716.30445036	0.0005	50	50	0.05
13	2716.37305541	2712.4405744	0.0005	50	50	0.05
14	2713.29129504	2711.01414802	0.0005	50	50	0.05
15	2710.9023894	2710.64971049	0.0005	50	50	0.05
16	2709.23607397	2707.5160736	0.0005	50	50	0.05
17	2707.0222992	2704.86022132	0.0005	50	50	0.05
18	2705.22392307	2702.24622166	0.0005	50	50	0.05
19	2703.15218956	2699.07850685	0.0005	50	50	0.05
20	2701.5782074	2697.16246182	0.0005	50	50	0.05
21	2700.36240828	2697.13687746	0.0005	50	50	0.05
22	2699.02227702	2696.51428153	0.0005	50	50	0.05
23	2697.32059975	2696.37350901	0.0005	50	50	0.05
24	2695.70846528	2693.93119156	0.0005	50	50	0.05
25	2694.47461049	2690.62943141	0.0005	50	50	0.05
26	2693.4451243	2693.00342684	0.0005	50	50	0.05
27	2692.64635065	2690.72613584	0.0005	50	50	0.05
28	2691.39959523	2689.96372434	0.0005	50	50	0.05
29	2690.33143326	2692.29686846	0.0005	50	50	0.05
30	2689.07329193	2689.93012723	0.0005	50	50	0.05
31	2688.53154926	2684.11956215	0.0005	50	50	0.05
32	2687.24894498	2686.06931867	0.0005	50	50	0.05
33	2686.87222648	2684.58597765	0.0005	50	50	0.05
34	2685.97323139	2683.56998387	0.0005	50	50	0.05
35	2684.96006844	2686.4906391	0.0005	50	50	0.05
36	2684.52395862	2683.63330358	0.0005	50	50	0.05
37	2683.91719519	2680.24276074	0.0005	50	50	0.05
38	2683.34432631	2688.5536003	0.0005	50	50	0.05
39	2682.75915819	2680.24325182	0.0005	50	50	0.05
40	2682.03056395	2680.39621363	0.0005	50	50	0.05
41	2681.4510487	2679.66263127	0.0005	50	50	0.05
42	2680.58929239	2678.28184471	0.0005	50	50	0.05
43	2680.23261054	2678.57698599	0.0005	50	50	0.05
44	2680.04229349	2678.13101762	0.0005	50	50	0.05
45	2678.7880988	2676.83843539	0.0005	50	50	0.05
46	2678.69235963	2676.44125687	0.0005	50	50	0.05
47	2678.08673811	2676.31327397	0.0005	50	50	0.05
48	2677.62988421	2675.19603138	0.0005	50	50	0.05
49	2677.06312102	2677.06853209	0.0005	50	50	0.05
