	loss	val_loss	learning_rate	batch_size	epochs	kappa
0	2939.72279945	2975.08807128	0.0015	100	100	0.01
1	2792.9581246	2796.8141623	0.0015	100	100	0.01
2	2764.372567	2765.63867001	0.0015	100	100	0.01
3	2749.92154312	2745.52323864	0.0015	100	100	0.01
4	2739.6756974	2739.03768168	0.0015	100	100	0.01
5	2732.4686753	2732.20517662	0.0015	100	100	0.01
6	2726.21956918	2732.63597839	0.0015	100	100	0.01
7	2720.61407779	2724.29062351	0.0015	100	100	0.01
8	2717.49275743	2717.75936884	0.0015	100	100	0.01
9	2713.57751357	2713.24503923	0.0015	100	100	0.01
10	2710.02315233	2713.12496919	0.0015	100	100	0.01
11	2706.99159999	2706.98095003	0.0015	100	100	0.01
12	2704.60334284	2705.83750831	0.0015	100	100	0.01
13	2703.0419351	2703.46602477	0.0015	100	100	0.01
14	2700.21821213	2701.81389155	0.0015	100	100	0.01
15	2698.2102658	2700.60331676	0.0015	100	100	0.01
16	2696.96748497	2698.33984982	0.0015	100	100	0.01
17	2694.96134992	2697.26696241	0.0015	100	100	0.01
18	2693.23691235	2693.8366942	0.0015	100	100	0.01
19	2691.68238472	2696.88509846	0.0015	100	100	0.01
20	2691.22624327	2693.88741756	0.0015	100	100	0.01
21	2689.63667295	2691.72421772	0.0015	100	100	0.01
22	2689.04097151	2691.55185678	0.0015	100	100	0.01
23	2688.10391554	2689.80353308	0.0015	100	100	0.01
24	2686.17608053	2690.23373127	0.0015	100	100	0.01
25	2686.10722784	2687.56021171	0.0015	100	100	0.01
26	2684.72218835	2688.48402069	0.0015	100	100	0.01
27	2683.88197293	2685.50205022	0.0015	100	100	0.01
28	2683.03916365	2687.52362282	0.0015	100	100	0.01
29	2682.31197699	2688.29442286	0.0015	100	100	0.01
30	2681.95425441	2688.87837876	0.0015	100	100	0.01
31	2681.02949059	2682.06103889	0.0015	100	100	0.01
32	2680.14213764	2682.64942013	0.0015	100	100	0.01
33	2680.27659203	2685.92570983	0.0015	100	100	0.01
34	2678.97513947	2680.06691274	0.0015	100	100	0.01
35	2678.60729253	2681.08868513	0.0015	100	100	0.01
36	2678.24312085	2678.75635653	0.0015	100	100	0.01
37	2678.22468086	2677.83544315	0.0015	100	100	0.01
38	2677.56402639	2685.01427406	0.0015	100	100	0.01
39	2676.78112335	2679.65968991	0.0015	100	100	0.01
40	2676.77975533	2679.83870707	0.0015	100	100	0.01
41	2675.95862684	2677.69450959	0.0015	100	100	0.01
42	2675.23429898	2677.36595839	0.0015	100	100	0.01
43	2675.01563895	2678.77425208	0.0015	100	100	0.01
44	2675.15013629	2677.38279663	0.0015	100	100	0.01
45	2674.28605511	2675.38642233	0.0015	100	100	0.01
46	2673.77729502	2675.47325983	0.0015	100	100	0.01
47	2674.06219431	2673.65708465	0.0015	100	100	0.01
