	loss	val_loss	learning_rate	batch_size	epochs	kappa
0	3020.87749331	3148.19487043	0.001	128	100	0.01
1	2829.45546359	2833.16881367	0.001	128	100	0.01
2	2791.25900291	2800.0223503	0.001	128	100	0.01
3	2772.13382763	2786.78936919	0.001	128	100	0.01
4	2759.72711661	2771.77962224	0.001	128	100	0.01
5	2751.07529937	2749.99325696	0.001	128	100	0.01
6	2744.07046916	2745.62808373	0.001	128	100	0.01
7	2738.8906678	2742.88124216	0.001	128	100	0.01
8	2734.13387001	2736.89047656	0.001	128	100	0.01
9	2730.42904803	2737.72140334	0.001	128	100	0.01
10	2726.72743503	2725.65488505	0.001	128	100	0.01
11	2723.23702315	2729.50034217	0.001	128	100	0.01
12	2720.3180928	2724.34051782	0.001	128	100	0.01
13	2717.49416999	2719.85030539	0.001	128	100	0.01
14	2714.66412532	2715.76828301	0.001	128	100	0.01
15	2712.40443896	2715.06418331	0.001	128	100	0.01
16	2709.84089335	2713.43358395	0.001	128	100	0.01
17	2707.97584113	2712.52406536	0.001	128	100	0.01
18	2706.15736698	2708.33698735	0.001	128	100	0.01
19	2704.12343343	2705.24678883	0.001	128	100	0.01
20	2703.0165895	2704.42071592	0.001	128	100	0.01
21	2701.14654597	2703.55608419	0.001	128	100	0.01
22	2700.08630642	2702.41053296	0.001	128	100	0.01
23	2698.16255543	2701.70493435	0.001	128	100	0.01
24	2696.64201258	2697.52043032	0.001	128	100	0.01
25	2695.48210708	2698.94736132	0.001	128	100	0.01
26	2694.26750683	2697.15760794	0.001	128	100	0.01
27	2692.91034289	2696.19087269	0.001	128	100	0.01
28	2691.96128287	2695.77242406	0.001	128	100	0.01
29	2691.16801315	2695.37570488	0.001	128	100	0.01
30	2689.82472306	2693.08604347	0.001	128	100	0.01
31	2688.43000595	2690.57244581	0.001	128	100	0.01
32	2687.96249037	2690.31507165	0.001	128	100	0.01
33	2687.08446332	2690.06750045	0.001	128	100	0.01
34	2686.21194747	2689.28467264	0.001	128	100	0.01
35	2685.24973903	2688.08530404	0.001	128	100	0.01
36	2684.64046251	2687.92119906	0.001	128	100	0.01
37	2684.2067265	2685.24653582	0.001	128	100	0.01
38	2683.5026883	2688.08858804	0.001	128	100	0.01
39	2682.68574736	2688.04013896	0.001	128	100	0.01
40	2681.84950853	2684.17501989	0.001	128	100	0.01
41	2680.92053753	2683.76807668	0.001	128	100	0.01
42	2680.32987987	2685.08261243	0.001	128	100	0.01
43	2679.84023013	2682.60932365	0.001	128	100	0.01
44	2679.47965956	2682.96869958	0.001	128	100	0.01
45	2678.62436891	2680.48152	0.001	128	100	0.01
46	2677.85648749	2681.64075944	0.001	128	100	0.01
47	2677.80164691	2679.22781168	0.001	128	100	0.01
48	2676.86613844	2678.24374617	0.001	128	100	0.01
49	2676.26083906	2681.13936882	0.001	128	100	0.01
50	2675.66150897	2678.70282391	0.001	128	100	0.01
51	2675.17892336	2680.36000192	0.001	128	100	0.01
52	2675.5347913	2679.28258927	0.001	128	100	0.01
53	2674.71844206	2679.27699644	0.001	128	100	0.01
54	2674.07220322	2677.85433767	0.001	128	100	0.01
55	2673.86193219	2675.38966057	0.001	128	100	0.01
56	2673.33606721	2678.41035651	0.001	128	100	0.01
57	2673.03442334	2679.55611873	0.001	128	100	0.01
58	2672.62492165	2675.74810009	0.001	128	100	0.01
59	2672.78861561	2674.9297888	0.001	128	100	0.01
60	2672.19731	2677.66240393	0.001	128	100	0.01
61	2671.77651671	2675.84929475	0.001	128	100	0.01
62	2671.50127263	2675.25805011	0.001	128	100	0.01
63	2670.7262315	2674.16250009	0.001	128	100	0.01
64	2670.75600493	2673.51988089	0.001	128	100	0.01
65	2670.11597912	2672.33064203	0.001	128	100	0.01
