	loss	val_loss	learning_rate	batch_size	epochs	kappa
0	2939.63389369	2978.36199519	0.0015	100	100	0.1
1	2792.96026009	2797.60415422	0.0015	100	100	0.1
2	2764.40551491	2767.02953261	0.0015	100	100	0.1
3	2749.77217512	2746.18590678	0.0015	100	100	0.1
4	2739.65040945	2737.66259952	0.0015	100	100	0.1
5	2732.45087358	2731.31817078	0.0015	100	100	0.1
6	2726.18579265	2730.86625902	0.0015	100	100	0.1
7	2720.62594373	2725.05608559	0.0015	100	100	0.1
8	2717.64131317	2717.12620436	0.0015	100	100	0.1
9	2713.6769015	2713.24161379	0.0015	100	100	0.1
10	2710.13856834	2712.70463559	0.0015	100	100	0.1
11	2707.11034565	2707.36252689	0.0015	100	100	0.1
12	2704.85379896	2706.8514542	0.0015	100	100	0.1
13	2703.36830365	2702.94077653	0.0015	100	100	0.1
14	2700.30662042	2702.24375457	0.0015	100	100	0.1
15	2698.28037973	2699.31774646	0.0015	100	100	0.1
16	2697.04018807	2698.36998041	0.0015	100	100	0.1
17	2695.04820103	2696.59258018	0.0015	100	100	0.1
18	2693.33192325	2693.85247838	0.0015	100	100	0.1
19	2691.79526214	2696.1325931	0.0015	100	100	0.1
20	2691.35613013	2693.80175361	0.0015	100	100	0.1
21	2689.60552786	2691.6586732	0.0015	100	100	0.1
22	2689.14689607	2692.20690615	0.0015	100	100	0.1
23	2688.2576574	2690.3959228	0.0015	100	100	0.1
24	2686.2454727	2690.33899276	0.0015	100	100	0.1
25	2686.09913878	2690.27076222	0.0015	100	100	0.1
26	2684.729998	2688.30185397	0.0015	100	100	0.1
27	2683.94705263	2686.72762355	0.0015	100	100	0.1
28	2683.04449556	2686.12665717	0.0015	100	100	0.1
29	2682.30542638	2686.62521473	0.0015	100	100	0.1
30	2681.99078939	2688.34632725	0.0015	100	100	0.1
31	2681.07545336	2681.86900198	0.0015	100	100	0.1
32	2680.10104356	2682.78853454	0.0015	100	100	0.1
33	2680.20936922	2686.03866571	0.0015	100	100	0.1
34	2678.9051818	2680.72550051	0.0015	100	100	0.1
35	2678.61169681	2680.9682972	0.0015	100	100	0.1
36	2678.21770216	2679.47172497	0.0015	100	100	0.1
37	2678.20201186	2677.76654741	0.0015	100	100	0.1
38	2677.50786907	2684.33926911	0.0015	100	100	0.1
39	2676.64177964	2678.52898972	0.0015	100	100	0.1
40	2676.7137333	2679.35779392	0.0015	100	100	0.1
41	2675.95711759	2678.22708252	0.0015	100	100	0.1
42	2675.16193892	2677.16238339	0.0015	100	100	0.1
43	2674.94696069	2678.09792326	0.0015	100	100	0.1
44	2675.05646371	2677.2929286	0.0015	100	100	0.1
45	2674.1617922	2675.78117064	0.0015	100	100	0.1
46	2673.70888657	2676.82106966	0.0015	100	100	0.1
47	2674.02925885	2675.0449975	0.0015	100	100	0.1
48	2673.26751938	2677.44920568	0.0015	100	100	0.1
49	2673.01348031	2674.02763644	0.0015	100	100	0.1
50	2672.85620076	2676.5220002	0.0015	100	100	0.1
51	2672.36235594	2673.90654362	0.0015	100	100	0.1
52	2672.18479521	2675.92764708	0.0015	100	100	0.1
53	2671.82560703	2679.43386963	0.0015	100	100	0.1
54	2672.13694486	2673.1772685	0.0015	100	100	0.1
55	2672.07302904	2672.92243704	0.0015	100	100	0.1
56	2670.99441366	2673.34377614	0.0015	100	100	0.1
57	2671.48167151	2674.81787156	0.0015	100	100	0.1
58	2670.91665729	2673.40432815	0.0015	100	100	0.1
59	2670.86579634	2674.04030794	0.0015	100	100	0.1
60	2670.74861618	2672.81477055	0.0015	100	100	0.1
61	2669.68464771	2673.75205862	0.0015	100	100	0.1
62	2670.1421974	2673.87295538	0.0015	100	100	0.1
63	2669.63603576	2677.1082878	0.0015	100	100	0.1
64	2670.15742907	2672.60565781	0.0015	100	100	0.1
65	2669.13699134	2674.41603243	0.0015	100	100	0.1
66	2669.47765723	2670.21652846	0.0015	100	100	0.1
67	2669.12791695	2671.54269287	0.0015	100	100	0.1
68	2669.83584356	2676.85636969	0.0015	100	100	0.1
69	2669.0794764	2670.07962485	0.0015	100	100	0.1
70	2668.56368016	2669.93890883	0.0015	100	100	0.1
71	2668.78377611	2674.0872721	0.0015	100	100	0.1
72	2668.10762802	2670.0037326	0.0015	100	100	0.1
73	2669.13577126	2673.46331122	0.0015	100	100	0.1
74	2668.37015918	2670.16422168	0.0015	100	100	0.1
75	2667.40150149	2672.86264732	0.0015	100	100	0.1
76	2668.10148985	2672.06231188	0.0015	100	100	0.1
77	2667.43656831	2668.52496583	0.0015	100	100	0.1
78	2667.52540033	2668.93933689	0.0015	100	100	0.1
79	2666.98578561	2669.48609332	0.0015	100	100	0.1
80	2667.31575563	2667.47375418	0.0015	100	100	0.1
81	2667.45045502	2670.21624091	0.0015	100	100	0.1
82	2666.38964229	2668.78845378	0.0015	100	100	0.1
