	loss	val_loss	learning_rate	batch_size	epochs	kappa
0	2937.39491993	3167.28875581	0.002	128	100	0.05
1	2789.40679117	2797.85521714	0.002	128	100	0.05
2	2761.21423227	2777.72395071	0.002	128	100	0.05
3	2746.70827581	2762.90270879	0.002	128	100	0.05
4	2737.32876304	2743.93614952	0.002	128	100	0.05
5	2729.42737949	2736.71810254	0.002	128	100	0.05
6	2723.24181386	2727.20645614	0.002	128	100	0.05
7	2718.44500349	2723.54112579	0.002	128	100	0.05
8	2714.62689887	2716.80466136	0.002	128	100	0.05
9	2711.25791518	2719.23396561	0.002	128	100	0.05
10	2707.75287888	2712.24010367	0.002	128	100	0.05
11	2705.320516	2710.20495722	0.002	128	100	0.05
12	2702.82491668	2712.61184862	0.002	128	100	0.05
13	2700.83080326	2702.79428842	0.002	128	100	0.05
14	2698.19681827	2703.01292265	0.002	128	100	0.05
15	2696.48179802	2699.29408115	0.002	128	100	0.05
16	2695.07395923	2699.65889167	0.002	128	100	0.05
17	2693.36219067	2701.11845022	0.002	128	100	0.05
18	2691.69196578	2694.5554666	0.002	128	100	0.05
19	2690.24082469	2694.67479022	0.002	128	100	0.05
20	2689.61222151	2691.80269936	0.002	128	100	0.05
21	2688.1713724	2689.94112243	0.002	128	100	0.05
22	2687.66700391	2692.09690889	0.002	128	100	0.05
23	2686.40196987	2691.6808013	0.002	128	100	0.05
24	2684.87281269	2687.05363998	0.002	128	100	0.05
25	2684.78251677	2691.5498411	0.002	128	100	0.05
26	2683.76101849	2688.59695931	0.002	128	100	0.05
27	2682.3693837	2683.63059423	0.002	128	100	0.05
28	2682.07753326	2686.87328962	0.002	128	100	0.05
29	2681.49612609	2687.2370274	0.002	128	100	0.05
30	2680.14532172	2683.76634295	0.002	128	100	0.05
31	2679.73205355	2682.00979363	0.002	128	100	0.05
32	2679.14912679	2684.56616398	0.002	128	100	0.05
33	2679.5911986	2684.90513526	0.002	128	100	0.05
34	2678.35257125	2684.27357661	0.002	128	100	0.05
35	2677.67797214	2680.36584496	0.002	128	100	0.05
36	2677.86903187	2682.09105558	0.002	128	100	0.05
37	2677.0107286	2678.22900251	0.002	128	100	0.05
38	2677.11659718	2682.37439128	0.002	128	100	0.05
39	2676.29510263	2681.98478999	0.002	128	100	0.05
40	2675.89956813	2679.62125947	0.002	128	100	0.05
41	2675.32694468	2678.84299004	0.002	128	100	0.05
42	2674.54915052	2677.9609515	0.002	128	100	0.05
43	2674.13218507	2676.07719138	0.002	128	100	0.05
44	2674.06273141	2679.87211046	0.002	128	100	0.05
45	2673.84778282	2675.63880118	0.002	128	100	0.05
46	2673.1132168	2675.21017987	0.002	128	100	0.05
47	2673.40689172	2675.82687255	0.002	128	100	0.05
48	2672.54991497	2677.32687069	0.002	128	100	0.05
49	2672.84257648	2677.65210381	0.002	128	100	0.05
50	2671.75619601	2674.61987165	0.002	128	100	0.05
51	2671.21742677	2674.48338677	0.002	128	100	0.05
52	2671.90504452	2674.84768239	0.002	128	100	0.05
53	2671.95352598	2674.58607708	0.002	128	100	0.05
54	2671.4685941	2673.77632798	0.002	128	100	0.05
55	2671.37183891	2671.52264299	0.002	128	100	0.05
56	2670.19339003	2675.35070964	0.002	128	100	0.05
57	2670.90940806	2674.65908959	0.002	128	100	0.05
58	2670.28973353	2675.83799239	0.002	128	100	0.05
59	2670.92072562	2675.24096353	0.002	128	100	0.05
60	2670.75511946	2671.86766551	0.002	128	100	0.05
61	2669.59744105	2672.08124094	0.002	128	100	0.05
62	2669.99830144	2674.05735624	0.002	128	100	0.05
63	2669.49131279	2674.15144935	0.002	128	100	0.05
64	2670.2213996	2673.44048197	0.002	128	100	0.05
65	2669.32904868	2673.75840441	0.002	128	100	0.05
66	2669.15931373	2670.10433207	0.002	128	100	0.05
67	2669.24785894	2670.98639021	0.002	128	100	0.05
68	2669.83368004	2674.29448868	0.002	128	100	0.05
69	2669.11134695	2673.43698604	0.002	128	100	0.05
70	2668.40982639	2670.27761403	0.002	128	100	0.05
71	2668.11698413	2671.00080945	0.002	128	100	0.05
72	2667.80774757	2669.43327072	0.002	128	100	0.05
73	2668.74284242	2673.543577	0.002	128	100	0.05
74	2667.52864675	2671.20813105	0.002	128	100	0.05
75	2667.46378582	2673.01447712	0.002	128	100	0.05
76	2667.99975991	2672.09508274	0.002	128	100	0.05
77	2667.29407056	2667.44971823	0.002	128	100	0.05
78	2667.58180493	2667.65982342	0.002	128	100	0.05
79	2666.87946145	2670.28313731	0.002	128	100	0.05
80	2666.80383657	2669.53590501	0.002	128	100	0.05
81	2666.50235963	2669.17325068	0.002	128	100	0.05
82	2665.95240975	2668.48112788	0.002	128	100	0.05
83	2667.28932018	2668.74975446	0.002	128	100	0.05
84	2667.25391976	2670.15163794	0.002	128	100	0.05
85	2666.98029207	2670.94966128	0.002	128	100	0.05
86	2667.26436537	2673.47712454	0.002	128	100	0.05
87	2666.41754186	2667.59304185	0.002	128	100	0.05
88	2666.95493112	2671.59196166	0.002	128	100	0.05
89	2666.19395379	2669.21479707	0.002	128	100	0.05
90	2666.60907821	2667.59048048	0.002	128	100	0.05
91	2665.84436794	2672.64387959	0.002	128	100	0.05
92	2665.81224211	2668.99901644	0.002	128	100	0.05
93	2665.71091268	2668.26283722	0.002	128	100	0.05
94	2666.52511591	2668.30845744	0.002	128	100	0.05
95	2666.38807173	2668.01559699	0.002	128	100	0.05
96	2665.86237946	2668.07894798	0.002	128	100	0.05
97	2666.31053266	2667.29162621	0.002	128	100	0.05
98	2665.13928906	2670.23143131	0.002	128	100	0.05
99	2666.42170709	2667.02623928	0.002	128	100	0.05
