	loss	val_loss	learning_rate	batch_size	epochs	kappa
0	2968.53060999	3168.07790047	0.0015	128	50	0.1
1	2803.74492189	2808.64537804	0.0015	128	50	0.1
2	2772.0228463	2784.49200451	0.0015	128	50	0.1
3	2755.72282385	2776.37871953	0.0015	128	50	0.1
4	2745.63061474	2752.31323989	0.0015	128	50	0.1
5	2737.7039164	2744.23342411	0.0015	128	50	0.1
6	2731.23780358	2735.79982896	0.0015	128	50	0.1
7	2726.26231612	2729.97874483	0.0015	128	50	0.1
8	2721.86559909	2727.70586003	0.0015	128	50	0.1
9	2718.40006704	2722.56636097	0.0015	128	50	0.1
10	2714.74181051	2719.01916667	0.0015	128	50	0.1
11	2711.55395274	2715.75414012	0.0015	128	50	0.1
12	2708.97754837	2717.72913928	0.0015	128	50	0.1
13	2706.48579806	2708.5804245	0.0015	128	50	0.1
14	2703.89021113	2706.47547204	0.0015	128	50	0.1
15	2701.75008875	2706.27300243	0.0015	128	50	0.1
16	2699.90054562	2703.34076803	0.0015	128	50	0.1
17	2698.0498972	2705.47386482	0.0015	128	50	0.1
18	2696.45014528	2697.98605504	0.0015	128	50	0.1
19	2694.50077742	2697.72652002	0.0015	128	50	0.1
20	2693.83441482	2697.38966338	0.0015	128	50	0.1
21	2691.93856921	2694.88100269	0.0015	128	50	0.1
22	2691.41259714	2695.55945454	0.0015	128	50	0.1
23	2689.61191556	2693.98454959	0.0015	128	50	0.1
24	2688.22200919	2690.49169082	0.0015	128	50	0.1
25	2687.63938959	2693.72676976	0.0015	128	50	0.1
26	2686.57811239	2687.61592338	0.0015	128	50	0.1
27	2685.28189857	2687.90151703	0.0015	128	50	0.1
28	2684.55236522	2689.54301963	0.0015	128	50	0.1
29	2683.96977706	2686.92405033	0.0015	128	50	0.1
30	2682.7060134	2685.85226271	0.0015	128	50	0.1
31	2681.79062484	2683.97354599	0.0015	128	50	0.1
32	2681.31301948	2683.25404723	0.0015	128	50	0.1
33	2680.87275016	2685.80474492	0.0015	128	50	0.1
34	2680.02093763	2684.30741506	0.0015	128	50	0.1
35	2679.37140478	2682.08877569	0.0015	128	50	0.1
36	2679.17648574	2682.17357231	0.0015	128	50	0.1
37	2678.46486821	2681.50928155	0.0015	128	50	0.1
38	2678.35124262	2683.61606203	0.0015	128	50	0.1
39	2677.45793	2680.59696024	0.0015	128	50	0.1
40	2676.61724088	2680.80045635	0.0015	128	50	0.1
41	2676.06927003	2680.75348706	0.0015	128	50	0.1
42	2675.31405728	2680.33805074	0.0015	128	50	0.1
43	2675.08730529	2679.40573278	0.0015	128	50	0.1
44	2674.79009158	2679.72455009	0.0015	128	50	0.1
45	2674.35069337	2675.29002693	0.0015	128	50	0.1
46	2673.50321237	2675.5714053	0.0015	128	50	0.1
47	2673.74378057	2675.42839584	0.0015	128	50	0.1
48	2673.04864177	2675.31645153	0.0015	128	50	0.1
49	2672.56595288	2677.40464558	0.0015	128	50	0.1
