	loss	val_loss	learning_rate	batch_size	epochs	sparsity	noise	seed
0	9.15539264806	7.73454881854	0.9	200	40	0.001	0.1	835
1	9.92231760796	8.49038616467	0.9	200	40	0.001	0.1	835
2	10.3957867874	9.21508618203	0.9	200	40	0.001	0.1	835
3	10.7813873342	9.07552947597	0.9	200	40	0.001	0.1	835
4	11.1298502394	9.72420573371	0.9	200	40	0.001	0.1	835
5	11.4345274946	9.81099172122	0.9	200	40	0.001	0.1	835
6	11.7217781494	9.70057200155	0.9	200	40	0.001	0.1	835
7	12.0281631131	9.84684346374	0.9	200	40	0.001	0.1	835
8	12.2846073123	10.0783764468	0.9	200	40	0.001	0.1	835
9	12.5221220218	10.8883804518	0.9	200	40	0.001	0.1	835
10	12.7829967068	10.6388705611	0.9	200	40	0.001	0.1	835
11	13.0247767324	11.3222594863	0.9	200	40	0.001	0.1	835
12	13.2135357349	11.1928650052	0.9	200	40	0.001	0.1	835
13	13.4411918425	10.7442238727	0.9	200	40	0.001	0.1	835
14	13.7032774584	11.7137002489	0.9	200	40	0.001	0.1	835
15	13.9063804573	11.849417113	0.9	200	40	0.001	0.1	835
16	14.1210034117	12.2739627215	0.9	200	40	0.001	0.1	835
17	14.2891077404	12.2056138926	0.9	200	40	0.001	0.1	835
18	14.4621292777	12.416799176	0.9	200	40	0.001	0.1	835
19	14.6660601433	12.2969480222	0.9	200	40	0.001	0.1	835
20	14.8579991411	13.354242075	0.9	200	40	0.001	0.1	835
21	15.0930342564	11.8456107654	0.9	200	40	0.001	0.1	835
22	15.241961924	13.6260780987	0.9	200	40	0.001	0.1	835
23	15.4703043312	12.3268951444	0.9	200	40	0.001	0.1	835
24	15.6181049682	12.2327520396	0.9	200	40	0.001	0.1	835
25	15.7664560912	14.1633095477	0.9	200	40	0.001	0.1	835
26	15.9462537427	13.8737483339	0.9	200	40	0.001	0.1	835
27	16.0979802824	14.1781963564	0.9	200	40	0.001	0.1	835
28	16.3011152089	14.3977577071	0.9	200	40	0.001	0.1	835
29	16.4906730262	14.0124454968	0.9	200	40	0.001	0.1	835
30	16.6293218382	13.436635775	0.9	200	40	0.001	0.1	835
31	16.7495485774	14.3287627984	0.9	200	40	0.001	0.1	835
32	16.9443981724	14.565133242	0.9	200	40	0.001	0.1	835
33	17.0294403276	17.0560915347	0.9	200	40	0.001	0.1	835
34	17.2394813521	14.9132091908	0.9	200	40	0.001	0.1	835
35	17.3869404858	12.9073283618	0.9	200	40	0.001	0.1	835
36	17.4653470206	16.2423220055	0.9	200	40	0.001	0.1	835
37	17.7098723684	15.3766566905	0.9	200	40	0.001	0.1	835
38	17.8169379199	14.9133658911	0.9	200	40	0.001	0.1	835
39	17.9174144085	16.3678856001	0.9	200	40	0.001	0.1	835
