	loss	val_loss	learning_rate	batch_size	epochs	sparsity	noise	seed
0	11.9529860312	7.40291936676	0.9	200	100	0.001	0.5	5848
1	12.4471499981	8.46442736813	0.9	200	100	0.001	0.5	5848
2	13.1548248483	9.61995900521	0.9	200	100	0.001	0.5	5848
3	13.799639444	10.5812248336	0.9	200	100	0.001	0.5	5848
4	14.3873254783	11.1028574265	0.9	200	100	0.001	0.5	5848
5	14.823651569	11.8343224794	0.9	200	100	0.001	0.5	5848
6	15.2451573421	11.9648789785	0.9	200	100	0.001	0.5	5848
7	15.6134420133	12.7323081206	0.9	200	100	0.001	0.5	5848
8	15.9225718953	12.9580858921	0.9	200	100	0.001	0.5	5848
9	16.2499410827	13.1902035235	0.9	200	100	0.001	0.5	5848
10	16.5071323249	13.35387147	0.9	200	100	0.001	0.5	5848
11	16.763137718	14.0170526605	0.9	200	100	0.001	0.5	5848
12	16.9640806226	13.702894824	0.9	200	100	0.001	0.5	5848
13	17.2343511179	14.4828451058	0.9	200	100	0.001	0.5	5848
14	17.4324398549	13.7918919313	0.9	200	100	0.001	0.5	5848
15	17.6361058657	14.7062691835	0.9	200	100	0.001	0.5	5848
16	17.8707091921	15.4806545875	0.9	200	100	0.001	0.5	5848
17	18.0587120402	15.0125962279	0.9	200	100	0.001	0.5	5848
18	18.1601802168	15.5438607801	0.9	200	100	0.001	0.5	5848
19	18.2884115548	15.4245162293	0.9	200	100	0.001	0.5	5848
20	18.5018656945	15.1696859792	0.9	200	100	0.001	0.5	5848
21	18.64550342	16.5794902577	0.9	200	100	0.001	0.5	5848
22	18.7898232923	14.7117348921	0.9	200	100	0.001	0.5	5848
23	18.8795087837	15.3378766376	0.9	200	100	0.001	0.5	5848
24	19.1215614276	15.861879413	0.9	200	100	0.001	0.5	5848
25	19.2398087438	16.0890929535	0.9	200	100	0.001	0.5	5848
26	19.3209595497	16.7323220811	0.9	200	100	0.001	0.5	5848
27	19.4087979564	16.1423404905	0.9	200	100	0.001	0.5	5848
28	19.5766273176	15.4764094307	0.9	200	100	0.001	0.5	5848
29	19.6585380363	16.8887316629	0.9	200	100	0.001	0.5	5848
30	19.8808723604	16.2703772407	0.9	200	100	0.001	0.5	5848
31	19.9635937776	16.3356353703	0.9	200	100	0.001	0.5	5848
32	20.0683361155	16.8171474865	0.9	200	100	0.001	0.5	5848
33	20.184573556	16.9556058461	0.9	200	100	0.001	0.5	5848
34	20.1792513232	17.5984916568	0.9	200	100	0.001	0.5	5848
35	20.3468580994	17.9760447752	0.9	200	100	0.001	0.5	5848
36	20.5210500142	17.6322870218	0.9	200	100	0.001	0.5	5848
37	20.5717195617	17.6284453317	0.9	200	100	0.001	0.5	5848
38	20.6948616252	17.8096327681	0.9	200	100	0.001	0.5	5848
39	20.817757648	16.677243478	0.9	200	100	0.001	0.5	5848
40	20.8713356885	17.4867132335	0.9	200	100	0.001	0.5	5848
41	20.974852907	16.6858032019	0.9	200	100	0.001	0.5	5848
42	21.042515479	18.138787895	0.9	200	100	0.001	0.5	5848
43	21.2207619786	17.2917930309	0.9	200	100	0.001	0.5	5848
44	21.2026170111	18.2211576374	0.9	200	100	0.001	0.5	5848
45	21.2550906125	17.9386317042	0.9	200	100	0.001	0.5	5848
46	21.3716734072	18.3453127458	0.9	200	100	0.001	0.5	5848
47	21.4331307926	18.098713377	0.9	200	100	0.001	0.5	5848
48	21.5855608032	19.293180545	0.9	200	100	0.001	0.5	5848
49	21.676675537	18.4810817547	0.9	200	100	0.001	0.5	5848
50	21.7259452389	18.1409634012	0.9	200	100	0.001	0.5	5848
51	21.7566372302	18.971115147	0.9	200	100	0.001	0.5	5848
52	21.7567991475	18.809469636	0.9	200	100	0.001	0.5	5848
53	21.9274839397	18.6429370512	0.9	200	100	0.001	0.5	5848
54	22.0173138782	18.3118241011	0.9	200	100	0.001	0.5	5848
55	22.1233824812	17.4896475662	0.9	200	100	0.001	0.5	5848
56	22.1143884985	17.9240203578	0.9	200	100	0.001	0.5	5848
57	22.1832817689	18.5937430562	0.9	200	100	0.001	0.5	5848
58	22.2372042278	18.5755714085	0.9	200	100	0.001	0.5	5848
59	22.4514425642	19.3016642056	0.9	200	100	0.001	0.5	5848
60	22.4147556525	18.1460311426	0.9	200	100	0.001	0.5	5848
61	22.5032268802	20.7571839912	0.9	200	100	0.001	0.5	5848
62	22.5992850113	18.9177908934	0.9	200	100	0.001	0.5	5848
63	22.6551787366	19.3511360024	0.9	200	100	0.001	0.5	5848
64	22.7433614171	18.6592181682	0.9	200	100	0.001	0.5	5848
65	22.8160067868	20.2666182299	0.9	200	100	0.001	0.5	5848
66	22.8508683279	18.728327112	0.9	200	100	0.001	0.5	5848
67	22.9678423557	18.6359732894	0.9	200	100	0.001	0.5	5848
68	23.0251731608	18.9167221235	0.9	200	100	0.001	0.5	5848
69	23.0956011681	19.4255377649	0.9	200	100	0.001	0.5	5848
70	23.1311223594	18.0320537177	0.9	200	100	0.001	0.5	5848
71	23.1615107248	19.1737764142	0.9	200	100	0.001	0.5	5848
72	23.2611445145	18.2678855145	0.9	200	100	0.001	0.5	5848
73	23.1995544667	19.9581651232	0.9	200	100	0.001	0.5	5848
74	23.35678788	19.306978305	0.9	200	100	0.001	0.5	5848
75	23.3752185871	20.6252676278	0.9	200	100	0.001	0.5	5848
76	23.4942960235	19.8113400002	0.9	200	100	0.001	0.5	5848
77	23.4907227421	21.0085776942	0.9	200	100	0.001	0.5	5848
78	23.5495956844	20.297499189	0.9	200	100	0.001	0.5	5848
79	23.5607135465	19.2528122242	0.9	200	100	0.001	0.5	5848
80	23.6853824778	20.4056591413	0.9	200	100	0.001	0.5	5848
81	23.8075208777	21.2681768301	0.9	200	100	0.001	0.5	5848
82	23.8100948375	21.3204799902	0.9	200	100	0.001	0.5	5848
83	23.8491778936	20.6514112425	0.9	200	100	0.001	0.5	5848
84	24.0199755727	20.401868399	0.9	200	100	0.001	0.5	5848
85	23.9485821299	21.0723815721	0.9	200	100	0.001	0.5	5848
86	23.9794690503	20.5865877172	0.9	200	100	0.001	0.5	5848
87	24.1843057067	20.6816897812	0.9	200	100	0.001	0.5	5848
88	24.1980115541	20.3240722051	0.9	200	100	0.001	0.5	5848
89	24.1874769715	18.7292378117	0.9	200	100	0.001	0.5	5848
90	24.1274125406	22.1772922631	0.9	200	100	0.001	0.5	5848
91	24.3206387594	19.9563920238	0.9	200	100	0.001	0.5	5848
92	24.4114420225	19.2640057786	0.9	200	100	0.001	0.5	5848
93	24.4021640256	19.7395887256	0.9	200	100	0.001	0.5	5848
94	24.4723005456	20.0335679109	0.9	200	100	0.001	0.5	5848
95	24.4984259128	20.8663691955	0.9	200	100	0.001	0.5	5848
96	24.5246068323	20.132968351	0.9	200	100	0.001	0.5	5848
97	24.5901204282	20.380510477	0.9	200	100	0.001	0.5	5848
98	24.6011769793	21.7104548578	0.9	200	100	0.001	0.5	5848
99	24.7910305446	21.5748028044	0.9	200	100	0.001	0.5	5848
