	loss	val_loss	learning_rate	batch_size	epochs	sparsity	noise	seed
0	10.898553064	10.0323496877	1.1	200	80	0.001	0.05	5133
1	11.6369145041	10.4659414314	1.1	200	80	0.001	0.05	5133
2	12.086732199	9.61087517255	1.1	200	80	0.001	0.05	5133
3	12.4737503657	10.437746745	1.1	200	80	0.001	0.05	5133
4	12.8865325593	11.0913811842	1.1	200	80	0.001	0.05	5133
5	13.2517899722	10.8893119655	1.1	200	80	0.001	0.05	5133
6	13.5709027751	11.3170362608	1.1	200	80	0.001	0.05	5133
7	13.930753577	11.444308864	1.1	200	80	0.001	0.05	5133
8	14.2158955967	12.438836715	1.1	200	80	0.001	0.05	5133
9	14.5631587991	11.4244795903	1.1	200	80	0.001	0.05	5133
10	14.7999466846	12.8455369545	1.1	200	80	0.001	0.05	5133
11	15.0785111724	12.5754787781	1.1	200	80	0.001	0.05	5133
12	15.4059743075	13.144397391	1.1	200	80	0.001	0.05	5133
13	15.6754294618	14.5641421675	1.1	200	80	0.001	0.05	5133
14	16.0025656287	12.8703733115	1.1	200	80	0.001	0.05	5133
15	16.1726788459	14.372921883	1.1	200	80	0.001	0.05	5133
16	16.4676886393	14.5643273289	1.1	200	80	0.001	0.05	5133
17	16.685077488	16.7854512531	1.1	200	80	0.001	0.05	5133
18	17.0297172366	13.4488205003	1.1	200	80	0.001	0.05	5133
19	17.1339131255	17.1672470738	1.1	200	80	0.001	0.05	5133
20	17.4568522715	14.9001213533	1.1	200	80	0.001	0.05	5133
21	17.6805717938	16.0123397269	1.1	200	80	0.001	0.05	5133
22	17.8999148095	16.5338979374	1.1	200	80	0.001	0.05	5133
23	18.1316292075	14.7565345103	1.1	200	80	0.001	0.05	5133
24	18.3865191115	14.8647889207	1.1	200	80	0.001	0.05	5133
25	18.553476084	16.7603643606	1.1	200	80	0.001	0.05	5133
26	18.7958994062	15.2586135873	1.1	200	80	0.001	0.05	5133
27	19.0370672975	16.185865182	1.1	200	80	0.001	0.05	5133
28	19.236103545	16.4786138316	1.1	200	80	0.001	0.05	5133
29	19.4273152878	17.7188586933	1.1	200	80	0.001	0.05	5133
30	19.6462116078	14.2716581429	1.1	200	80	0.001	0.05	5133
31	19.835256608	17.6904907199	1.1	200	80	0.001	0.05	5133
32	20.0412022984	17.8639114227	1.1	200	80	0.001	0.05	5133
33	20.2024093121	16.9239879037	1.1	200	80	0.001	0.05	5133
34	20.393093515	16.9216399015	1.1	200	80	0.001	0.05	5133
35	20.5914853251	17.7937758311	1.1	200	80	0.001	0.05	5133
36	20.8284623356	18.2191718678	1.1	200	80	0.001	0.05	5133
37	20.9785200037	19.8202697925	1.1	200	80	0.001	0.05	5133
38	21.1941831565	17.8367700604	1.1	200	80	0.001	0.05	5133
39	21.4089629596	16.3480424594	1.1	200	80	0.001	0.05	5133
40	21.4210847958	21.987130724	1.1	200	80	0.001	0.05	5133
41	21.7924109553	16.5246743367	1.1	200	80	0.001	0.05	5133
42	21.8272979939	17.771790323	1.1	200	80	0.001	0.05	5133
43	22.047054607	22.2694169987	1.1	200	80	0.001	0.05	5133
44	22.3145206574	14.949289135	1.1	200	80	0.001	0.05	5133
45	22.2809857786	23.1354240687	1.1	200	80	0.001	0.05	5133
46	22.6307751275	17.1903380235	1.1	200	80	0.001	0.05	5133
47	22.6500414475	22.5148510714	1.1	200	80	0.001	0.05	5133
48	23.0164754995	18.3187671592	1.1	200	80	0.001	0.05	5133
49	22.9708160004	23.5650381768	1.1	200	80	0.001	0.05	5133
50	23.2708438036	15.6915935143	1.1	200	80	0.001	0.05	5133
51	23.2570117351	22.5311402108	1.1	200	80	0.001	0.05	5133
52	23.6516839763	18.6005018902	1.1	200	80	0.001	0.05	5133
53	23.5534742378	26.2555838315	1.1	200	80	0.001	0.05	5133
54	23.9455956828	16.8937652407	1.1	200	80	0.001	0.05	5133
55	23.8401332152	25.7265867913	1.1	200	80	0.001	0.05	5133
56	24.1975802453	17.4035196988	1.1	200	80	0.001	0.05	5133
57	24.1183138497	25.8982338322	1.1	200	80	0.001	0.05	5133
58	24.5691248518	19.2195645473	1.1	200	80	0.001	0.05	5133
59	24.4846187135	26.317450589	1.1	200	80	0.001	0.05	5133
60	24.8376958275	19.1732057075	1.1	200	80	0.001	0.05	5133
61	24.8098115236	22.7298695845	1.1	200	80	0.001	0.05	5133
62	24.9529082426	22.4387937595	1.1	200	80	0.001	0.05	5133
63	25.0512116847	23.535036304	1.1	200	80	0.001	0.05	5133
64	25.1580047028	19.3801497328	1.1	200	80	0.001	0.05	5133
65	25.3729405954	23.0784619853	1.1	200	80	0.001	0.05	5133
66	25.543924911	21.5101266947	1.1	200	80	0.001	0.05	5133
67	25.7844991258	22.7183474109	1.1	200	80	0.001	0.05	5133
68	25.7237071387	21.5879043448	1.1	200	80	0.001	0.05	5133
69	25.8876367721	24.4241891792	1.1	200	80	0.001	0.05	5133
70	26.2688432391	20.9285250731	1.1	200	80	0.001	0.05	5133
71	26.2316178149	24.4644671161	1.1	200	80	0.001	0.05	5133
72	26.396320897	22.7776373905	1.1	200	80	0.001	0.05	5133
73	26.4404082876	24.8827588371	1.1	200	80	0.001	0.05	5133
74	26.7112553153	21.7795590279	1.1	200	80	0.001	0.05	5133
75	26.7250545976	27.0806861115	1.1	200	80	0.001	0.05	5133
76	27.1279079936	21.5763930089	1.1	200	80	0.001	0.05	5133
77	26.867463128	26.1298418856	1.1	200	80	0.001	0.05	5133
78	27.2833789852	19.0147823768	1.1	200	80	0.001	0.05	5133
79	27.1318963118	27.6589657089	1.1	200	80	0.001	0.05	5133
