	loss	val_loss	learning_rate	batch_size	epochs	sparsity	noise	seed
0	10.1594111912	9.35059643795	1.0	200	100	0.001	0.1	6551
1	10.9436654096	9.19595833992	1.0	200	100	0.001	0.1	6551
2	11.3984562491	9.52547642423	1.0	200	100	0.001	0.1	6551
3	11.7809210391	10.2572120813	1.0	200	100	0.001	0.1	6551
4	12.1710961425	10.4085300972	1.0	200	100	0.001	0.1	6551
5	12.5114358622	10.6265283269	1.0	200	100	0.001	0.1	6551
6	12.8279443732	10.9038059096	1.0	200	100	0.001	0.1	6551
7	13.1321080627	11.3886161147	1.0	200	100	0.001	0.1	6551
8	13.4078455718	11.1951619225	1.0	200	100	0.001	0.1	6551
9	13.669069402	11.3719437701	1.0	200	100	0.001	0.1	6551
10	13.9494670525	11.1316172183	1.0	200	100	0.001	0.1	6551
11	14.2057792459	11.9172710256	1.0	200	100	0.001	0.1	6551
12	14.4455913829	11.9595695973	1.0	200	100	0.001	0.1	6551
13	14.7220331682	12.1329244619	1.0	200	100	0.001	0.1	6551
14	14.9333965624	12.9339434695	1.0	200	100	0.001	0.1	6551
15	15.2342229997	13.5430293065	1.0	200	100	0.001	0.1	6551
16	15.4270236493	12.63773865	1.0	200	100	0.001	0.1	6551
17	15.6222938937	13.6816311566	1.0	200	100	0.001	0.1	6551
18	15.8775815432	13.0399717364	1.0	200	100	0.001	0.1	6551
19	16.0983159635	14.2813470573	1.0	200	100	0.001	0.1	6551
20	16.2545879167	14.0641923443	1.0	200	100	0.001	0.1	6551
21	16.5132155655	13.3962285719	1.0	200	100	0.001	0.1	6551
22	16.6911254796	13.6208087158	1.0	200	100	0.001	0.1	6551
23	16.9125662465	14.691510629	1.0	200	100	0.001	0.1	6551
24	17.1040047879	15.2230056048	1.0	200	100	0.001	0.1	6551
25	17.2657532322	16.4082368109	1.0	200	100	0.001	0.1	6551
26	17.5207799192	13.333602175	1.0	200	100	0.001	0.1	6551
27	17.6874091746	14.3420335978	1.0	200	100	0.001	0.1	6551
28	17.7952993253	17.5258434215	1.0	200	100	0.001	0.1	6551
29	18.1179707761	14.4699093867	1.0	200	100	0.001	0.1	6551
30	18.1727120202	17.280114824	1.0	200	100	0.001	0.1	6551
31	18.4054938437	15.6605577268	1.0	200	100	0.001	0.1	6551
32	18.5823408569	15.1294376654	1.0	200	100	0.001	0.1	6551
33	18.7597622156	15.1440811194	1.0	200	100	0.001	0.1	6551
34	18.9360325404	16.9636064351	1.0	200	100	0.001	0.1	6551
35	19.0607464607	17.7226397631	1.0	200	100	0.001	0.1	6551
36	19.2810121834	15.8399669449	1.0	200	100	0.001	0.1	6551
37	19.4041580532	17.2572047979	1.0	200	100	0.001	0.1	6551
38	19.5924652723	15.892577345	1.0	200	100	0.001	0.1	6551
39	19.7673427737	17.5982475609	1.0	200	100	0.001	0.1	6551
40	19.8388816072	17.4785225633	1.0	200	100	0.001	0.1	6551
41	20.0872382205	17.009712614	1.0	200	100	0.001	0.1	6551
42	20.1874596368	17.259192402	1.0	200	100	0.001	0.1	6551
43	20.3734552397	19.154208155	1.0	200	100	0.001	0.1	6551
44	20.5541985231	17.6273404216	1.0	200	100	0.001	0.1	6551
45	20.6403587777	19.4696628022	1.0	200	100	0.001	0.1	6551
46	20.7846552917	18.7615369045	1.0	200	100	0.001	0.1	6551
47	20.9795270229	19.3411464591	1.0	200	100	0.001	0.1	6551
48	21.1327087858	15.441657447	1.0	200	100	0.001	0.1	6551
49	21.1547220078	19.9651930619	1.0	200	100	0.001	0.1	6551
50	21.3711361361	17.5455361981	1.0	200	100	0.001	0.1	6551
51	21.3646131784	20.0646792607	1.0	200	100	0.001	0.1	6551
52	21.7335049146	15.8055307765	1.0	200	100	0.001	0.1	6551
53	21.5224016478	19.8688650569	1.0	200	100	0.001	0.1	6551
54	21.9219028526	17.853443309	1.0	200	100	0.001	0.1	6551
55	22.0050969668	18.6751351557	1.0	200	100	0.001	0.1	6551
56	22.2180622355	18.0362745152	1.0	200	100	0.001	0.1	6551
57	22.2778631499	18.5852699417	1.0	200	100	0.001	0.1	6551
58	22.4092824249	17.5833892758	1.0	200	100	0.001	0.1	6551
59	22.5261579526	21.8652602965	1.0	200	100	0.001	0.1	6551
60	22.7178424399	17.9705602959	1.0	200	100	0.001	0.1	6551
61	22.8503044831	20.4066676464	1.0	200	100	0.001	0.1	6551
62	22.9713475999	17.9777055689	1.0	200	100	0.001	0.1	6551
63	23.0045133639	21.6098028451	1.0	200	100	0.001	0.1	6551
64	23.188964157	18.0231606983	1.0	200	100	0.001	0.1	6551
65	23.3295942028	23.1114134506	1.0	200	100	0.001	0.1	6551
66	23.5220550784	19.9131708984	1.0	200	100	0.001	0.1	6551
67	23.57493191	19.2217005708	1.0	200	100	0.001	0.1	6551
68	23.6657794891	21.8105862519	1.0	200	100	0.001	0.1	6551
69	23.9597358728	20.3327460508	1.0	200	100	0.001	0.1	6551
70	23.9658779467	20.1131966693	1.0	200	100	0.001	0.1	6551
71	24.0256643457	24.7833049384	1.0	200	100	0.001	0.1	6551
72	24.2465565949	17.9565222879	1.0	200	100	0.001	0.1	6551
73	24.1568140002	24.5450750364	1.0	200	100	0.001	0.1	6551
74	24.5268672966	21.1673070787	1.0	200	100	0.001	0.1	6551
75	24.4633887276	22.059122029	1.0	200	100	0.001	0.1	6551
76	24.627687628	19.8634899397	1.0	200	100	0.001	0.1	6551
77	24.6296682996	22.524155759	1.0	200	100	0.001	0.1	6551
78	24.8656498874	18.011770593	1.0	200	100	0.001	0.1	6551
79	24.945590041	25.2299981418	1.0	200	100	0.001	0.1	6551
80	25.0369902915	19.0746706977	1.0	200	100	0.001	0.1	6551
81	25.1776219036	23.006563875	1.0	200	100	0.001	0.1	6551
82	25.292199448	21.2884812237	1.0	200	100	0.001	0.1	6551
83	25.3575569518	24.9529824868	1.0	200	100	0.001	0.1	6551
84	25.4726414373	21.7029932215	1.0	200	100	0.001	0.1	6551
85	25.5822030586	25.2109405698	1.0	200	100	0.001	0.1	6551
86	25.7506254768	17.3571026549	1.0	200	100	0.001	0.1	6551
87	25.6391141973	28.1336322113	1.0	200	100	0.001	0.1	6551
88	26.0570136526	19.3488855635	1.0	200	100	0.001	0.1	6551
89	25.8177796026	27.7555369921	1.0	200	100	0.001	0.1	6551
90	26.2148420657	22.8410107939	1.0	200	100	0.001	0.1	6551
91	26.1026086887	25.5698387071	1.0	200	100	0.001	0.1	6551
92	26.2659842214	22.6746074164	1.0	200	100	0.001	0.1	6551
93	26.2384297141	27.70452303	1.0	200	100	0.001	0.1	6551
94	26.4692937574	19.8266791194	1.0	200	100	0.001	0.1	6551
95	26.5039711029	24.6778817587	1.0	200	100	0.001	0.1	6551
96	26.6920211233	19.7358575214	1.0	200	100	0.001	0.1	6551
97	26.7039274936	27.1935507508	1.0	200	100	0.001	0.1	6551
98	26.7804181036	19.3802256812	1.0	200	100	0.001	0.1	6551
99	26.8484576999	28.2082673168	1.0	200	100	0.001	0.1	6551
