	loss	val_loss	learning_rate	batch_size	epochs	sparsity	noise	seed
0	4.75323735777	3.77429741108	0.9	100	80	0.001	0.05	4969
1	5.2281396393	3.79699954294	0.9	100	80	0.001	0.05	4969
2	5.53685364007	4.20696617791	0.9	100	80	0.001	0.05	4969
3	5.83391939131	4.76684257086	0.9	100	80	0.001	0.05	4969
4	6.06566850559	4.73793363708	0.9	100	80	0.001	0.05	4969
5	6.31519011472	5.13972144875	0.9	100	80	0.001	0.05	4969
6	6.53731462174	4.68523197648	0.9	100	80	0.001	0.05	4969
7	6.72369854472	5.17443844283	0.9	100	80	0.001	0.05	4969
8	6.9552329213	4.86769564612	0.9	100	80	0.001	0.05	4969
9	7.0992337336	5.91416903527	0.9	100	80	0.001	0.05	4969
10	7.3183835508	6.22708085709	0.9	100	80	0.001	0.05	4969
11	7.50826124805	6.09590245706	0.9	100	80	0.001	0.05	4969
12	7.667528954	6.2372727499	0.9	100	80	0.001	0.05	4969
13	7.87660643261	6.16354611271	0.9	100	80	0.001	0.05	4969
14	8.03857961152	7.02514957652	0.9	100	80	0.001	0.05	4969
15	8.21658418206	5.75661667902	0.9	100	80	0.001	0.05	4969
16	8.33731534217	6.4622752083	0.9	100	80	0.001	0.05	4969
17	8.46276203412	6.81789178784	0.9	100	80	0.001	0.05	4969
18	8.67249335205	7.03796075681	0.9	100	80	0.001	0.05	4969
19	8.82697348325	6.99019233401	0.9	100	80	0.001	0.05	4969
20	8.99442126059	7.30502509068	0.9	100	80	0.001	0.05	4969
21	9.11201617858	7.13478738674	0.9	100	80	0.001	0.05	4969
22	9.231069142	6.65751951648	0.9	100	80	0.001	0.05	4969
23	9.36486518974	8.24563000535	0.9	100	80	0.001	0.05	4969
24	9.51479666432	7.97357987719	0.9	100	80	0.001	0.05	4969
25	9.67278765239	7.10329223317	0.9	100	80	0.001	0.05	4969
26	9.75840382177	7.4808874618	0.9	100	80	0.001	0.05	4969
27	9.87380765673	7.74981905671	0.9	100	80	0.001	0.05	4969
28	10.0789743432	6.86006042378	0.9	100	80	0.001	0.05	4969
29	10.117728749	6.00728304938	0.9	100	80	0.001	0.05	4969
30	10.2761187045	7.63847492439	0.9	100	80	0.001	0.05	4969
31	10.3958419312	7.51912451702	0.9	100	80	0.001	0.05	4969
32	10.4777632512	7.15902030126	0.9	100	80	0.001	0.05	4969
33	10.6032394643	8.19478123092	0.9	100	80	0.001	0.05	4969
34	10.7388443629	6.96822660922	0.9	100	80	0.001	0.05	4969
35	10.8319581523	7.14253304702	0.9	100	80	0.001	0.05	4969
36	10.904464927	4.69903241699	0.9	100	80	0.001	0.05	4969
37	10.9943223547	7.16567048151	0.9	100	80	0.001	0.05	4969
38	11.1315364504	4.17894508369	0.9	100	80	0.001	0.05	4969
39	11.1963796767	6.70627963748	0.9	100	80	0.001	0.05	4969
40	11.3698316093	6.5923093391	0.9	100	80	0.001	0.05	4969
41	11.5120832073	6.45779298277	0.9	100	80	0.001	0.05	4969
42	11.5372094642	9.26127896482	0.9	100	80	0.001	0.05	4969
43	11.6338485536	7.73026545189	0.9	100	80	0.001	0.05	4969
44	11.7044237921	8.45649395253	0.9	100	80	0.001	0.05	4969
45	11.8092819369	7.19322025206	0.9	100	80	0.001	0.05	4969
46	11.9204944907	8.65247850983	0.9	100	80	0.001	0.05	4969
47	11.9898081308	8.93210439153	0.9	100	80	0.001	0.05	4969
48	12.1113270174	8.99682664871	0.9	100	80	0.001	0.05	4969
49	12.1912876612	8.17737303728	0.9	100	80	0.001	0.05	4969
50	12.2691156062	9.46494145785	0.9	100	80	0.001	0.05	4969
51	12.3838291377	9.10186336328	0.9	100	80	0.001	0.05	4969
52	12.5294601917	6.90913285945	0.9	100	80	0.001	0.05	4969
53	12.5249853808	7.39658787054	0.9	100	80	0.001	0.05	4969
54	12.5875261797	8.97653760418	0.9	100	80	0.001	0.05	4969
55	12.6497287058	8.09775904169	0.9	100	80	0.001	0.05	4969
56	12.6929550236	6.96931603488	0.9	100	80	0.001	0.05	4969
57	12.8359282918	8.56642754538	0.9	100	80	0.001	0.05	4969
58	12.8830797353	7.61734141629	0.9	100	80	0.001	0.05	4969
59	13.0071346933	7.31595566624	0.9	100	80	0.001	0.05	4969
60	13.0277104039	8.4731462444	0.9	100	80	0.001	0.05	4969
61	13.1575738374	8.64396514765	0.9	100	80	0.001	0.05	4969
62	13.2218090642	10.0859673557	0.9	100	80	0.001	0.05	4969
63	13.2927700879	10.4511735581	0.9	100	80	0.001	0.05	4969
64	13.3330960896	7.10714904482	0.9	100	80	0.001	0.05	4969
65	13.2700892787	8.2069604757	0.9	100	80	0.001	0.05	4969
66	13.5033462885	7.70467801668	0.9	100	80	0.001	0.05	4969
67	13.6036130025	8.57818786318	0.9	100	80	0.001	0.05	4969
68	13.7009058188	9.64728290401	0.9	100	80	0.001	0.05	4969
69	13.7251859433	10.2800744569	0.9	100	80	0.001	0.05	4969
70	13.7770875665	8.33570449074	0.9	100	80	0.001	0.05	4969
71	13.8208008508	7.50426992176	0.9	100	80	0.001	0.05	4969
72	13.8453009682	9.37044969252	0.9	100	80	0.001	0.05	4969
73	13.9730777073	7.01117151645	0.9	100	80	0.001	0.05	4969
74	14.0087276666	8.00406253589	0.9	100	80	0.001	0.05	4969
75	14.1628516649	10.2687510487	0.9	100	80	0.001	0.05	4969
76	14.1330270037	9.64184249291	0.9	100	80	0.001	0.05	4969
77	14.2143848184	11.0242658847	0.9	100	80	0.001	0.05	4969
78	14.3414431191	11.5671781281	0.9	100	80	0.001	0.05	4969
79	14.4376593021	10.3840212202	0.9	100	80	0.001	0.05	4969
