genes	weight
LRRN4	0.0760505720973
SLC34A2	0.0731297209859
WIT1	0.069998472929
XIST	0.06969805061819999
VTCN1	0.0671857222915
ST6GALNAC5	0.066952727735
XKR4	0.0659006908536
UGT2B11	0.0604676790535
MYBPH	0.0596046075225
GPR12	0.0595800951123
ACMSD	0.056546259671400007
TMPRSS6	0.0554398745298
FAM5B	0.0547706745565
WT1	0.0528716668487
