TEKT1,-0.04099969565868378
PRODH2,-0.041063521057367325
ST18,-0.04107141122221947
MAGEC1,-0.041097138077020645
ACTL6B,-0.04113210737705231
S100A7A,-0.041166409850120544
UGT1A7,-0.04117714241147041
MARCO,-0.04120675474405289
KIAA1324,-0.04124554619193077
ST8SIA6,-0.04124973714351654
TSHR,-0.04128039628267288
TP53TG3B,-0.04129008948802948
HAND2,-0.041302163153886795
AGXT2,-0.04138583689928055
CCL26,-0.041423480957746506
ELMOD1,-0.041532453149557114
APOA1,-0.0415651910007
TTPA,-0.04158829152584076
FAM196B,-0.0415990874171257
SNTN,-0.04161648452281952
ZDHHC22,-0.041641976684331894
PLA2G4E,-0.04170262813568115
TRY6,-0.041747964918613434
GAL3ST2,-0.04175753891468048
MRO,-0.04197794571518898
RPTN,-0.041986480355262756
SLC5A1,-0.04208443686366081
CAPSL,-0.04211374372243881
TFF3,-0.04215623810887337
PTPRQ,-0.04219428449869156
FABP1,-0.042210254818201065
METTL7B,-0.04221886768937111
GSTA1,-0.04226768761873245
WIF1,-0.04228242486715317
SYNPO2L,-0.04235360771417618
KLHL38,-0.04241672903299332
TMEM63C,-0.04263648763298988
KIRREL2,-0.042738109827041626
NRAP,-0.04274581000208855
LRRC10B,-0.04279555380344391
CDH18,-0.042804401367902756
C14orf180,-0.0428331084549427
OGN,-0.04284415394067764
ANXA13,-0.04288189113140106
CSMD3,-0.04294155165553093
MAGEA11,-0.04307853803038597
ACOX2,-0.04315320402383804
PRMT8,-0.043286751955747604
MUC13,-0.043306559324264526
APOC3,-0.043414488434791565
KLHL4,-0.043526649475097656
AADAC,-0.04353201761841774
LRRC3B,-0.0436723530292511
CPN2,-0.04372701421380043
PCYT1B,-0.04383506625890732
FNDC1,-0.04385506734251976
FAM133A,-0.043959811329841614
PCDHAC2,-0.0439620316028595
TM6SF2,-0.04403059929609299
ST8SIA2,-0.044196031987667084
HHATL,-0.044209737330675125
CDH15,-0.044210758060216904
CYP4F3,-0.044267211109399796
LMX1B,-0.04429314285516739
HHLA2,-0.04429514706134796
MUC17,-0.044336430728435516
ADAMTS19,-0.044337060302495956
ANKFN1,-0.044354040175676346
ARHGDIG,-0.04439868405461311
DPT,-0.04448096081614494
CCL24,-0.04453342780470848
AGXT2L1,-0.04454164579510689
KIF19,-0.044557180255651474
LCE3D,-0.044568441808223724
CBLN4,-0.04460913687944412
MSI1,-0.04471266642212868
BTNL3,-0.04471268504858017
FAM178B,-0.044822417199611664
UNC5C,-0.04489598795771599
NPHS1,-0.044976528733968735
DMRT3,-0.045058831572532654
APOH,-0.04507172107696533
CDC20B,-0.045074112713336945
TSIX,-0.04514777287840843
SERPINA10,-0.04525311291217804
SFTPA1,-0.045315809547901154
HAO2,-0.04532768577337265
NKX2-5,-0.045328497886657715
GDF10,-0.04538667947053909
LBP,-0.04575474187731743
DSC1,-0.04583848640322685
FGF19,-0.04594309255480766
ITLN2,-0.04600895196199417
DACH2,-0.04621618241071701
ARSF,-0.04622618481516838
S100A7,-0.04625382274389267
ANKRD30B,-0.04628643020987511
OSBPL6,-0.04630124196410179
LRRTM1,-0.04635161906480789
FAM181A,-0.04639790952205658
EDN3,-0.04643303528428078
C6orf97,-0.04649161174893379
SVOP,-0.04654307663440704
PKHD1L1,-0.04664798825979233
MT1G,-0.046674080193042755
GABRB2,-0.04667629301548004
HECW1,-0.04672110825777054
PCSK2,-0.0468067042529583
GREB1,-0.04689501225948334
PCDHA1,-0.04700352996587753
UGT3A1,-0.04717148467898369
FSTL5,-0.047236356884241104
BTNL8,-0.04727308824658394
SLC28A3,-0.047395236790180206
ABCC6P1,-0.04742550477385521
TUBAL3,-0.04754210263490677
RALYL,-0.04756965488195419
RDH12,-0.047660186886787415
TLX1,-0.047727540135383606
C6orf15,-0.0477563850581646
FABP7,-0.04776336997747421
MDGA2,-0.04779309779405594
DSG1,-0.04783415049314499
CREB3L3,-0.048033636063337326
MYO1A,-0.04815816879272461
KY,-0.04825110733509064
KCNA2,-0.048269160091876984
PHGR1,-0.04837604612112045
PIRT,-0.048506468534469604
USH1C,-0.04856186732649803
HCN1,-0.048573873937129974
FADS6,-0.048679884523153305
TM7SF4,-0.048789236694574356
C11orf87,-0.04887242987751961
GABRG2,-0.049085330218076706
ASTN1,-0.04910101741552353
ORM1,-0.049171507358551025
CES3,-0.049325134605169296
NECAB2,-0.04969743639230728
C14orf34,-0.05017950385808945
TUBA4B,-0.05031520500779152
C7orf52,-0.050413455814123154
TGM3,-0.050614114850759506
A1CF,-0.05089204013347626
TMEM150B,-0.051129527390003204
GABRG1,-0.0512014739215374
LOC100124692,-0.05135907977819443
C1QL2,-0.051745831966400146
HRASLS,-0.05180513486266136
SLC7A14,-0.051936689764261246
SHISA6,-0.05195202678442001
CCL14-CCL15,-0.05195337161421776
DLK1,-0.052142951637506485
PGLYRP3,-0.052248988300561905
ZIC4,-0.05228332430124283
TAT,-0.052555378526449203
SCN1A,-0.05262322351336479
PCDHA11,-0.0526326484978199
GRIA3,-0.052664387971162796
SPRR2G,-0.05275541543960571
DCC,-0.052786845713853836
KCNA1,-0.05299392715096474
CCDC108,-0.053040843456983566
AFP,-0.053269002586603165
PIK3C2G,-0.053408581763505936
NPC1L1,-0.05346188694238663
C8B,-0.05367599427700043
CLRN3,-0.05389393866062164
GPR128,-0.05395295098423958
SPRR1B,-0.0539618618786335
TBX5,-0.054060790687799454
KLK9,-0.05413535609841347
MT1H,-0.054243508726358414
ADIPOQ,-0.05486288294196129
BMP5,-0.055102117359638214
