	0
285	NKX2-1
286	GATA4
287	CCL21
288	KLK5
289	NLRP2
290	ANKS4B
291	FABP7
292	BEX1
293	ERBB4
294	RBP4
295	ATP13A4
296	C16orf89
297	FAM3D
298	CNTN1
299	BARX2
300	MLPH
301	EMX2
302	SPRR2A
303	XDH
304	NLGN4Y
305	AMN
306	C2orf54
307	CES1
308	SAA2
309	C20orf151
310	HSD17B2
311	IGJ
312	SLITRK6
313	GPRC5A
314	FOXJ1
315	SOX21
316	CNTNAP2
317	MMP10
318	GP2
319	ALB
320	CCDC64B
321	ERN2
322	PTPRT
323	TRIM15
324	DNER
325	CRABP2
326	BNC1
327	B4GALNT4
328	NTRK2
329	FAM83F
330	DPP6
331	KCNJ15
332	ELF5
333	CYP24A1
334	EVPL
335	ACADL
336	PPAN-P2RY11
337	PCSK1N
338	TFAP2C
339	ZIC1
340	CXCL14
341	TCF21
342	SLC6A15
343	TM4SF5
344	MAL2
345	DUOXA1
346	DUOXA2
347	MASP1
348	RNF128
349	ZIC2
350	ABCA12
351	GRIK3
352	C2orf72
353	LIPH
354	TMEM40
355	GLDC
356	OVOL2
357	CWH43
358	MAGEA6
359	HOXC13
360	GABRB3
361	SPRR2D
362	PPP1R1A
363	SPINK5
364	FABP1
365	GREM1
366	SERPINB2
367	PRKY
368	SCNN1B
369	CYP4F3
370	CDHR2
371	C4orf7
372	CCL20
373	AGT
374	LGI3
375	LGALS7
376	SULT1C2
377	CDH3
378	DAPL1
379	FXYD2
380	S100A1
381	BHMT
382	MAL
383	CLRN3
384	PHYHIPL
385	TM4SF4
386	SERPINB4
387	LYPD6B
388	HHLA2
389	ATP2B2
390	SMOC1
391	CAPN6
392	FAT2
393	CRABP1
394	ALDH3A1
395	IHH
396	CXCL13
397	TFAP2A
398	PAH
399	AKR1C2
400	SLC3A1
401	NR1H4
402	SLCO4C1
403	BMPR1B
404	GFAP
405	FREM2
406	EDN3
407	HOXB9
408	AADAC
409	SBSN
410	SHISA9
411	UGT8
412	FERMT1
413	MAPK4
414	PDZK1
415	C14orf105
416	GPR115
417	SPOCK3
418	CHRDL1
419	NMU
420	NAPSA
421	MFAP5
422	CRTAC1
423	FOXQ1
424	GPM6A
425	GSTA2
426	EPHA7
427	CRYM
428	FOXA3
429	SYT8
430	SLC15A1
431	CYP3A5
432	CEACAM7
433	MUC1
434	RIMS4
435	S100A8
436	ATP1A2
437	MYEOV
438	NKAIN4
439	RORC
440	LPAR3
441	LGR5
442	IGF2BP1
443	LGALS7B
444	CCL15
445	SFTA3
446	CNTFR
447	SERPINB13
448	LMX1B
449	DCDC2
450	GAL3ST1
451	BCAN
452	POU3F3
453	ORM2
454	UCA1
455	SFTPA1
456	TTR
457	C6orf223
458	PRR15
459	INA
460	DPT
461	POSTN
462	MAGEA3
463	LYPD3
464	PCDH10
465	HOXA9
466	CXCL1
467	ARSE
468	PPP1R14C
469	FBN3
470	IRX4
471	RHOV
472	PAX9
473	CTNNA2
474	AMBP
475	SULT2B1
476	TMEM45B
477	CCL18
478	PON3
479	CCL19
480	S100A9
481	ZBED2
482	VSNL1
483	ADCY2
484	VGLL1
485	SCGB1D2
486	TCEAL2
487	SLCO1A2
488	FABP4
489	PRSS21
490	IGSF9
491	PRLR
492	PTPRH
493	SLC38A3
494	GJB5
495	CDH2
496	CST6
497	SCRG1
498	SEMA3E
499	CHIT1
500	DLK1
501	FUT9
502	PART1
503	GABBR2
504	ATP2C2
505	HNF4G
506	IL20RA
507	PKHD1
508	ABCC8
509	AIM1L
510	EREG
511	CLCA4
512	SFTA2
513	SLC9A2
514	LONRF2
515	SFRP1
516	CDH17
517	SLC6A11
518	SFTPC
519	GRIA2
520	KRT80
521	C6
522	CYP2B7P1
523	CLDN1
524	CXCL5
525	HBA1
526	CA12
527	MAPT
528	SCG3
529	OVOL1
530	ACE2
531	C19orf46
532	TRPV6
533	L1CAM
534	ADH6
535	ACSM2A
536	C2orf40
537	B3GAT1
538	CAMK2B
539	PNCK
540	KNDC1
541	HOXA13
542	TMPRSS3
543	BNIPL
544	CKMT1B
545	WNK4
546	NPY
547	AREG
548	LPPR1
549	NCCRP1
550	MT3
551	GRB7
552	CKMT1A
553	MGC29506
554	SLC6A13
555	TMPRSS13
556	CA4
557	DACT2
558	KLK3
559	LIX1
560	CHRM1
561	PITX2
562	HOXC11
563	OGN
564	CLDN7
565	PADI3
566	C3orf57
567	UGT1A10
568	GJB4
569	GALNT5
570	ASTN1
571	ELFN2
572	PAX2
573	GABRA3
574	GFRA1
575	FABP6
576	ANXA13
577	C1orf210
578	HOXB8
579	MUC2
580	SST
581	C12orf36
582	LOC339535
583	ODZ1
584	CHL1
585	GNG4
586	ACTG2
587	CYP4F11
588	BCHE
589	SOSTDC1
590	SERPINA1
591	APOB
592	RPS28
593	AKR1C1
594	GRHL3
595	RASAL1
596	CXCL6
597	WNT7A
598	C4BPB
599	KCNJ3
600	TMEM125
601	DPYS
602	HS6ST2
603	HOXD13
604	MARCO
605	ODZ2
606	GJB2
607	TMC4
608	AQP3
609	LBP
610	GPD1
611	STAC2
612	DHRS2
613	DMKN
614	METTL7B
615	NCAM1
616	CRYAB
617	MYB
618	PI16
619	TFAP2B
620	SLC26A9
621	CRISP3
622	MS4A8B
623	HOXA10
624	APOD
625	SCGB2A1
626	C1orf64
627	CPA3
628	APOH
629	FNDC1
630	DIRAS2
631	HOXD11
632	D4S234E
633	BHMT2
634	CDHR1
635	SORCS1
636	PEBP4
637	MUC6
638	NLGN1
639	TRPM8
640	PAX8
641	UGT2B15
642	C1orf106
643	WIF1
644	ABCA13
645	TRIM31
646	DPYSL5
647	DLL3
648	GAL3ST3
649	STMN2
650	GPRIN2
651	C5orf38
652	CADM3
653	PIP
654	CADPS
655	CDO1
656	ZIC5
657	ATP6V0A4
658	CLIC6
659	EGFL6
660	RASSF6
661	KLK4
662	MUC21
663	SCGN
664	GBP6
665	APOA1
666	SLC5A8
667	COL2A1
668	OLIG1
669	GBA3
670	HOXA11
671	RXRG
672	TUBB2B
673	KRT18
674	ACMSD
675	KCNH2
676	LRRN1
677	NRXN1
678	LY6K
679	HS6ST3
680	RGN
681	CDX2
682	SLC17A4
683	CUX2
684	TBX5
685	FAIM2
686	IGSF1
687	GRIK5
688	STK32A
689	HHATL
690	ENPP3
691	COL4A6
692	AGXT2L1
693	TFPI2
694	MB
695	ALOX15B
696	SERPINA4
697	CILP
698	GPR158
699	NTS
700	DKK1
701	SPP1
702	UBD
703	CYP4F12
704	SLC1A2
705	CPNE4
706	TG
707	CACNA1B
708	SSTR1
709	SLC30A2
710	WNK2
711	PTPRN
712	H19
713	ACSM2B
714	KLK13
715	VTN
716	KCNK3
717	GYLTL1B
718	SLC6A20
719	GATA3
720	WT1
721	NKAIN1
722	NEFM
723	CPB1
724	SCGB3A1
725	C1orf172
726	REG4
727	DPP10
728	TMEFF2
729	AKR7A3
730	DPP4
731	SH3GL2
732	FMN2
733	MACC1
734	AR
735	MYH11
736	GALNT14
737	COL7A1
738	SNAP91
739	PKLR
740	DUSP9
741	ACTC1
742	SLC27A6
743	PCDP1
744	CLDN18
745	PEG10
746	WBSCR17
747	LUZP2
748	SLCO1B3
749	MAT1A
750	IRX1
751	SLC28A3
752	NR0B2
753	PMP2
754	GPR98
755	MLXIPL
756	IRX6
757	IL22RA1
758	C11orf9
759	HES2
760	CLGN
761	HAND2
762	KRT20
763	CR2
764	TMEM195
765	IGSF11
766	PLEKHG4B
767	LRRC31
768	SYT9
769	DUOX1
770	PRUNE2
771	ATCAY
772	VSTM2L
773	UGT1A1
774	VGF
775	CHI3L1
776	SPRR2E
777	C8orf47
778	DQX1
779	GOLT1A
780	SOX11
781	C12orf27
782	SHD
783	THBS4
784	TMEM92
785	VWA2
786	A1CF
787	FCRL5
788	CLIC3
789	COL4A3
790	BMP3
791	LSAMP
792	PRIMA1
793	RIMS2
794	HOXC9
795	SLC44A5
796	SULT4A1
797	GSDMC
798	CALB2
799	CDH1
800	ACPP
801	LRRC26
802	TMEM171
803	TMEM132C
804	THRSP
805	DIO1
806	MSI1
807	NRK
808	LOC84740
809	IGF2BP3
810	TAGLN3
811	MST1R
812	CAPN9
813	MYOM3
814	NAT8L
815	S100B
816	CHP2
817	FMO1
818	KLRG2
819	LRG1
820	TMSB4Y
821	CITED1
822	CHI3L2
823	DBC1
824	LASS1
825	C1orf186
826	TMEM139
827	F5
828	LAMB3
829	DSP
830	C2CD4A
831	GLYAT
832	ARL14
833	DSG1
834	ABCA8
835	DSCAML1
836	PNMA2
837	AOX1
838	TRHDE
839	TDRD5
840	EYA1
841	ABO
842	WNT2
843	ZBTB16
844	IGF2BP2
845	STK33
846	CA8
847	MYO7B
848	KIF5C
849	GRIA4
850	RASEF
851	TMEM59L
852	MME
853	PIK3C2G
854	ZNF385B
855	MAG
856	LUM
857	ENTPD3
858	MS4A1
859	TMEM30B
860	MKRN3
861	KLF5
862	EN1
863	TTYH1
864	TPSB2
865	GC
866	FAM5C
867	SERPINB7
868	SERPINA11
869	GDF1
870	MAOB
871	ESPN
872	NPY1R
873	SLC16A12
874	PNMAL1
875	FGFR4
876	LRRTM1
877	INSM1
878	MIA2
879	ACY3
880	HPGD
881	SLITRK2
882	SH3RF2
883	SFRP4
884	GAD1
885	C4orf31
886	ADAM23
887	CD24
888	RNF186
889	GDF15
890	AGTR1
891	ESR1
892	SLC22A3
893	ATP1A3
894	CD79A
895	ETV4
896	PCDHA11
897	UNC80
898	MAGEA4
899	NWD1
900	SPAG17
901	PADI1
902	BARX1
903	CPA4
904	KLK2
905	NCAM2
906	HOXA11AS
907	ILDR1
908	TMEM184A
909	SCGB1A1
910	NAT8
911	GAP43
912	DPEP1
913	HOXC6
914	GALNT13
915	CPS1
916	RELN
917	ADCY8
918	CYP2S1
919	CYP2B6
920	HOXC8
921	KIF5A
922	ELOVL2
923	EYA2
924	KIAA0408
925	LOC100130933
926	SCN7A
927	SLC13A2
928	RANBP3L
929	FOXD1
930	GALNT9
931	TBX1
932	TPSAB1
933	MIA
934	LHFPL4
935	NELL1
936	UCHL1
937	LRP1B
938	COL1A1
939	WISP2
940	NRCAM
941	PPARGC1A
942	CNKSR1
943	TGM3
944	SMPDL3B
945	C12orf56
946	SLC2A2
947	DIRAS1
948	CD177
949	SOX8
950	SGK2
951	SNAP25
952	C15orf48
953	CREB3L3
954	C1QL1
955	C11orf41
956	EDN2
957	SYT1
958	HAPLN1
959	MUCL1
960	GAL
961	IL1F5
962	ARHGEF4
963	ADCY5
964	ONECUT2
965	TMEM130
966	KLK1
967	SLC7A4
968	NTNG1
969	STYK1
970	IDO1
971	CXCL9
972	LAMA1
973	CNNM1
974	ASCL1
975	ITIH2
976	FAM107A
977	CCL14-CCL15
978	GPR81
979	NIPAL4
980	LASS3
981	TMEM63C
982	GDPD2
983	LOC389493
984	CCNA1
985	SHH
986	ASPG
987	TBC1D3G
988	ACSM5
989	FST
990	STRA6
991	ATP6V1B1
992	ABCC6
993	FA2H
994	CSTA
995	KLK12
996	FAM5B
997	ACSM3
998	FGL1
999	TYRP1
1000	KRTCAP3
1001	RIC3
1002	GPR109A
1003	PLAC2
1004	AFF3
1005	UPK3B
1006	DSG2
1007	ROS1
1008	PLA2G2D
1009	TMPRSS6
1010	CHRDL2
1011	FAM83C
1012	RPRM
1013	EMX1
1014	ADH7
1015	ATRNL1
1016	NOVA1
1017	COL22A1
1018	LPPR3
1019	PTK6
1020	KCNQ2
1021	KCNG1
1022	TRIM55
1023	PRSS16
1024	EPHA10
1025	CADM2
1026	PHACTR3
1027	MAPK15
1028	PENK
1029	AK5
1030	DMGDH
1031	SLITRK5
1032	LOC440173
1033	NRG3
1034	SCARA5
1035	ISL1
1036	PTN
1037	PLEKHG6
1038	SCUBE2
1039	TINAG
1040	TMPRSS11D
1041	MUM1L1
1042	MMP11
1043	CDH22
1044	SLC13A5
1045	NPTX1
1046	GREB1
1047	SHISA2
1048	PCP4L1
1049	MT1G
1050	VWDE
1051	NDP
1052	ANXA3
1053	DLGAP1
1054	LHFPL3
1055	SYT12
1056	MYO3A
1057	CNTN3
1058	AP3B2
1059	CREB3L1
1060	ADAMDEC1
1061	NTRK3
1062	SCG2
1063	MFSD6L
1064	FLJ16779
1065	HPD
1066	MAP7D2
1067	PI15
1068	SLIT1
1069	ACTN2
1070	CSDC2
1071	HOXD10
1072	POPDC3
1073	KIAA2022
1074	AMY1A
1075	KCNK2
1076	ARHGAP36
1077	IQCA1
1078	VIPR2
1079	LGALS2
1080	FMO2
1081	PHF21B
1082	RIMBP2
1083	RASSF10
1084	PRG4
1085	LOC554202
1086	ST6GAL2
1087	SIX1
1088	PLXNB3
1089	HOXA7
1090	SLC6A17
1091	NEU4
1092	LOC440905
1093	CRB3
1094	CRLF1
1095	TFCP2L1
1096	IL8
1097	RAB27B
1098	SLC28A1
1099	DLX3
1100	PTGER3
1101	SLC5A12
1102	IRF6
1103	FAM181B
1104	IL1RN
1105	FAM189A1
1106	SCN2B
1107	ANXA10
1108	DHDPSL
1109	NEFH
1110	MMP9
1111	EGF
1112	IRX5
1113	EPPK1
1114	LOC389332
1115	ZYG11A
1116	VSTM2A
1117	STEAP4
1118	FTCD
1119	STXBP5L
1120	CYP2C9
1121	IGFBP1
1122	MNX1
1123	SLC27A2
1124	PTGDS
1125	GALNT3
1126	PCDHA12
1127	ADIPOQ
1128	MYBL2
1129	LAMA3
1130	PRODH
1131	PCDHA10
1132	DMRT2
1133	DCX
1134	RAMP1
1135	GPC3
1136	C1orf168
1137	SEZ6L
1138	DNAH11
1139	VAT1L
1140	PCDH20
1141	SCGB2A2
1142	LOC286002
1143	ARHGEF38
1144	BAALC
1145	SLC6A19
1146	KCND2
1147	CAPNS2
1148	LOC643763
1149	SPON1
1150	BAIAP2L2
1151	ENTPD8
1152	PALM3
1153	SYN2
1154	SLC47A1
1155	DPYSL4
1156	LOC96610
1157	PTHLH
1158	MEGF10
1159	NTF4
1160	ABCC2
1161	SYTL5
1162	CYP4F22
1163	PEG3
1164	PGR
1165	PDX1
1166	CFB
1167	GRIA1
1168	IGF2
1169	ZNF488
1170	HR
1171	PLCXD3
1172	PHGR1
1173	SLC16A9
1174	C8orf85
1175	NPR3
1176	CCL11
1177	NELL2
1178	NOTUM
1179	TNNC1
1180	MIOX
1181	PKNOX2
1182	MLC1
1183	C1orf130
1184	BPIL1
1185	SIX2
1186	KLHL14
1187	TRIM58
1188	KRT1
1189	SERPIND1
1190	LOC145837
1191	MFAP2
1192	KIAA1199
1193	SLC38A4
1194	COL3A1
1195	ABCC3
1196	CSMD1
1197	ESRRG
1198	ANPEP
1199	HEPACAM2
1200	CACNA2D1
1201	PLA2G3
1202	PLA2G10
1203	FAM135B
1204	RGS20
1205	HIF3A
1206	SUSD4
1207	SCN2A
1208	MYT1
1209	XAGE1D
1210	ROBO2
1211	CALB1
1212	TNNT3
1213	KRT75
1214	C11orf92
1215	NXPH4
1216	FAM189A2
1217	C4A
1218	TMEM100
1219	POU2AF1
1220	CYP2W1
1221	NOL4
1222	DIO2
1223	DLX1
1224	SH3GL3
1225	EPHA1
1226	FOXN1
1227	C14orf73
1228	SYT14
1229	LRRN4
1230	PTH2R
1231	C1orf61
1232	CYP4A11
1233	UNC5A
1234	GRIN2A
1235	CLU
1236	POU2F3
1237	DACH1
1238	ANKRD43
1239	IL1A
1240	SNORD116-4
1241	APLP1
1242	VEPH1
1243	WSCD2
1244	SYT7
1245	EDAR
1246	KIAA0125
1247	NME5
1248	XG
1249	LIPC
1250	PRSS12
1251	KCNQ5
1252	TMEM35
1253	BAAT
1254	CECR2
1255	PLA2G12B
1256	C10orf108
1257	IGFL1
1258	MT1H
1259	CHMP4C
1260	TRIM9
1261	GRIA3
1262	LHX2
1263	OTX1
1264	IGFN1
1265	KCNN4
1266	FXYD1
1267	FUT2
1268	BIK
1269	LGR6
1270	BRSK2
1271	SPOCK1
1272	RIMS1
1273	TCERG1L
1274	CDH4
1275	LOC645323
1276	CELF3
1277	MEG3
1278	CDH19
1279	UGT3A1
1280	SFTPD
1281	IP6K3
1282	RET
1283	PTPRD
1284	CD1A
1285	NALCN
1286	PPAPDC1A
1287	IGDCC3
1288	C6orf132
1289	CSF3
1290	PPP1R14D
1291	HHIP
1292	C1orf88
1293	ACSS3
1294	EN2
1295	EFHD1
1296	SLC14A1
1297	ALPK2
1298	AQP9
1299	TRPA1
1300	COL8A1
1301	NECAB2
1302	ADD2
1303	RAB17
1304	PCSK1
1305	EPHX3
1306	C5orf23
1307	DNASE1L3
1308	TGM1
1309	PDPN
1310	RNF212
1311	PTPN20B
1312	PTGS2
1313	GABRB2
1314	PCOLCE2
1315	PLAC8
1316	SLC19A3
1317	IGFL2
1318	ALDH1A1
1319	ELAVL2
1320	SOX15
1321	LPHN3
1322	OSR2
1323	EMID2
1324	KNG1
1325	DNAJC22
1326	SPINT1
1327	GIPC2
1328	NUDT11
1329	OMD
1330	SP5
1331	DPF1
1332	KIAA1244
1333	RPS6KA6
1334	GRB14
1335	GREM2
1336	RUNDC3A
1337	CDKN2A
1338	KCNJ10
1339	EPS8L1
1340	FRMD5
1341	CLSTN2
1342	SLC23A1
1343	UNC5D
1344	AKR1C3
1345	SYTL1
1346	LOC84856
1347	EYA4
1348	APOC2
1349	LY6G6C
1350	LEMD1
1351	HPCAL4
1352	C8orf46
1353	ARHGDIG
1354	ADAM12
1355	STXBP6
1356	SLC17A3
1357	CYP4F2
1358	SFRP5
1359	FOSB
1360	SLC6A12
1361	SULT1E1
1362	GFRA3
1363	PLEKHB1
1364	TSHR
1365	ANKS1B
1366	RGL3
1367	COL9A1
1368	TRIM10
1369	DLX6
1370	ANO4
1371	STX19
1372	POU3F2
1373	BCL2L14
1374	WDR17
1375	HEPACAM
1376	SLC9A3
1377	GRIK2
1378	WNT10A
1379	CALN1
1380	TTC22
1381	LYPD6
1382	SLC38A5
1383	SYT4
1384	TESC
1385	PCDH19
1386	TNNI3
1387	DEGS2
1388	IRX3
1389	FOXG1
1390	YBX2
1391	NPTX2
1392	KBTBD12
1393	FOXI1
1394	C3
1395	DGCR5
1396	MSX2
1397	VNN1
1398	KCNK15
1399	CTSL2
1400	C20orf103
1401	GLT25D2
1402	PCDHAC2
1403	ATP1B2
1404	ADAMTS16
1405	C6orf141
1406	ENHO
1407	TUBBP5
1408	CHST8
1409	PDZRN4
1410	PAEP
1411	FSD1
1412	DCLK1
1413	NPNT
1414	HOXB6
1415	FAT3
1416	GALNTL1
1417	LOC254559
1418	KLF15
1419	F7
1420	ABCC11
1421	GLYATL2
1422	KANK4
1423	ABCC6P1
1424	ENPP5
1425	CNN1
1426	BIRC7
1427	BAI1
1428	KCNS1
1429	PCDHA4
1430	ANO5
1431	HMP19
1432	C3orf15
1433	FAP
1434	FLNC
1435	SHOX2
1436	CXCL10
1437	CKMT2
1438	HAP1
1439	TNNT2
1440	TFF2
1441	PDIA2
1442	S100A7A
1443	HRASLS
1444	NRG1
1445	EDIL3
1446	DMRTA1
1447	C21orf62
1448	ST6GALNAC5
1449	ARX
1450	ANO9
1451	SGPP2
1452	FCGBP
1453	CCL13
1454	HOXB5
1455	DUSP26
1456	SCG5
1457	ALDH1A2
1458	CRB2
1459	COCH
1460	FGFR3
1461	TPRXL
1462	HPX
1463	KRTDAP
1464	ACSM1
1465	AQP7
1466	CST2
1467	TLX1
1468	SYT5
1469	RGMA
1470	RNF182
1471	GPX3
1472	MPPED2
1473	B3GALT5
1474	CDSN
1475	TDGF1
1476	FLJ45983
1477	ITIH5L
1478	CASKIN1
1479	CCL14
1480	C1QL4
1481	GREB1L
1482	FIBCD1
1483	ARHGAP8
1484	B4GALNT3
1485	CDKL2
1486	CXCL11
1487	LOC255167
1488	CSAG3
1489	RIPK4
1490	LRRC19
1491	FAM69C
1492	OCA2
1493	RNF183
1494	DNAH5
1495	MRAP2
1496	COL23A1
1497	CTHRC1
1498	COL6A3
1499	FSTL4
1500	PROX1
1501	LOC100271831
1502	ALOX12P2
1503	C5orf49
1504	SLITRK4
1505	GPM6B
1506	ARPP21
1507	DNALI1
1508	NPAS3
1509	ALOX15
1510	RYR1
1511	MAGEA2
1512	TNNI1
1513	IL1R2
1514	AGXT2
1515	PCYT1B
1516	HAS3
1517	BSPRY
1518	JAKMIP2
1519	ITGA8
1520	CPEB1
1521	TBX18
1522	ITGBL1
1523	LOC283392
1524	PLCH1
1525	KCNH8
1526	SEC14L4
1527	CXCL3
1528	DDX25
1529	SHISA3
1530	GPR109B
1531	MYH14
1532	TDO2
1533	KCNK10
1534	PCDH9
1535	BCMO1
1536	ASPA
1537	HOTAIR
1538	CYP2J2
1539	FER1L4
1540	RRAD
1541	AIM2
1542	INHBA
1543	ICAM5
1544	CTTNBP2
1545	PTGIS
1546	NKX2-2
1547	CHST6
1548	FBN2
1549	HORMAD1
1550	SEZ6
1551	COL9A3
1552	CDK5R2
1553	SELE
1554	LRAT
1555	CTSG
1556	FAM155B
1557	BCL2L15
1558	PLA1A
1559	KLHDC8A
1560	SLC22A11
1561	MGAT5B
1562	PDE8B
1563	FCAMR
1564	PDZD3
1565	PRDM16
1566	CD19
1567	PRRX2
1568	CCDC160
1569	F2RL2
1570	ODZ3
1571	HNF1A
1572	MTTP
1573	OLFM1
1574	PLIN4
1575	ITLN1
1576	FAM101A
1577	SDR42E1
1578	GRM4
1579	HSD17B6
1580	PRSS1
1581	psiTPTE22
1582	C6orf222
1583	AGXT
1584	APCDD1L
1585	CD164L2
1586	CNR1
1587	SEPT3
1588	GPR37
1589	ELAVL3
1590	TMEM151A
1591	HAVCR1
1592	C1orf173
1593	LRRC4C
1594	GRP
1595	MAGED4
1596	ASAM
1597	C1orf95
1598	TMEM90B
1599	ST14
1600	MOGAT3
1601	TNFAIP6
1602	BMP5
1603	ANKRD56
1604	CLUL1
1605	RSPO4
1606	RBP5
1607	COBL
1608	PKP2
1609	PRKAA2
1610	NEBL
1611	RND2
1612	HOXB7
1613	SAA4
1614	HLF
1615	SCGB3A2
1616	HRASLS5
1617	CELF5
1618	TMEM108
1619	CEACAM1
1620	PPAP2C
1621	GLB1L3
1622	HPR
1623	CES3
1624	SORCS3
1625	FCRLA
1626	PROC
1627	NAP1L2
1628	FZD10
1629	FLRT3
1630	CA10
1631	TNFRSF11B
1632	ZNF536
1633	SLC8A2
1634	TREM1
1635	DNAJC12
1636	MGST1
1637	MYOCD
1638	LRRN2
1639	PNMA3
1640	GATA5
1641	CHRNA4
1642	MCOLN3
1643	MET
1644	MYCN
1645	AKR1B15
1646	MUC12
1647	BAI3
1648	PNMA6A
1649	LOC723809
1650	XPNPEP2
1651	LIPG
1652	ST8SIA2
1653	IL20RB
1654	PCDH7
1655	GLB1L2
1656	CYS1
1657	NEURL
1658	FGF9
1659	DMRTC1B
1660	MYRIP
1661	SCIN
1662	CDH10
1663	UPK3A
1664	SLC35F3
1665	TIMP4
1666	GABRE
1667	GPA33
1668	ZBTB7C
1669	IL6
1670	FREM1
1671	SLC7A2
1672	ECEL1
1673	NGEF
1674	FOXP2
1675	CXCL2
1676	PPP4R4
1677	DPCR1
1678	MAB21L2
1679	DLX5
1680	ZCCHC12
1681	ATP12A
1682	MAP2
1683	CILP2
1684	KCND3
1685	REN
1686	MGP
1687	AHNAK2
1688	SCTR
1689	ERP27
1690	DOCK3
1691	DLK2
1692	ARMC3
1693	PCDHGB5
