	0
0	RPS4Y1
1	XIST
2	KRT5
3	AGR2
4	CEACAM5
5	KRT6A
6	KRT14
7	CEACAM6
8	DDX3Y
9	KDM5D
10	SLC34A2
11	TMPRSS4
12	KRT6B
13	GPX2
14	SERPINB5
15	HMGCS2
16	PIGR
17	KRT16
18	KRT17
19	UGT1A6
20	FOXA1
21	FXYD3
22	HNF1B
23	KRT19
24	RAB25
25	DSG3
26	USP9Y
27	EIF1AY
28	LCN2
29	KRT15
30	PRAME
31	KRT13
32	CALML3
33	KLK11
34	AZGP1
35	GRHL2
36	KRT7
37	AKR1B10
38	DSC3
39	PTPRZ1
40	CXCL17
41	LRP2
42	UTY
43	AGR3
44	USH1C
45	HNF4A
46	GJB1
47	SPDEF
48	LOC642587
49	S100P
50	TNS4
51	SFTPB
52	GSTA1
53	MUC5B
54	KIF1A
55	KCNJ16
56	TFF1
57	MSLN
58	SLC44A4
59	TRIM29
60	PI3
61	GSTM1
62	TSPAN8
63	SOX2
64	S100A14
65	COL17A1
66	PKP1
67	ANXA8
68	TACSTD2
69	KRT6C
70	KLK10
71	CLDN3
72	SPINK1
73	PPP1R1B
74	ALDH3B2
75	CTSE
76	HGD
77	LY6D
78	CA9
79	PLA2G2A
80	HPN
81	OLFM4
82	CDHR5
83	SCEL
84	MUC13
85	ZFY
86	FAM83A
87	GDA
88	EHF
89	WDR72
90	CLCA2
91	SFN
92	ITGB6
93	CYorf15A
94	KRT23
95	SLC6A14
96	KLK6
97	VIL1
98	ESRP1
99	CLDN2
100	TMPRSS2
101	PCK1
102	SPRR1B
103	HOXB13
104	HOXC10
105	FGFBP1
106	DDC
107	FGG
108	UGT1A9
109	PKP3
110	MUC16
111	TMC5
112	PITX1
113	C9orf152
114	PLP1
115	SERPINB3
116	C4BPA
117	COL11A1
118	SDR16C5
119	KLK7
120	C20orf114
121	UGT2B7
122	CST1
123	GGT6
124	SLC5A1
125	A2ML1
126	C19orf33
127	CBLC
128	MMP1
129	FGA
130	IYD
131	FOXA2
132	C19orf21
133	DES
134	SFTPA2
135	ADH1B
136	TFF3
137	PDZK1IP1
138	MUC15
139	DMBT1
140	C10orf81
141	MMP7
142	AP1M2
143	ANXA8L2
144	WFDC2
145	GPR110
146	PRSS8
147	FOXE1
148	FOLR1
149	SYT13
150	LGALS4
151	GJB6
152	TP63
153	POF1B
154	TOX3
155	CYorf15B
156	TTTY15
157	DUOX2
158	TNNT1
159	SLPI
160	AQP4
161	COMP
162	SERPINA3
163	ABP1
164	PRR15L
165	PRAP1
166	CP
167	IVL
168	MMP12
169	PVRL4
170	GPR87
171	NEFL
172	CHGA
173	PCSK9
174	VTCN1
175	CDH16
176	MUC4
177	MMP13
178	LTF
179	HP
180	BCAS1
181	SPRR3
182	PGC
183	CACNG4
184	SAA1
185	CLDN10
186	EPCAM
187	EPN3
188	CFTR
189	B3GNT3
190	CLDN8
191	PRSS22
192	CYP4B1
193	RHCG
194	MMP3
195	CTNND2
196	LAD1
197	PROM1
198	EEF1A2
199	GABRP
200	CALML5
201	C1orf116
202	S100A7
203	OGDHL
204	PROM2
205	TSPAN1
206	DEFB1
207	TF
208	C10orf99
209	HMGA2
210	PCSK2
211	SPRR1A
212	ZG16B
213	FGB
214	LAMC2
215	UPK1B
216	PLA2G4F
217	SCNN1A
218	ZNF750
219	CLDN4
220	ADH1C
221	PPP2R2C
222	GJB3
223	TSIX
224	MYBPC1
225	KIAA1324
226	SFRP2
227	ATP10B
228	FAM83E
229	KLK8
230	SERPINA5
231	KRT4
232	SOX10
233	ALDH1L1
234	SALL1
235	TJP3
236	BBOX1
237	CAPN13
238	GSTT1
239	PSCA
240	S100A2
241	IRX2
242	KRT8
243	C20orf56
244	FUT6
245	ALDOB
246	UGT2A3
247	LRRC15
248	COL10A1
249	HABP2
250	FAM83B
251	SLC4A4
252	BMP7
253	GLYATL1
254	SLC39A5
255	ADAM6
256	C19orf77
257	ELF3
258	VSIG2
259	CAPN8
260	PRSS3
261	CHGB
262	PCP4
263	SERPINA6
264	AQP5
265	CYP2C18
266	KLHDC7A
267	CHST9
268	LMO3
269	GCNT3
270	REG1A
271	TCN1
272	SCNN1G
273	EPS8L3
274	EMX2OS
275	ORM1
276	WNT7B
277	FUT3
278	MSMB
279	ST6GALNAC1
280	C7
281	KIF12
282	HKDC1
283	CPLX2
284	FAM3B
