rank	algorithm	activation	feature	algorithm_color
19	adage	0.4273029052864785	96	#33a02c
19	tybalt	0.2204113424004962	6	#fb9a99
19	vae_100	0.4637400776003635	51	#e31a1c
19	vae_300	0.029083958941365357	34	#fdbf6f
20	pca	1.0582545839637376	66	#a6cee3
20	ica	0.0025576924703439286	46	#1f78b4
20	nmf	0.00904009639475073	65	#b2df8a
20	adage	0.38890286481493064	80	#33a02c
20	tybalt	0.1950143795479724	86	#fb9a99
20	vae_100	0.352474757876033	19	#e31a1c
20	vae_300	0.025343455479240846	54	#fdbf6f
21	pca	1.023148899660934	73	#a6cee3
21	ica	0.0025171283109742763	48	#1f78b4
21	nmf	0.00897448089492538	83	#b2df8a
21	adage	0.3711944316708271	3	#33a02c
21	tybalt	0.1920853253034883	15	#fb9a99
21	vae_100	0.3504247426518501	38	#e31a1c
21	vae_300	0.023113005486251486	62	#fdbf6f
22	pca	1.0021776509606273	38	#a6cee3
22	ica	0.002443391380440134	12	#1f78b4
22	nmf	0.008142441537519907	86	#b2df8a
22	adage	0.2987535329537929	83	#33a02c
22	tybalt	0.16278314992139886	58	#fb9a99
22	vae_100	0.3351546256619793	69	#e31a1c
22	vae_300	0.022399591929903494	31	#fdbf6f
23	pca	0.9776241909340486	5	#a6cee3
23	ica	0.0022681074460336324	15	#1f78b4
23	nmf	0.007734558472339684	17	#b2df8a
23	adage	0.2405453547795502	14	#33a02c
23	tybalt	0.14299866347245782	55	#fb9a99
23	vae_100	0.31540880447241415	65	#e31a1c
23	vae_300	0.020618688169714607	20	#fdbf6f
24	pca	0.9685293273765684	41	#a6cee3
24	ica	0.001999749686520772	27	#1f78b4
24	nmf	0.006715034931430137	68	#b2df8a
24	adage	0.2010541832750974	40	#33a02c
24	tybalt	0.13992241043567566	36	#fb9a99
24	vae_100	0.31114374392595795	61	#e31a1c
24	vae_300	0.013071718584066113	8	#fdbf6f
25	pca	0.9174195747862387	84	#a6cee3
25	ica	0.0018788328958162	73	#1f78b4
25	nmf	0.006665946505127387	41	#b2df8a
25	adage	0.18790445720518223	51	#33a02c
25	tybalt	0.13133709514432254	23	#fb9a99
25	vae_100	0.2808630910449774	74	#e31a1c
25	vae_300	0.009916432094259601	37	#fdbf6f
26	pca	0.9077265073450551	51	#a6cee3
26	ica	0.0018100721992549938	93	#1f78b4
26	nmf	0.006657694928433238	40	#b2df8a
26	adage	0.14215395628693983	76	#33a02c
26	tybalt	0.10558506409142998	48	#fb9a99
26	vae_100	0.27106070058544973	40	#e31a1c
26	vae_300	0.009260591741850434	75	#fdbf6f
27	pca	0.8860590352761267	57	#a6cee3
27	ica	0.0016592245912060491	99	#1f78b4
27	nmf	0.006593797102441302	11	#b2df8a
27	adage	0.1334894663681001	90	#33a02c
27	tybalt	0.1024075309357598	43	#fb9a99
27	vae_100	0.2443643405935927	64	#e31a1c
27	vae_300	0.009052331168344715	53	#fdbf6f
28	pca	0.8836765413192922	48	#a6cee3
28	ica	0.0014829469686751203	49	#1f78b4
28	nmf	0.0061375641267483825	43	#b2df8a
28	adage	0.12935859077030765	55	#33a02c
28	tybalt	0.0998382184526291	91	#fb9a99
28	vae_100	0.23172254404249704	84	#e31a1c
28	vae_300	0.007697494097160433	51	#fdbf6f
29	pca	0.7915212255378262	39	#a6cee3
29	ica	0.0012156970867263923	10	#1f78b4
29	nmf	0.006011773135839699	29	#b2df8a
29	adage	0.1276996335332503	99	#33a02c
29	tybalt	0.08241370838367273	73	#fb9a99
29	vae_100	0.22667658860350337	30	#e31a1c
29	vae_300	0.007126667969661973	25	#fdbf6f
30	pca	0.7889445348410002	98	#a6cee3
30	ica	0.001136107088753995	7	#1f78b4
30	nmf	0.00596923777909833	91	#b2df8a
30	adage	0.11543408760435359	2	#33a02c
30	tybalt	0.07966994355124013	99	#fb9a99
30	vae_100	0.19156969983535577	78	#e31a1c
30	vae_300	0.006390682302243663	48	#fdbf6f
31	pca	0.6990241462485406	86	#a6cee3
31	ica	0.001132989993905942	72	#1f78b4
31	nmf	0.005413292114912073	80	#b2df8a
31	adage	0.0974267514807412	62	#33a02c
31	tybalt	0.07848656691848584	61	#fb9a99
31	vae_100	0.17393786160409208	48	#e31a1c
31	vae_300	0.004998671963890472	65	#fdbf6f
32	pca	0.6941854575257018	47	#a6cee3
32	ica	0.001058661648424014	28	#1f78b4
32	nmf	0.005062905867717722	35	#b2df8a
32	adage	0.08635952936431934	46	#33a02c
32	tybalt	0.06438974595405686	59	#fb9a99
32	vae_100	0.16836132659323644	55	#e31a1c
32	vae_300	0.003715098042348105	95	#fdbf6f
33	pca	0.6544002285216755	88	#a6cee3
33	ica	0.001026639733614944	76	#1f78b4
33	nmf	0.004595543018839792	9	#b2df8a
33	adage	0.08487444050194304	75	#33a02c
33	tybalt	0.06166806665625582	90	#fb9a99
33	vae_100	0.11534492808873253	45	#e31a1c
33	vae_300	0.0035671121637521125	58	#fdbf6f
34	pca	0.6289009685077632	97	#a6cee3
34	ica	0.0008798990066053555	91	#1f78b4
34	nmf	0.004194316905103956	27	#b2df8a
34	adage	0.06656120492507078	86	#33a02c
34	tybalt	0.056719617317398295	50	#fb9a99
34	vae_100	0.11094630718825438	83	#e31a1c
34	vae_300	0.003418464970095525	14	#fdbf6f
35	pca	0.6072506828015417	53	#a6cee3
35	ica	0.0008477894271951957	50	#1f78b4
35	nmf	0.0035991865890554896	20	#b2df8a
35	adage	0.0664121420397481	22	#33a02c
35	tybalt	0.046933062341383724	14	#fb9a99
35	vae_100	0.04774344156607491	2	#e31a1c
35	vae_300	0.002575824415433393	71	#fdbf6f
36	pca	0.5945022956241292	37	#a6cee3
36	ica	0.0008099610495769336	16	#1f78b4
36	nmf	0.003035648234533036	2	#b2df8a
36	adage	0.06587265369449624	35	#33a02c
36	tybalt	0.03586043482010409	72	#fb9a99
36	vae_100	0.018209623406576392	97	#e31a1c
36	vae_300	0.002359844312499689	68	#fdbf6f
37	pca	0.5703422782996543	99	#a6cee3
37	ica	0.0007375339316552179	89	#1f78b4
37	nmf	0.002945794112889341	36	#b2df8a
37	adage	0.0577058231945895	82	#33a02c
37	tybalt	0.01682607225182442	74	#fb9a99
37	vae_100	0.011407887537981942	24	#e31a1c
37	vae_300	0.0018728438131866642	90	#fdbf6f
38	pca	0.5167283241030948	61	#a6cee3
38	ica	0.000653878707321229	35	#1f78b4
38	nmf	0.0026095409928589266	38	#b2df8a
38	adage	0.05448946367267149	68	#33a02c
38	tybalt	0.016675651737618757	33	#fb9a99
38	vae_100	0.006602936631380202	68	#e31a1c
38	vae_300	0.0006503420816338028	77	#fdbf6f
39	pca	0.46014350657297026	81	#a6cee3
39	ica	0.0005075021952143294	2	#1f78b4
39	nmf	0.002589642402324327	34	#b2df8a
39	adage	0.043027759575311464	36	#33a02c
39	tybalt	0.008177897438770905	4	#fb9a99
39	vae_100	0.004531604632248887	25	#e31a1c
39	vae_300	0.00038073159173775866	6	#fdbf6f
40	pca	0.2508394895033392	62	#a6cee3
40	ica	0.0002795829631872848	17	#1f78b4
40	nmf	0.0024234226527266108	59	#b2df8a
40	adage	0.03162428615543372	17	#33a02c
40	tybalt	-0.002494857846936093	45	#fb9a99
40	vae_100	0.0030884520215830324	54	#e31a1c
40	vae_300	0.00011597332798724729	40	#fdbf6f
41	pca	0.23097321065126386	63	#a6cee3
41	ica	0.00020171201594449762	65	#1f78b4
41	nmf	0.002209687875704653	64	#b2df8a
41	adage	0.011565087015434461	91	#33a02c
41	tybalt	-0.012163144187464753	60	#fb9a99
41	vae_100	-0.06226868620092582	99	#e31a1c
41	vae_300	0.0001136956101843253	76	#fdbf6f
42	pca	0.1968563324645698	46	#a6cee3
42	ica	0.00019376843614630481	4	#1f78b4
42	nmf	0.002164071467467947	63	#b2df8a
42	adage	-0.003433402464986579	57	#33a02c
42	tybalt	-0.012607948689521113	83	#fb9a99
42	vae_100	-0.10036942686324046	35	#e31a1c
42	vae_300	4.4091263435839124e-05	61	#fdbf6f
43	pca	0.16330591879963868	90	#a6cee3
43	ica	0.00015456963874924123	67	#1f78b4
43	nmf	0.0017673314187551404	52	#b2df8a
43	adage	-0.018211175178032057	61	#33a02c
43	tybalt	-0.015276347534565986	97	#fb9a99
43	vae_100	-0.11849906340822702	82	#e31a1c
43	vae_300	0.0	97	#fdbf6f
44	pca	0.15618065438990902	96	#a6cee3
44	ica	0.00015316883233112153	19	#1f78b4
44	nmf	0.0016744008804000432	94	#b2df8a
44	adage	-0.02705038263151821	60	#33a02c
44	tybalt	-0.016633637301274484	64	#fb9a99
44	vae_100	-0.12576462526879917	29	#e31a1c
44	vae_300	0.0	72	#fdbf6f
45	pca	0.12273392790752602	92	#a6cee3
45	ica	0.00011365518460200019	64	#1f78b4
45	nmf	0.0011978824405415379	74	#b2df8a
45	adage	-0.03289663721520886	79	#33a02c
45	tybalt	-0.025241304430057926	2	#fb9a99
45	vae_100	-0.12773680311342694	57	#e31a1c
45	vae_300	0.0	59	#fdbf6f
46	pca	0.10109616775288743	60	#a6cee3
46	ica	6.399266679808628e-05	68	#1f78b4
46	nmf	0.0011567459085006226	97	#b2df8a
46	adage	-0.03300365577153841	59	#33a02c
46	tybalt	-0.027117575845056988	32	#fb9a99
46	vae_100	-0.14643393259543047	31	#e31a1c
46	vae_300	0.0	29	#fdbf6f
47	pca	0.0901578235317615	27	#a6cee3
47	ica	4.4317951947127994e-05	79	#1f78b4
47	nmf	0.0010571111675690206	18	#b2df8a
47	adage	-0.04069750636702204	67	#33a02c
47	tybalt	-0.03025504760211708	42	#fb9a99
47	vae_100	-0.15711089522608512	10	#e31a1c
47	vae_300	-2.9414514952025316e-05	44	#fdbf6f
48	pca	0.08605898328409645	71	#a6cee3
48	ica	-4.234629662693435e-05	69	#1f78b4
48	nmf	0.0009089315967675455	6	#b2df8a
48	adage	-0.04789729417565891	18	#33a02c
48	tybalt	-0.03126099981456586	85	#fb9a99
48	vae_100	-0.1670871375091159	96	#e31a1c
48	vae_300	-0.000305565097664557	80	#fdbf6f
49	pca	0.08074079634465868	75	#a6cee3
49	ica	-6.268005019549236e-05	81	#1f78b4
49	nmf	0.0008037952167980968	70	#b2df8a
49	adage	-0.04909655619143671	15	#33a02c
49	tybalt	-0.03245901122070238	16	#fb9a99
49	vae_100	-0.17044782885085294	70	#e31a1c
49	vae_300	-0.00031431868106481013	16	#fdbf6f
50	pca	0.04425467068567812	11	#a6cee3
50	ica	-0.00010433954638295077	95	#1f78b4
50	nmf	0.0005414553034635838	71	#b2df8a
50	adage	-0.05758117993453071	78	#33a02c
50	tybalt	-0.048669834127611486	21	#fb9a99
50	vae_100	-0.17276243758425247	21	#e31a1c
50	vae_300	-0.0004163225994835443	18	#fdbf6f
51	pca	0.038554807070718566	64	#a6cee3
51	ica	-0.00014656090069590892	6	#1f78b4
51	nmf	0.0005159469666468379	22	#b2df8a
51	adage	-0.061769566958463695	56	#33a02c
51	tybalt	-0.06389424458270958	20	#fb9a99
51	vae_100	-0.22801023920414407	71	#e31a1c
51	vae_300	-0.0007607529434984811	11	#fdbf6f
52	pca	0.02350021390647905	82	#a6cee3
52	ica	-0.00019984764083827975	74	#1f78b4
52	nmf	0.0002535698687663075	16	#b2df8a
52	adage	-0.07072786027510802	26	#33a02c
52	tybalt	-0.0807112667050075	9	#fb9a99
52	vae_100	-0.26961750086430897	75	#e31a1c
52	vae_300	-0.001236157911208004	33	#fdbf6f
53	pca	0.005221795827024506	85	#a6cee3
53	ica	-0.00020832540919953806	40	#1f78b4
53	nmf	2.126530186746106e-05	19	#b2df8a
53	adage	-0.07377501528920649	45	#33a02c
53	tybalt	-0.08531304501577541	54	#fb9a99
53	vae_100	-0.3159243829494738	67	#e31a1c
53	vae_300	-0.0015281123961120879	36	#fdbf6f
54	pca	-0.008870048802424396	76	#a6cee3
54	ica	-0.00025134954687146965	36	#1f78b4
54	nmf	-0.00017190984362841846	50	#b2df8a
54	adage	-0.08145719456319878	12	#33a02c
54	tybalt	-0.0908471806365701	78	#fb9a99
54	vae_100	-0.32016233049137455	12	#e31a1c
54	vae_300	-0.0017561482477848102	91	#fdbf6f
55	pca	-0.056986633516346585	80	#a6cee3
55	ica	-0.0003797653647231482	61	#1f78b4
55	nmf	-0.00018781930440051183	76	#b2df8a
55	adage	-0.0824024926364304	84	#33a02c
55	tybalt	-0.09423856439597256	94	#fb9a99
55	vae_100	-0.3684924552301214	4	#e31a1c
55	vae_300	-0.005655622308031518	64	#fdbf6f
56	pca	-0.07045590103420318	14	#a6cee3
56	ica	-0.0005171926732130644	88	#1f78b4
56	nmf	-0.00040348620690561546	57	#b2df8a
56	adage	-0.08432476625529217	24	#33a02c
56	tybalt	-0.10138815604210069	51	#fb9a99
56	vae_100	-0.397121403830181	8	#e31a1c
56	vae_300	-0.006703408267284685	21	#fdbf6f
57	pca	-0.10127271050663111	95	#a6cee3
57	ica	-0.0005812988707708799	53	#1f78b4
57	nmf	-0.00044673246024082454	23	#b2df8a
57	adage	-0.08781044129106252	33	#33a02c
57	tybalt	-0.10536902208584564	24	#fb9a99
57	vae_100	-0.39741605912408073	73	#e31a1c
57	vae_300	-0.006791152595354191	89	#fdbf6f
58	pca	-0.1285422272889611	89	#a6cee3
58	ica	-0.0006235704704907629	59	#1f78b4
58	nmf	-0.000583482226712841	28	#b2df8a
58	adage	-0.08946915838271674	47	#33a02c
58	tybalt	-0.11574117213694843	81	#fb9a99
58	vae_100	-0.42044917427636874	89	#e31a1c
58	vae_300	-0.007159953412539527	52	#fdbf6f
59	pca	-0.13511989953665804	17	#a6cee3
59	ica	-0.0006472235449685472	38	#1f78b4
59	nmf	-0.0006397652007873128	10	#b2df8a
59	adage	-0.09537891692646816	34	#33a02c
59	tybalt	-0.1395386052569469	7	#fb9a99
59	vae_100	-0.42579630633094345	87	#e31a1c
59	vae_300	-0.008102954932344064	38	#fdbf6f
60	pca	-0.13870490448519002	56	#a6cee3
60	ica	-0.000651487072499346	45	#1f78b4
60	nmf	-0.0006756695478625147	100	#b2df8a
60	adage	-0.09846828011591646	31	#33a02c
60	tybalt	-0.14603036687769	65	#fb9a99
60	vae_100	-0.4385208859986669	81	#e31a1c
60	vae_300	-0.010253528612212105	3	#fdbf6f
61	pca	-0.13955857363946134	32	#a6cee3
61	ica	-0.0006612653592793002	96	#1f78b4
61	nmf	-0.0009911634190445037	95	#b2df8a
61	adage	-0.10260746305949808	30	#33a02c
61	tybalt	-0.17654159590190144	88	#fb9a99
61	vae_100	-0.47220921163645335	53	#e31a1c
61	vae_300	-0.011513068312991814	94	#fdbf6f
62	pca	-0.20004867416823346	28	#a6cee3
62	ica	-0.0007054046112085403	8	#1f78b4
62	nmf	-0.00154208233343236	73	#b2df8a
62	adage	-0.10604090418784162	25	#33a02c
62	tybalt	-0.18950668021433492	98	#fb9a99
62	vae_100	-0.5324239579088443	56	#e31a1c
62	vae_300	-0.012951907764745602	55	#fdbf6f
63	pca	-0.2165992143142419	74	#a6cee3
63	ica	-0.0007148079323787851	30	#1f78b4
63	nmf	-0.0017865033586280297	5	#b2df8a
63	adage	-0.12189178275305412	87	#33a02c
63	tybalt	-0.19123685410962554	84	#fb9a99
63	vae_100	-0.5494664571229229	76	#e31a1c
63	vae_300	-0.015039276882188528	83	#fdbf6f
64	pca	-0.25524722909692527	72	#a6cee3
64	ica	-0.0008005809870589846	11	#1f78b4
64	nmf	-0.0017961357386415615	7	#b2df8a
64	adage	-0.12478848910837559	97	#33a02c
64	tybalt	-0.21259151913197757	18	#fb9a99
64	vae_100	-0.5698140755248122	100	#e31a1c
64	vae_300	-0.015242468080199863	35	#fdbf6f
65	pca	-0.27481515103308407	78	#a6cee3
65	ica	-0.0008826202216279314	33	#1f78b4
65	nmf	-0.0018780406157581763	72	#b2df8a
65	adage	-0.1351575961691488	21	#33a02c
65	tybalt	-0.2178296608643473	47	#fb9a99
65	vae_100	-0.6095639996232705	95	#e31a1c
65	vae_300	-0.015615301984779747	10	#fdbf6f
66	pca	-0.3061587224669784	94	#a6cee3
66	ica	-0.0008885965974283303	31	#1f78b4
66	nmf	-0.0018851510489118883	67	#b2df8a
66	adage	-0.13568405657448768	85	#33a02c
66	tybalt	-0.24402002464494377	5	#fb9a99
66	vae_100	-0.6194120278470523	49	#e31a1c
66	vae_300	-0.01871900843583922	13	#fdbf6f
67	pca	-0.32172044426840046	55	#a6cee3
67	ica	-0.000949707756152859	90	#1f78b4
67	nmf	-0.002187205379552068	21	#b2df8a
67	adage	-0.13883011306877302	8	#33a02c
67	tybalt	-0.25876328193167986	31	#fb9a99
67	vae_100	-0.6565464308012174	79	#e31a1c
67	vae_300	-0.02079208516933219	78	#fdbf6f
68	pca	-0.32743096367662106	44	#a6cee3
68	ica	-0.0010188308815693716	43	#1f78b4
68	nmf	-0.002369396323738392	92	#b2df8a
68	adage	-0.15571720881945827	49	#33a02c
68	tybalt	-0.2673698585340313	34	#fb9a99
68	vae_100	-0.6977889809423878	43	#e31a1c
68	vae_300	-0.02258734676817191	79	#fdbf6f
69	pca	-0.3685450191936988	100	#a6cee3
69	ica	-0.0010237084333685198	29	#1f78b4
69	nmf	-0.0027354953625338407	46	#b2df8a
69	adage	-0.1880775495186744	41	#33a02c
69	tybalt	-0.3084121465810503	35	#fb9a99
69	vae_100	-0.701456312147724	3	#e31a1c
69	vae_300	-0.022672295984761875	84	#fdbf6f
70	pca	-0.412924789088745	45	#a6cee3
70	ica	-0.0010763302060223165	60	#1f78b4
70	nmf	-0.0027697863777276753	51	#b2df8a
70	adage	-0.23618057486015887	38	#33a02c
70	tybalt	-0.32155667305162705	19	#fb9a99
70	vae_100	-0.7018346603191516	46	#e31a1c
70	vae_300	-0.023626176223614848	15	#fdbf6f
71	pca	-0.4468480713924482	83	#a6cee3
71	ica	-0.0011660659123238306	98	#1f78b4
71	nmf	-0.002921796064198325	66	#b2df8a
71	adage	-0.23801121855827745	44	#33a02c
71	tybalt	-0.41171018119631153	25	#fb9a99
71	vae_100	-0.7146951858533788	9	#e31a1c
71	vae_300	-0.025496016468531186	93	#fdbf6f
72	pca	-0.5452528772146028	21	#a6cee3
72	ica	-0.0011987334813239655	41	#1f78b4
72	nmf	-0.0029595456901375244	99	#b2df8a
72	adage	-0.26394903372902156	89	#33a02c
72	tybalt	-0.4152541978726053	80	#fb9a99
72	vae_100	-0.7373290569052846	98	#e31a1c
72	vae_300	-0.03343505616768075	2	#fdbf6f
73	pca	-0.5902910651899234	13	#a6cee3
73	ica	-0.0012471706518871208	92	#1f78b4
73	nmf	-0.0033375324908502023	25	#b2df8a
73	adage	-0.2747594122156398	64	#33a02c
73	tybalt	-0.45780544477385576	49	#fb9a99
73	vae_100	-0.74372445162017	94	#e31a1c
73	vae_300	-0.04571911465735787	60	#fdbf6f
74	pca	-0.5917598706115833	79	#a6cee3
74	ica	-0.0012516449726373898	22	#1f78b4
74	nmf	-0.0037368187184811863	3	#b2df8a
74	adage	-0.2787415788738592	74	#33a02c
74	tybalt	-0.5122380066808478	66	#fb9a99
74	vae_100	-0.7728431255000716	37	#e31a1c
74	vae_300	-0.05783172606105748	1	#fdbf6f
75	pca	-0.6003429521453376	58	#a6cee3
75	ica	-0.0014031774232605917	55	#1f78b4
75	nmf	-0.003919908260455289	13	#b2df8a
75	adage	-0.2870240879211396	39	#33a02c
75	tybalt	-0.5213298695591985	39	#fb9a99
75	vae_100	-0.787984069389709	93	#e31a1c
75	vae_300	-0.05784898620708767	85	#fdbf6f
76	pca	-0.6545487425590961	22	#a6cee3
76	ica	-0.0014580382163184823	86	#1f78b4
76	nmf	-0.0039257229779565556	87	#b2df8a
76	adage	-0.31343893988669347	95	#33a02c
76	tybalt	-0.5304714414732918	69	#fb9a99
76	vae_100	-0.7894220166103167	13	#e31a1c
76	vae_300	-0.06182986512223535	70	#fdbf6f
77	pca	-0.6786299758231378	35	#a6cee3
77	ica	-0.0014777003427282557	5	#1f78b4
77	nmf	-0.004385302508790398	69	#b2df8a
77	adage	-0.323605872460877	92	#33a02c
77	tybalt	-0.5366853747824378	53	#fb9a99
77	vae_100	-0.8033140389588741	42	#e31a1c
77	vae_300	-0.061954888978260736	96	#fdbf6f
78	pca	-0.6894366466226751	15	#a6cee3
78	ica	-0.0015121981436111301	24	#1f78b4
78	nmf	-0.004609506715419065	26	#b2df8a
78	adage	-0.3463601897289501	5	#33a02c
78	tybalt	-0.5534813504398434	95	#fb9a99
78	vae_100	-0.803339357489919	7	#e31a1c
78	vae_300	-0.06358300404212931	41	#fdbf6f
79	pca	-0.7325774925577914	43	#a6cee3
79	ica	-0.0016118012652828698	77	#1f78b4
79	nmf	-0.004992211258427882	54	#b2df8a
79	adage	-0.3582653723886926	20	#33a02c
79	tybalt	-0.5589023625325722	46	#fb9a99
79	vae_100	-0.8815618117536008	14	#e31a1c
79	vae_300	-0.07597803690150703	46	#fdbf6f
80	pca	-0.9096724309038684	67	#a6cee3
80	ica	-0.0016982634996342734	25	#1f78b4
80	nmf	-0.00549251977421367	4	#b2df8a
80	adage	-0.3656247592233765	27	#33a02c
80	tybalt	-0.5821583472082037	29	#fb9a99
80	vae_100	-0.9077899262409076	41	#e31a1c
80	vae_300	-0.07927210723297835	9	#fdbf6f
81	pca	-0.9115580890168327	54	#a6cee3
