rank	algorithm	activation	feature	algorithm_color
0	pca	8.245417801620924	1	#a6cee3
0	ica	0.021696139291211614	32	#1f78b4
0	nmf	0.11163245312968498	75	#b2df8a
0	adage	1.630940306142044	32	#33a02c
0	tybalt	3.2475654880701694	87	#fb9a99
0	vae_100	4.821263437433863	62	#e31a1c
0	vae_300	1.3011795435091698	87	#fdbf6f
1	pca	6.544235060566706	10	#a6cee3
1	ica	0.007521765314932918	14	#1f78b4
1	nmf	0.10755037976493255	39	#b2df8a
1	adage	1.527983459055073	53	#33a02c
1	tybalt	1.7917083604893893	92	#fb9a99
1	vae_100	3.436752256352397	50	#e31a1c
1	vae_300	0.8143647923828319	57	#fdbf6f
2	pca	3.772041645191534	12	#a6cee3
2	ica	0.005722403271634432	84	#1f78b4
2	nmf	0.09166500339810435	82	#b2df8a
2	adage	1.270024937221388	11	#33a02c
2	tybalt	1.7364892683409183	96	#fb9a99
2	vae_100	2.8020509775372004	20	#e31a1c
2	vae_300	0.5034730629470522	86	#fdbf6f
3	pca	3.3451381248477676	20	#a6cee3
3	ica	0.005637279303590816	100	#1f78b4
3	nmf	0.0820198943477259	55	#b2df8a
3	adage	1.2541952394593272	28	#33a02c
3	tybalt	1.7070032272094036	70	#fb9a99
3	vae_100	2.736780660527329	33	#e31a1c
3	vae_300	0.4422926922640629	92	#fdbf6f
4	pca	2.752540669706109	23	#a6cee3
4	ica	0.005269683730677368	83	#1f78b4
4	nmf	0.06869421386051468	78	#b2df8a
4	adage	1.2490800576406405	69	#33a02c
4	tybalt	1.4330007998908048	8	#fb9a99
4	vae_100	2.086004228794097	58	#e31a1c
4	vae_300	0.37208872289113104	50	#fdbf6f
5	pca	2.3117795929560314	16	#a6cee3
5	ica	0.005171643018669888	63	#1f78b4
5	nmf	0.06783662033464102	90	#b2df8a
5	adage	1.0780335435426949	19	#33a02c
5	tybalt	1.4075750765644903	79	#fb9a99
5	vae_100	1.4727573543536532	52	#e31a1c
5	vae_300	0.24437639687366233	19	#fdbf6f
6	pca	2.10961728904654	77	#a6cee3
6	ica	0.0044923628988116915	20	#1f78b4
6	nmf	0.06318050205390068	37	#b2df8a
6	adage	0.9993205587373826	52	#33a02c
6	tybalt	1.3737820865721557	62	#fb9a99
6	vae_100	1.4539821192975455	77	#e31a1c
6	vae_300	0.23561642537216143	63	#fdbf6f
7	pca	1.9025152843281274	59	#a6cee3
7	ica	0.004039711581189336	75	#1f78b4
7	nmf	0.05353463394092883	56	#b2df8a
7	adage	0.9285017660242665	58	#33a02c
7	tybalt	1.2473587719891284	82	#fb9a99
7	vae_100	1.321836821491602	44	#e31a1c
7	vae_300	0.23487687087003106	43	#fdbf6f
8	pca	1.8506931587922524	30	#a6cee3
8	ica	0.0038160815593281014	82	#1f78b4
8	nmf	0.03457455381482407	14	#b2df8a
8	adage	0.7963634015489847	48	#33a02c
8	tybalt	1.0263230814018187	100	#fb9a99
8	vae_100	1.2247556998016533	85	#e31a1c
8	vae_300	0.2078291752012114	73	#fdbf6f
9	pca	1.7662018541973858	87	#a6cee3
9	ica	0.0038043256944846	37	#1f78b4
9	nmf	0.03221375316351352	84	#b2df8a
9	adage	0.794322218820998	98	#33a02c
9	tybalt	0.6834709473866832	30	#fb9a99
9	vae_100	1.168201677896577	47	#e31a1c
9	vae_300	0.18552019032228106	81	#fdbf6f
10	pca	1.652202330890827	70	#a6cee3
10	ica	0.0037662080959895722	56	#1f78b4
10	nmf	0.023489042368376782	98	#b2df8a
10	adage	0.7322237436083638	72	#33a02c
10	tybalt	0.6465062563762367	28	#fb9a99
10	vae_100	1.1591837755775078	91	#e31a1c
10	vae_300	0.15939712124857727	30	#fdbf6f
11	pca	1.642883860358494	52	#a6cee3
11	ica	0.0036085412225359942	66	#1f78b4
11	nmf	0.020146566171274985	47	#b2df8a
11	adage	0.7048204068853625	50	#33a02c
11	tybalt	0.6377332009485341	41	#fb9a99
11	vae_100	1.1263500428449458	66	#e31a1c
11	vae_300	0.0876582935332576	98	#fdbf6f
12	pca	1.5759021903916781	68	#a6cee3
12	ica	0.0036013913316898564	51	#1f78b4
12	nmf	0.018927819644653884	1	#b2df8a
12	adage	0.6901128467635296	16	#33a02c
12	tybalt	0.6369377235865545	76	#fb9a99
12	vae_100	1.0217241201185212	60	#e31a1c
12	vae_300	0.06424055432731285	24	#fdbf6f
13	pca	1.5022627927546583	42	#a6cee3
13	ica	0.003532932478487308	54	#1f78b4
13	nmf	0.012395685092454417	77	#b2df8a
13	adage	0.5872044385191506	1	#33a02c
13	tybalt	0.6011788876517015	63	#fb9a99
13	vae_100	0.9724849325109148	90	#e31a1c
13	vae_300	0.058204029897122	23	#fdbf6f
14	pca	1.367943518424603	50	#a6cee3
14	ica	0.0031910407626213823	94	#1f78b4
14	nmf	0.011839086718701076	96	#b2df8a
14	adage	0.5561460574737187	65	#33a02c
14	tybalt	0.6009327199374488	1	#fb9a99
14	vae_100	0.9229387266248794	36	#e31a1c
14	vae_300	0.04882229135348312	56	#fdbf6f
15	pca	1.3199244316605143	31	#a6cee3
15	ica	0.003188971217465475	39	#1f78b4
15	nmf	0.011596694785731894	61	#b2df8a
15	adage	0.5526804614564398	66	#33a02c
15	tybalt	0.43124124170263567	68	#fb9a99
15	vae_100	0.8287803108707597	86	#e31a1c
15	vae_300	0.03717533798010936	99	#fdbf6f
16	pca	1.2784452813841676	19	#a6cee3
16	ica	0.003078751141105674	3	#1f78b4
16	nmf	0.011420078230426003	15	#b2df8a
16	adage	0.5012125208067966	4	#33a02c
16	tybalt	0.4173957762987691	12	#fb9a99
16	vae_100	0.7871353168884188	80	#e31a1c
16	vae_300	0.035524895142736705	22	#fdbf6f
17	pca	1.2387516443992594	69	#a6cee3
17	ica	0.0027953369816700394	87	#1f78b4
17	nmf	0.011043695144557438	81	#b2df8a
17	adage	0.4923444234617129	10	#33a02c
17	tybalt	0.24024855055514022	89	#fb9a99
17	vae_100	0.48728337440279457	27	#e31a1c
17	vae_300	0.03533969982398075	100	#fdbf6f
18	pca	1.1091197926850973	36	#a6cee3
18	ica	0.0027489348399356	70	#1f78b4
18	nmf	0.010896946901653607	53	#b2df8a
18	adage	0.44425097953167514	100	#33a02c
18	tybalt	0.23207110035842404	13	#fb9a99
18	vae_100	0.4782042760099663	11	#e31a1c
18	vae_300	0.02963068593013409	67	#fdbf6f
19	pca	1.0619351916167044	26	#a6cee3
19	ica	0.002608702412480137	9	#1f78b4
19	nmf	0.010750065903885022	79	#b2df8a
